,0
交易年份,1.0768960877215015
屋齡,17.549585227425705
交易標的,0.4983833625799608
建物現況格局-房,1.245686454796906
建物現況格局-廳,0.7484815436863681
建物現況格局-衛,0.8324359449654947
電梯,0.4462581806508116
floor,4.020979196716598
車位類別-坡道平面,0.4008259413311705
車位類別-坡道機械,0.2902231376061656
車位類別-升降平面,0.16438413358172618
車位類別-升降機械,0.24661960567155397
車位類別-一樓平面,0.02431083191631576
車位類別-塔式車位,0.2221117505117084
車位類別-其他,0.13625644382111105
建物型態-公寓,0.3917238927904965
建物型態-華廈,0.39451377022832596
建物型態-住宅大樓,0.4990508863530183
建物型態-套房,0.26451565242620384
建物型態-透天,0.06861894773824449
NEAR_HOSTIPAL_250,0.16438413358172618
NEAR_HOSTIPAL_500,0.39030938770691903
NEAR_HOSTIPAL_750,0.48114217422086786
CLINIC_COUNT_250,4.3187514103381535
CLINIC_COUNT_500,13.218886162637261
CLINIC_COUNT_750,28.817418071496444
DENTIST_COUNT_250,2.2039264273674246
DENTIST_COUNT_500,6.177870962589233
DENTIST_COUNT_750,13.746194100069143
PHARMACY_COUNT_250,1.2774848724315602
PHARMACY_COUNT_500,2.407472790340914
PHARMACY_COUNT_750,3.345865347260257
CSTORE_COUNT_250,2.2159710228283953
CSTORE_COUNT_500,7.603982539415886
CSTORE_COUNT_750,17.255417236689986
FASTFOOD_COUNT_250,0.7325115183938868
FASTFOOD_COUNT_500,1.7747466598949437
FASTFOOD_COUNT_750,3.4519683929353744
LIBRARY_COUNT_250,0.7325115183938868
LIBRARY_COUNT_500,1.7747466598949437
LIBRARY_COUNT_750,3.4519683929353744
NEAR_SCHOOL_250,0.4038814403618486
NEAR_SCHOOL_500,0.08734238386096116
NEAR_SCHOOL_750,0.0
NEAR_UNIVERSITY_250,0.18647469903065547
NEAR_UNIVERSITY_500,0.30841831844788453
NEAR_UNIVERSITY_750,0.46346982965465316
NEAR_FIRESTATION_250,0.3859858821385483
NEAR_FIRESTATION_500,0.4432168528495593
NEAR_FIRESTATION_750,0.134150927600466
NEAR_FUEL_250,0.31726653150789225
NEAR_FUEL_500,0.46536029782994565
NEAR_FUEL_750,0.4920089723741731
NEAR_MARKET_250,0.4997437456110248
NEAR_MARKET_500,0.317985625190026
NEAR_MARKET_750,0.048578514884183126
NEAR_POLICE_250,0.4700602694574474
NEAR_POLICE_500,0.3061406263768114
NEAR_POLICE_750,0.0
TEMPLE_COUNT_250,2.571798860048972
TEMPLE_COUNT_500,4.093721739683452
TEMPLE_COUNT_750,5.9835731341284655
CEMETERY_AREA_250,0.0
CEMETERY_AREA_500,0.0
CEMETERY_AREA_750,0.0
PARK_AREA_250,12399.980109518752
PARK_AREA_500,46141.11101896316
PARK_AREA_750,82648.47211600882
WATER_AREA_250,12647.47180776154
WATER_AREA_500,78771.80721169547
WATER_AREA_750,178896.61171632668
PARKING_AREA_250,2588.1669204463165
PARKING_AREA_500,6010.478719875471
PARKING_AREA_750,13327.81589870512
STOP_COUNT_250,4.462569706130717
STOP_COUNT_500,10.033647674420811
STOP_COUNT_750,21.45401842491857
NEAR_LRT_250,0.0
NEAR_LRT_500,0.0
NEAR_LRT_750,0.0
NEAR_MRT_250,0.48245953373539385
NEAR_MRT_500,0.41427283121833786
NEAR_MRT_750,0.2244814854058873
NEAR_TRA_250,0.0
NEAR_TRA_500,0.10540295529080725
NEAR_TRA_750,0.27824139654075386
y,51160.407124226396
