,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
12335,111,新北市板橋區民生路三段319號十四樓之3,板橋區,16.0,房地(土地+建物)+車位,1110306,0950914,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,1,2,1,坡道平面,有,108611,False
12336,111,新北市土城區立仁街9巷1號五樓,土城區,40.0,房地(土地+建物),1110326,0711201,公寓(5樓含以下無電梯),鋼筋混凝土造,4,3,2,,無,93476,False
12337,111,新北市板橋區中正路453號十七樓,板橋區,1.0,房地(土地+建物)+車位,1110214,1101110,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,147451,False
12338,111,新北市板橋區國慶路149巷2弄9號三樓,板橋區,39.0,房地(土地+建物),1110314,0720308,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,1,,無,115881,False
12339,111,新北市板橋區長江路二段63號二十五樓,板橋區,24.0,房地(土地+建物)+車位,1110313,0870622,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道機械,有,153008,False
12340,111,新北市土城區延壽路75巷7號,土城區,34.0,房地(土地+建物),1110319,0771210,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,3,,無,108336,False
12341,111,新北市土城區中州路30巷11號二樓,土城區,9.0,房地(土地+建物)+車位,1110307,1020503,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,102034,False
12342,111,新北市板橋區民族路193號三樓,板橋區,10.0,房地(土地+建物)+車位,1110227,1010612,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,172336,False
12343,111,新北市板橋區民享街116巷2弄14號三樓,板橋區,47.0,房地(土地+建物),1110319,0640124,公寓(5樓含以下無電梯),加強磚造,3,1,1,,無,132711,False
12344,111,新北市板橋區文化路二段282號十三樓,板橋區,2.0,房地(土地+建物)+車位,1110225,1090827,住宅大樓(11層含以上有電梯),鋼骨構造,3,2,2,坡道平面,有,254816,False
12345,111,新北市板橋區大觀路一段38巷22號七樓,板橋區,4.0,房地(土地+建物)+車位,1110318,1070702,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,116269,False
12346,111,新北市新莊區龍安路112號十樓,新莊區,27.0,房地(土地+建物)+車位,1110321,0840517,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道機械,有,104031,False
12347,111,新北市新莊區龍安路66之37號六樓,新莊區,9.0,房地(土地+建物)+車位,1110313,1021216,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道機械,有,134850,False
12348,111,新北市新莊區公園路129號六樓之十八,新莊區,20.0,房地(土地+建物)+車位,1110322,0911127,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,103365,False
12349,111,新北市林口區文化三路二段291之1號四樓,林口區,14.0,房地(土地+建物)+車位,1110316,0971127,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,2,坡道平面,有,82012,False
12350,111,新北市林口區八德路366號三十一樓,林口區,5.0,房地(土地+建物)+車位,1110317,1061130,住宅大樓(11層含以上有電梯),鋼骨構造,3,2,2,坡道平面,有,136467,False
12351,111,新北市林口區八德路84之2號十一樓,林口區,15.0,房地(土地+建物)+車位,1110320,0960504,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,107466,False
12352,111,新北市泰山區全興路1之1號五樓,泰山區,41.0,房地(土地+建物),1110306,0701128,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,1,,無,83186,False
12353,111,新北市新莊區中和街167號八樓,新莊區,28.0,房地(土地+建物),1110319,0831111,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,114902,False
12354,111,新北市五股區新五路二段329號九樓,五股區,4.0,房地(土地+建物)+車位,1110227,1070209,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,坡道平面,有,110912,False
12355,111,新北市新莊區昌隆街12號五樓,新莊區,44.0,房地(土地+建物),1110313,0670811,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,1,,無,98895,False
12356,111,新北市林口區惠民街30巷29號三樓,林口區,6.0,房地(土地+建物)+車位,1110319,1051228,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,114082,False
12357,111,新北市五股區御史路57號六樓,五股區,28.0,房地(土地+建物),1110312,0831102,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,,有,79519,False
12358,111,新北市新莊區昌明街30巷8號三樓,新莊區,33.0,房地(土地+建物),1110309,0780707,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,111233,False
12359,111,新北市五股區芳洲八路156號十五樓,五股區,7.0,房地(土地+建物)+車位,1110314,1040114,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,2,坡道平面,有,119653,False
12360,111,新北市新莊區福美街90巷55號二樓,新莊區,11.0,房地(土地+建物)+車位,1110302,1000908,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,146816,False
12361,111,新北市新莊區福營路385之7號二樓,新莊區,4.0,房地(土地+建物)+車位,1110301,1070129,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,2,坡道平面,有,98821,False
12362,111,新北市林口區民有街156號五樓,林口區,12.0,房地(土地+建物)+車位,1110219,0990128,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,112450,False
12363,111,新北市新店區黎明路55巷28號三樓,新店區,32.0,房地(土地+建物)+車位,1110225,0790619,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,3,坡道平面,無,55445,False
12364,111,新北市新店區十四張路383號十五樓,新店區,1.0,房地(土地+建物)+車位,1110309,1100906,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,2,1,坡道平面,有,194339,False
12365,111,新北市新店區黎明路57巷48號三樓,新店區,32.0,房地(土地+建物)+車位,1110308,0790427,公寓(5樓含以下無電梯),鋼筋混凝土造,4,3,3,坡道平面,無,51187,False
12366,111,新北市新店區吉祥街3巷17號,新店區,33.0,房地(土地+建物),1110213,0780202,透天厝,鋼筋混凝土造,4,2,3,,無,78859,False
12367,111,新北市新店區松林路6號三樓,新店區,35.0,房地(土地+建物),1110315,0760916,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,,有,56709,False
12368,111,新北市新店區檳榔路45號五樓,新店區,44.0,房地(土地+建物),1110324,0670512,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,139183,False
12369,111,新北市新店區安祥路104巷6弄46號,新店區,26.0,房地(土地+建物),1110312,0851226,透天厝,鋼筋混凝土造,4,2,3,,無,71757,False
12370,111,新北市新店區黎明路66巷16號三樓,新店區,32.0,房地(土地+建物)+車位,1110307,0790315,公寓(5樓含以下無電梯),鋼筋混凝土造,4,3,3,坡道平面,無,51846,False
12371,111,新北市新店區安成街2巷1號九樓,新店區,8.0,房地(土地+建物)+車位,1110314,1030708,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,1,坡道平面,有,129205,False
12372,111,新北市新店區三民路60巷8號四樓,新店區,47.0,房地(土地+建物),1110301,0640602,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,154288,False
12373,111,新北市新店區安康路三段287號二樓,新店區,5.0,房地(土地+建物)+車位,1110317,1061215,華廈(10層含以下有電梯),鋼筋混凝土構造,2,2,1,一樓平面,有,92293,False
12374,111,新北市汐止區保長路27巷5號,汐止區,44.0,房地(土地+建物),1110313,0670124,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,94415,False
12375,111,新北市汐止區伯爵街14巷6號,汐止區,30.0,房地(土地+建物)+車位,1110222,0810521,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,3,3,坡道平面,有,55085,False
12376,111,新北市汐止區樟樹一路145巷16號3樓之3,汐止區,27.0,房地(土地+建物),1110405,0840414,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,132374,False
12377,111,新北市汐止區湖前街110巷97弄15之1號2樓,汐止區,23.0,房地(土地+建物)+車位,1110311,0881202,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,61506,False
12378,111,新北市汐止區湖前街110巷97弄3之1號2樓,汐止區,23.0,房地(土地+建物)+車位,1110317,0881202,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,2,1,坡道機械,有,85780,False
12379,111,新北市汐止區工建路164號2樓,汐止區,25.0,房地(土地+建物),1110109,0860502,住宅大樓(11層含以上有電梯),鋼筋混凝土造,6,1,2,,有,94817,False
12380,111,新北市淡水區學府路156號四樓,淡水區,42.0,房地(土地+建物),1110313,0690207,公寓(5樓含以下無電梯),鋼筋混凝土造,7,0,7,,無,65767,False
12381,111,新北市八里區商港七路7號十樓,八里區,1.0,房地(土地+建物),1110220,1101129,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,84034,False
