,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
700,110,新北市五股區芳洲路55號十五樓,五股區,6.0,房地(土地+建物),1100921,1040824,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,101579,False,15,121.4422807,25.0837075
701,109,新北市新莊區中正路340巷13號二十樓,新莊區,0.0,房地(土地+建物)+車位,1091207,1090618,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,145162,False,20,121.44512060000001,25.0346585
702,109,新北市新莊區中正路340巷13號十九樓,新莊區,0.0,房地(土地+建物)+車位,1091207,1090618,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,143715,False,19,121.44512060000001,25.0346585
704,110,新北市林口區民族路266號三樓,林口區,3.0,房地(土地+建物)+車位,1101016,1070723,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,116093,False,3,121.36983599999999,25.078282500000004
705,110,新北市林口區文化三路一段615之2號五樓,林口區,10.0,房地(土地+建物)+車位,1101006,1001230,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,89172,False,5,121.37143339999999,25.0772152
706,110,新北市新莊區西盛街311巷31號十二樓,新莊區,0.0,房地(土地+建物),1100117,1100716,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,111353,False,12,121.42881799999999,25.0153683
707,110,新北市板橋區藝文街195號十七樓,板橋區,0.0,房地(土地+建物)+車位,1101016,1100127,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,1,坡道平面,有,153889,False,17,121.4509556,25.0212564
708,110,新北市板橋區四川路二段239號十三樓之一,板橋區,29.0,房地(土地+建物),1101121,0810808,住宅大樓(11層含以上有電梯),鋼骨造,1,0,1,,有,120704,False,13,121.4508702,24.9938361
709,110,新北市板橋區大漢街53號七樓,板橋區,2.0,房地(土地+建物)+車位,1101114,1080909,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,168262,False,7,121.46137159999999,25.0318211
710,110,新北市板橋區民生路二段121號十一樓,板橋區,28.0,房地(土地+建物),1101107,0820720,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,155969,False,11,121.4705475,25.018444799999997
711,110,新北市土城區明德路二段58號十四樓之三,土城區,23.0,房地(土地+建物),1101106,0870221,住宅大樓(11層含以上有電梯),鋼骨造,2,2,1,,有,126014,False,14,121.44871970000001,24.983398800000003
712,110,新北市板橋區華江一路580號六樓,板橋區,0.0,房地(土地+建物)+車位,1100922,1100421,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,164088,False,6,121.4655581,25.0326678
713,110,新北市土城區明德路一段93巷13號十七樓,土城區,2.0,房地(土地+建物),1101120,1080603,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,151238,False,17,121.4661423,24.983168900000003
714,110,新北市板橋區漢生東路250號六樓,板橋區,12.0,房地(土地+建物)+車位,1101114,0980724,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,3,2,2,坡道平面,有,192942,False,6,121.46808719999999,25.013864299999998
715,110,新北市板橋區金華街10巷48弄68號二樓,板橋區,41.0,房地(土地+建物),1101019,0690723,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,92840,False,2,121.4597115,25.0202723
716,110,新北市土城區金城路三段125巷7號二十樓,土城區,26.0,房地(土地+建物),1101106,0841030,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,121732,False,20,121.46777490000001,24.987974199999996
717,110,新北市板橋區四川路一段67號十七樓之2,板橋區,7.0,房地(土地+建物)+車位,1101127,1030116,住宅大樓(11層含以上有電梯),鋼筋混凝土造,0,0,0,坡道平面,有,168712,False,17,121.46011250000001,25.0062069
718,110,新北市板橋區縣民大道三段246號六樓,板橋區,6.0,房地(土地+建物),1101122,1040105,華廈(10層含以下有電梯),鋼筋混凝土造,1,2,1,,有,157294,False,6,121.477521,25.0228226
719,110,新北市土城區金城路三段66號三樓,土城區,25.0,房地(土地+建物),1101121,0850831,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,124772,False,3,121.46643919999998,24.9868673
720,110,新北市板橋區忠孝路239巷32號二樓,板橋區,46.0,房地(土地+建物),1101113,0640521,公寓(5樓含以下無電梯),加強磚造,3,2,1,,無,133437,False,2,121.46725839999999,25.003551899999994
721,110,新北市板橋區民生路三段180號九樓,板橋區,1.0,房地(土地+建物),1101019,1091013,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,158284,False,9,121.46545429999999,25.0292183
722,110,新北市板橋區金門街47巷24號八樓,板橋區,16.0,房地(土地+建物)+車位,1101003,0940621,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,100721,False,8,121.4338469,24.993352699999996
723,110,新北市林口區文化二路一段561號五樓,林口區,14.0,房地(土地+建物)+車位,1101128,0961017,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,86027,False,5,121.37468929999999,25.0782995
724,110,新北市新莊區福前街245號九樓,新莊區,9.0,房地(土地+建物)+車位,1101108,1010928,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,3,坡道平面,有,109751,False,9,121.46263289999999,25.0582589
725,110,新北市新莊區西盛街399號五樓,新莊區,25.0,房地(土地+建物)+車位,1101113,0850326,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,80324,False,5,121.42803900000001,25.012679599999995
726,110,新北市五股區芳洲一路72號九樓,五股區,0.0,房地(土地+建物)+車位,1101123,1100716,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,114312,False,9,121.4445289,25.0857244
727,110,新北市林口區中山路679號九樓之五,林口區,5.0,房地(土地+建物)+車位,1101031,1051018,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,107134,False,9,121.37782349999999,25.083563
728,110,新北市五股區芳洲八路88號五樓,五股區,7.0,房地(土地+建物)+車位,1101117,1030127,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,88152,False,5,121.44631160000002,25.087354
729,110,新北市新莊區中和街181號四樓,新莊區,29.0,房地(土地+建物),1101127,0810125,華廈(10層含以下有電梯),鋼筋混凝土造,0,0,0,,有,116071,False,4,121.44772359999999,25.050697099999997
