,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
3074,109,碇內街218號7樓,暖暖區,24.0,房地(土地+建物)+車位,1090928,0850217,華廈(10層含以下有電梯),4,2,3,坡道平面,有,28173,False,7,121.75294120000001,25.090672100000003
3075,109,新豐街303巷6弄2號12樓,中正區,24.0,房地(土地+建物)+車位,1090925,0850711,住宅大樓(11層含以上有電梯),2,1,1,坡道平面,有,27659,False,12,121.78768160000001,25.1350053
3076,109,教忠街98號五樓,信義區,1.0,房地(土地+建物)+車位,1090923,1080409,華廈(10層含以下有電梯),3,2,2,升降機械,有,62510,False,5,121.77853990000001,25.1362046
3077,109,復興路95之6號5樓,中山區,5.0,房地(土地+建物),1090920,1040105,華廈(10層含以下有電梯),4,2,2,,有,58348,False,5,121.7258197,25.1443048
3078,109,源遠路392號10樓,暖暖區,5.0,房地(土地+建物)+車位,1090922,1041228,住宅大樓(11層含以上有電梯),2,1,1,坡道平面,有,48426,False,10,121.7588969,25.099482899999998
3079,109,碇內街133號8樓,暖暖區,11.0,房地(土地+建物)+車位,1090929,0980624,住宅大樓(11層含以上有電梯),3,1,2,坡道平面,有,41067,False,8,121.75443200000001,25.0908372
3080,109,源遠路249巷197號7樓,暖暖區,27.0,房地(土地+建物),1090918,0820916,華廈(10層含以下有電梯),3,2,2,,有,41013,False,7,121.75394740000002,25.1002811
3081,109,麥金路457號,安樂區,37.0,房地(土地+建物),1090910,0720917,公寓(5樓含以下無電梯),3,1,1,,無,105808,False,1,121.7191549,25.127223200000003
3082,109,復興路331巷21號5樓,中山區,22.0,房地(土地+建物),1090928,0870901,公寓(5樓含以下無電梯),4,2,2,,無,26202,False,5,121.7279832,25.151525000000003
3083,109,觀海街111號5樓,中正區,21.0,房地(土地+建物)+車位,1090925,0880114,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,25189,False,5,121.79327359999998,25.138112
3084,109,新豐街303巷21弄13號5樓,中正區,24.0,房地(土地+建物),1090908,0851119,公寓(5樓含以下無電梯),3,2,1,,無,31991,False,5,121.7889848,25.1329988
3085,109,南新街31巷39號5樓,仁愛區,29.0,房地(土地+建物),1090912,0800628,公寓(5樓含以下無電梯),4,2,2,,無,33071,False,5,121.74513929999999,25.1248798
3086,109,愛七路45之8號,仁愛區,44.0,房地(土地+建物),1090910,0650623,公寓(5樓含以下無電梯),3,2,2,,無,40880,False,1,121.7491884,25.1263606
3087,109,新豐街303巷17弄20號2樓,中正區,24.0,房地(土地+建物),1090902,0851119,公寓(5樓含以下無電梯),3,2,2,,無,31706,False,2,121.78910599999999,25.1337163
3088,109,中正路764號2樓之2,中正區,35.0,房地(土地+建物),1090923,0740614,公寓(5樓含以下無電梯),2,2,4,,無,35239,False,2,120.7722813,24.0229596
3089,109,中和路168巷5弄30號,安樂區,23.0,房地(土地+建物),1090919,0860401,公寓(5樓含以下無電梯),3,1,2,,無,42392,False,1,121.71684309999999,25.150258200000003
3090,109,泰安路58號,七堵區,25.0,房地(土地+建物),1090927,0840428,公寓(5樓含以下無電梯),3,2,2,,無,37310,False,1,121.12409315,23.9947858
3091,109,麥金路311號7樓,安樂區,4.0,房地(土地+建物)+車位,1090922,1050124,住宅大樓(11層含以上有電梯),2,1,1,坡道平面,有,84100,False,7,121.72026249999999,25.1235769
3092,109,基金一路135巷103號7樓,安樂區,25.0,房地(土地+建物),1090927,0840519,華廈(10層含以下有電梯),3,2,2,,有,45406,False,7,121.7092311,25.140599650000002
3093,109,八堵路20巷10號5樓,暖暖區,19.0,房地(土地+建物)+車位,1090925,0901004,公寓(5樓含以下無電梯),3,2,2,坡道平面,無,33210,False,5,121.7357488,25.1109233
3094,109,永富路222號6樓,七堵區,10.0,房地(土地+建物)+車位,1090922,0991011,華廈(10層含以下有電梯),3,2,2,坡道平面,有,75503,False,6,121.71056139999999,25.0981472
