,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
9728,110,新豐街333巷5號,中正區,26.0,房地(土地+建物),1100325,0840821,華廈(10層含以下有電梯),3,2,2,,有,44364,False
9729,110,觀海街119號12樓,中正區,22.0,房地(土地+建物),1100424,0880114,住宅大樓(11層含以上有電梯),1,0,1,,有,48062,False
9730,110,新豐街303巷23弄14號4樓,中正區,25.0,房地(土地+建物),1100418,0851119,公寓(5樓含以下無電梯),3,2,2,,無,31171,False
9731,110,新豐街274號15樓,中正區,25.0,房地(土地+建物),1100413,0851129,住宅大樓(11層含以上有電梯),3,2,2,,有,46457,False
9732,110,觀海街135號2樓,中正區,22.0,房地(土地+建物),1100415,0880114,住宅大樓(11層含以上有電梯),2,1,1,,有,35100,False
9733,110,南興路1之7號4樓,七堵區,20.0,房地(土地+建物),1100419,0900928,華廈(10層含以下有電梯),3,2,2,,有,73592,False
9734,110,中和路168巷15弄35號,安樂區,26.0,房地(土地+建物),1100403,0840117,公寓(5樓含以下無電梯),6,2,2,,無,25172,False
9735,110,崇德路82巷61號,安樂區,41.0,房地(土地+建物),1100408,0690926,透天厝,2,2,2,,無,42458,False
9736,110,中和路168巷12弄16號3樓,安樂區,26.0,房地(土地+建物),1100402,0840124,公寓(5樓含以下無電梯),3,2,2,,無,35074,False
9737,110,中和路168巷6弄28號5樓,安樂區,25.0,房地(土地+建物),1100415,0851202,公寓(5樓含以下無電梯),2,2,1,,無,26910,False
9738,110,暖暖街530巷122之1號,暖暖區,40.0,房地(土地+建物),1100421,0701214,公寓(5樓含以下無電梯),4,2,1,,無,28686,False
9739,110,基金一路112巷110弄20之1號7樓,安樂區,25.0,房地(土地+建物)+車位,1100328,0851126,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,40440,False
9740,110,東碇路328號3樓,暖暖區,24.0,房地(土地+建物),1100411,0860623,華廈(10層含以下有電梯),2,1,1,,有,49474,False
9741,110,基金一路112巷110弄20之4號7樓,安樂區,25.0,房地(土地+建物)+車位,1100322,0851126,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,35728,False
9742,110,定國街91號,安樂區,60.0,房地(土地+建物),1100503,0500800,透天厝,1,2,1,,無,27174,False
9743,110,崇德路178巷5之3號4樓,安樂區,32.0,房地(土地+建物),1100331,0780306,公寓(5樓含以下無電梯),3,2,1,,無,35305,False
9744,110,基金一路121巷30之6號3樓,安樂區,25.0,房地(土地+建物),1100418,0850503,華廈(10層含以下有電梯),3,2,2,,有,38072,False
9745,110,國安路30巷10之7號,暖暖區,39.0,房地(土地+建物),1100428,0710915,公寓(5樓含以下無電梯),2,1,1,,無,15089,False
9746,110,中正路432號2樓,中正區,36.0,房地(土地+建物),1100426,0740725,公寓(5樓含以下無電梯),1,2,1,,無,55188,False
9747,110,東信路55巷30之1號,信義區,48.0,房地(土地+建物),1100327,0620706,公寓(5樓含以下無電梯),2,2,1,,無,39690,False
9748,110,武昌街104巷47之3號,中正區,39.0,房地(土地+建物),1100416,0710918,公寓(5樓含以下無電梯),2,1,1,,無,22462,False
9749,110,龍安街198巷4弄16號,仁愛區,52.0,房地(土地+建物),1100410,0580421,公寓(5樓含以下無電梯),2,1,1,,無,35363,False
9750,110,愛七路41之9號,仁愛區,50.0,房地(土地+建物),1100410,0600319,公寓(5樓含以下無電梯),2,2,1,,無,32121,False
9751,110,東明路77巷166號4樓,信義區,31.0,房地(土地+建物),1100411,0790601,公寓(5樓含以下無電梯),3,2,1,,無,38820,False
9752,110,仁一路99號4樓,仁愛區,37.0,房地(土地+建物),1100328,0730302,公寓(5樓含以下無電梯),2,2,2,,無,60540,False
9753,110,自來街11號3樓,仁愛區,44.0,房地(土地+建物),1100323,0660823,公寓(5樓含以下無電梯),3,2,1,,無,30008,False
9754,110,中正路319號二樓,中正區,16.0,房地(土地+建物),1100326,0940817,公寓(5樓含以下無電梯),2,2,2,,無,50676,False
9755,110,東明路62巷8號3樓,信義區,35.0,房地(土地+建物),1100418,0750328,公寓(5樓含以下無電梯),3,2,2,,無,53657,False
9756,110,祥豐街331號3樓,中正區,38.0,房地(土地+建物),1100418,0720803,公寓(5樓含以下無電梯),3,2,2,,無,36833,False
9757,110,基金一路208巷130號4樓,安樂區,27.0,房地(土地+建物),1100423,0831015,公寓(5樓含以下無電梯),3,1,2,,無,24286,False
9758,110,泰安路32巷40號,七堵區,41.0,房地(土地+建物),1100417,0690523,公寓(5樓含以下無電梯),2,2,1,,無,60411,False
9759,110,百三街138之1號,七堵區,42.0,房地(土地+建物),1100410,0680221,公寓(5樓含以下無電梯),3,2,1,,無,55046,False
9760,110,崇孝街28之6號,七堵區,45.0,房地(土地+建物),1100315,0650623,公寓(5樓含以下無電梯),3,2,2,,無,37827,False
9761,110,基金三路48號4樓,安樂區,26.0,房地(土地+建物),1100206,0840701,住宅大樓(11層含以上有電梯),3,2,1,,有,33134,False
9762,110,劉銘傳路82號5樓,仁愛區,37.0,房地(土地+建物),1100325,0730124,公寓(5樓含以下無電梯),3,2,1,,無,25915,False
9763,110,樂利二街62巷93號5樓,安樂區,26.0,房地(土地+建物),1100309,0841002,華廈(10層含以下有電梯),3,2,2,,有,42413,False
9764,110,武隆街103巷55弄40號3樓,安樂區,27.0,房地(土地+建物),1100405,0831108,公寓(5樓含以下無電梯),3,2,2,,無,31976,False
9765,110,安一路328之3號5樓,安樂區,38.0,房地(土地+建物),1100427,0720719,公寓(5樓含以下無電梯),3,2,1,,無,31132,False
9766,110,中和路168巷6弄52號5樓,安樂區,24.0,房地(土地+建物),1100421,0860902,公寓(5樓含以下無電梯),4,2,2,,無,22471,False
9767,110,源遠路165之19號3樓,暖暖區,25.0,房地(土地+建物),1100331,0850309,住宅大樓(11層含以上有電梯),3,2,1,,有,45045,False
