,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
5810,107,臺北市內湖區陽光街202巷10號,內湖區,34.0,房地(土地+建物),1070109,0730207,華廈(10層含以下有電梯),3,2,2,,有,143048,False
5811,107,臺北市中山區敬業三路162巷26號三樓,中山區,18.0,房地(土地+建物),1070119,0890628,住宅大樓(11層含以上有電梯),3,2,2,,有,176792,False
5812,107,臺北市信義區吳興街284巷59弄9號七樓,信義區,10.0,房地(土地+建物)+車位,1070108,0970128,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,133317,False
5813,107,臺北市南港區成福路178巷12號2樓,南港區,44.0,房地(土地+建物),1070105,0631129,公寓(5樓含以下無電梯),3,2,1,,無,123011,False
5814,107,臺北市信義區忠孝東路四段553巷16弄1之1號五樓,信義區,42.0,房地(土地+建物),1070116,0650504,套房(1房1廳1衛),1,1,1,,無,218778,False
5815,106,臺北市信義區逸仙路42巷1號四樓之1,信義區,21.0,房地(土地+建物)+車位,1061230,0850504,套房(1房1廳1衛),1,1,1,升降機械,無,255912,False
5816,106,臺北市大安區新生南路二段82號七樓之5,大安區,37.0,房地(土地+建物),1061229,0690526,華廈(10層含以下有電梯),3,2,1,,有,251256,False
5817,107,臺北市大安區市民大道三段180號二十樓,大安區,2.0,房地(土地+建物)+車位,1070129,1050111,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,431470,False
5818,107,臺北市大安區市民大道三段182號二十樓,大安區,2.0,房地(土地+建物)+車位,1070129,1050111,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,431417,False
5819,107,臺北市北投區溫泉路65巷16號十二樓之9,北投區,40.0,房地(土地+建物),1070113,0670104,套房(1房1廳1衛),1,1,1,,無,143155,False
5820,106,臺北市士林區福國路95號5樓之14,士林區,40.0,房地(土地+建物),1061215,0660811,套房(1房1廳1衛),1,1,1,,無,179236,False
5821,107,臺北市北投區尊賢街259號2樓,北投區,43.0,房地(土地+建物),1070106,0640109,公寓(5樓含以下無電梯),3,2,2,,無,123547,False
5822,106,臺北市士林區中正路707巷19之1號六樓,士林區,34.0,房地(土地+建物),1061223,0721011,住宅大樓(11層含以上有電梯),3,2,1,,有,123457,False
5823,107,臺北市北投區明德路289巷3號四樓,北投區,25.0,房地(土地+建物),1070114,0820701,公寓(5樓含以下無電梯),3,2,1,,無,186651,False
5824,107,臺北市士林區德行東路190巷42號3樓,士林區,33.0,房地(土地+建物)+車位,1070119,0741114,華廈(10層含以下有電梯),3,2,2,坡道平面,有,169515,False
5825,107,臺北市中山區長春路26號10樓之16,中山區,34.0,房地(土地+建物),1070116,0731128,住宅大樓(11層含以上有電梯),1,1,1,,有,139191,False
5826,106,臺北市北投區立農街一段257巷12弄2號5樓,北投區,31.0,房地(土地+建物),1061228,0750219,公寓(5樓含以下無電梯),3,2,1,,無,113377,False
