,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
2715,106,臺北市大安區辛亥路一段93號12樓之1,大安區,27.0,房地(土地+建物)+車位,1060110,0791219,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,223361,False
2716,106,臺北市北投區明德路150巷18號2樓,北投區,39.0,房地(土地+建物),1060107,0670131,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,154447,False
2717,106,臺北市北投區自強街5巷153號3樓之3,北投區,18.0,房地(土地+建物),1060204,0881014,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,,有,194822,False
2718,106,臺北市士林區中山北路七段199號4樓,士林區,32.0,房地(土地+建物),1060107,0740813,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,165690,False
2719,105,臺北市士林區文林路661巷3號4樓,士林區,37.0,房地(土地+建物),1051220,0680214,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,176329,False
2720,106,臺北市信義區和平東路三段169號12樓之7,信義區,9.0,房地(土地+建物),1060120,0970205,套房(1房1廳1衛),鋼筋混凝土造,0,1,1,,無,217756,False
2721,105,臺北市信義區虎林街100巷193號,信義區,54.0,房地(土地+建物),1051211,0510201,透天厝,加強磚造,4,3,3,,無,111883,False
2722,105,臺北市萬華區武昌街二段124之2號5樓之11,萬華區,42.0,房地(土地+建物),1051229,0630806,套房(1房1廳1衛),鋼筋混凝土造,0,1,1,,無,123821,False
2723,106,臺北市北投區大興街68號二樓,北投區,29.0,房地(土地+建物),1060118,0771107,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,122009,False
2724,106,臺北市北投區立農街二段293號三樓,北投區,41.0,房地(土地+建物),1060122,0651104,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,133970,False
2725,106,臺北市北投區大同街125巷30號4樓,北投區,23.0,房地(土地+建物),1060101,0830222,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,112208,False
2726,106,臺北市士林區中山北路六段290巷43號3樓之2,士林區,21.0,房地(土地+建物),1060117,0850126,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,177021,False
2727,106,臺北市北投區中和街502巷15弄7號四樓,北投區,41.0,房地(土地+建物),1060121,0650514,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,1,,無,94624,False
2728,106,臺北市北投區稻香路161巷1號8樓之1,北投區,10.0,房地(土地+建物)+車位,1060108,0960627,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,升降平面,有,99112,False
2729,105,臺北市士林區基河路15號二十一樓,士林區,1.0,房地(土地+建物)+車位,1051224,1041104,住宅大樓(11層含以上有電梯),鋼筋混凝土造,0,0,0,坡道平面,有,280964,False
2730,106,臺北市北投區公?路161巷13號三樓,北投區,2.0,房地(土地+建物)+車位,1060207,1041119,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,163106,False
2731,106,臺北市士林區基河路19號七樓,士林區,2.0,房地(土地+建物)+車位,1060213,1041104,住宅大樓(11層含以上有電梯),鋼筋混凝土造,0,0,0,坡道平面,有,210675,False
2732,106,臺北市士林區永平街75巷46號四樓,士林區,40.0,房地(土地+建物),1060121,0660913,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,121175,False
2733,106,臺北市北投區中央北路三段40巷20弄6號五樓,北投區,22.0,房地(土地+建物)+車位,1060206,0840215,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,3,升降機械,有,81017,False
2734,105,臺北市大安區建國南路一段291巷9號13樓,大安區,29.0,房地(土地+建物),1051224,0760216,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,1,,有,261049,False
2735,105,臺北市文山區政大二街25號,文山區,14.0,房地(土地+建物)+車位,1051211,0910321,透天厝,鋼骨鋼筋混凝土造,4,2,3,坡道平面,無,119566,False
2736,106,臺北市內湖區安泰街83巷7之1號十樓,內湖區,22.0,房地(土地+建物)+車位,1060116,0840330,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,1,坡道機械,有,107797,False
2737,106,臺北市大同區西寧北路56號4樓之3,大同區,39.0,房地(土地+建物),1060110,0670130,住宅大樓(11層含以上有電梯),鋼筋混凝土造,0,0,2,,有,119592,False
2738,106,臺北市文山區新光路一段161號4樓,文山區,22.0,房地(土地+建物),1060105,0840725,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,2,,有,139626,False
2739,106,臺北市中正區和平西路一段101號十二樓,中正區,6.0,房地(土地+建物)+車位,1060123,1000713,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,239222,False
2740,105,臺北市文山區車前路11號7樓,文山區,1.0,房地(土地+建物)+車位,1051225,1040427,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,4,2,3,坡道平面,有,187320,False
2741,105,臺北市文山區車前路21號16樓,文山區,1.0,房地(土地+建物)+車位,1051225,1040427,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土造,3,2,3,坡道平面,有,184833,False
2742,105,臺北市文山區景文街1號五樓之1,文山區,12.0,房地(土地+建物)+車位,1051128,0931105,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,坡道平面,無,130442,False
2743,106,臺北市文山區興隆路四段165巷40弄19之1號,文山區,4.0,房地(土地+建物)+車位,1060116,1021118,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,108145,False
2744,106,臺北市中正區和平西路二段121號八樓之1,中正區,28.0,房地(土地+建物),1060110,0780627,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,165484,False
2745,106,臺北市萬華區內江街128號12樓,萬華區,2.0,房地(土地+建物)+車位,1060117,1040210,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,170109,False
2746,106,臺北市萬華區康定路105號17樓,萬華區,1.0,房地(土地+建物),1060124,1050331,套房(1房1廳1衛),見其他登記事項,0,1,1,,無,196536,False
2747,106,臺北市萬華區萬大路618巷40號四樓,萬華區,31.0,房地(土地+建物),1060123,0750613,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,99047,False
2748,106,臺北市中山區林森北路85巷33號6樓之3,中山區,10.0,房地(土地+建物),1060125,0961228,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,169036,False
2749,106,臺北市中山區遼寧街62巷20號二樓之2,中山區,8.0,房地(土地+建物),1060207,0980123,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,,有,208633,False
2750,105,臺北市萬華區萬大路618巷42號四樓,萬華區,30.0,房地(土地+建物),1051211,0750613,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,99047,False
2751,106,臺北市中山區林森北路131號五樓之3,中山區,40.0,房地(土地+建物),1060113,0660121,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,145068,False
2752,106,臺北市內湖區康樂街48巷18之1號三樓,內湖區,31.0,房地(土地+建物),1060118,0750227,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,119310,False
2753,106,臺北市信義區虎林街30巷12弄9號五樓,信義區,32.0,房地(土地+建物),1060114,0740517,公寓(5樓含以下無電梯),鋼筋混凝土造,4,3,3,,無,155033,False
2754,105,臺北市信義區吳興街284巷22弄112號,信義區,38.0,房地(土地+建物),1051230,0670930,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,72211,False
2755,106,臺北市內湖區文湖街21巷81號4樓,內湖區,2.0,房地(土地+建物)+車位,1060209,1041015,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,138922,False
2756,105,臺北市大安區光復南路240巷47號四樓,大安區,35.0,房地(土地+建物),1051208,0701204,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,272071,False
2757,105,臺北市北投區石牌路二段315巷29號,北投區,28.0,房地(土地+建物)+車位,1051123,0770426,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,坡道平面,無,136980,False
2758,106,臺北市士林區社中街426巷12號,士林區,40.0,房地(土地+建物),1060123,0660426,公寓(5樓含以下無電梯),鋼筋混凝土造,0,0,0,,無,137487,False
2759,106,臺北市北投區大業路300巷16號3樓,北投區,38.0,房地(土地+建物),1060122,0680221,公寓(5樓含以下無電梯),鋼筋混凝土造,4,1,4,,無,128495,False
2760,105,臺北市士林區德行東路188號三樓,士林區,39.0,房地(土地+建物),1051230,0660301,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,1,,無,178174,False
2761,105,臺北市士林區德行東路190巷6弄2號二樓,士林區,38.0,房地(土地+建物),1051230,0670404,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,161421,False
2762,105,臺北市中山區德惠街87號6樓,中山區,32.0,房地(土地+建物),1051204,0730601,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,2,,有,166470,False
2763,106,臺北市內湖區安泰街93號7樓,內湖區,9.0,房地(土地+建物)+車位,1060116,0970619,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,坡道機械,有,116009,False
2764,105,臺北市中山區松江路506號8樓-1,中山區,32.0,房地(土地+建物)+車位,1051227,0731214,華廈(10層含以下有電梯),鋼筋混凝土造,3,1,2,坡道平面,有,148407,False
2765,106,臺北市萬華區和平西路三段14號4樓,萬華區,33.0,房地(土地+建物),1060204,0730921,公寓(5樓含以下無電梯),鋼筋混凝土造,1,1,1,,無,120856,False
2766,105,臺北市松山區光復北路3號6樓之1,松山區,28.0,房地(土地+建物),1051217,0771123,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,229759,False
2767,106,臺北市信義區吳興街284巷22弄110號2樓,信義區,39.0,房地(土地+建物),1060108,0670930,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,154029,False
2768,106,臺北市北投區義方街17號4樓,北投區,38.0,房地(土地+建物),1060120,0681201,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,91220,False
2769,106,臺北市大安區信義路四段388號13樓,大安區,6.0,房地(土地+建物)+車位,1060117,1001027,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,363592,False
2770,105,臺北市大安區羅斯福路三段281號9樓,大安區,36.0,房地(土地+建物),1051214,0691215,辦公商業大樓,鋼筋混凝土造,4,2,2,,無,181911,False
2771,106,臺北市大安區泰順街16巷9號4樓,大安區,30.0,房地(土地+建物),1060124,0761009,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,181493,False
2772,105,臺北市北投區溫泉路139號4樓,北投區,39.0,房地(土地+建物),1051223,0661017,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,,有,53731,False
2773,105,臺北市松山區光復南路58號6樓,松山區,4.0,房地(土地+建物)+車位,1051217,1010911,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,3,坡道平面,有,262388,False
