,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
0,107,臺北市中正區南昌路一段124號11樓,中正區,10.0,房地(土地+建物)+車位,1071014,0970307,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,塔式車位,有,265223,False
1,107,臺北市文山區萬壽路61巷13號九樓,文山區,23.0,房地(土地+建物),1071024,0841220,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,123877,False
2,107,臺北市萬華區長沙街二段103之1號5樓,萬華區,41.0,房地(土地+建物),1070930,0661207,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,111508,False
3,107,臺北市萬華區昆明街46號6樓之10,萬華區,31.0,房地(土地+建物),1070930,0761221,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,156875,False
4,107,臺北市中正區仁愛路二段9巷17號3樓之6,中正區,10.0,房地(土地+建物),1071014,0971114,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,252513,False
5,107,臺北市大同區延平北路二段272巷1號5樓,大同區,32.0,房地(土地+建物),1071007,0750623,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,2,,有,162060,False
6,107,臺北市大同區太原路155號2樓之6,大同區,16.0,房地(土地+建物)+車位,1070924,0910225,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,190688,False
7,107,臺北市萬華區莒光路197巷3號五樓,萬華區,31.0,房地(土地+建物),1071013,0760929,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,1,,無,114291,False
8,107,臺北市萬華區萬大路423巷32弄9號八樓,萬華區,20.0,房地(土地+建物)+車位,1071012,0870824,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,其他,有,124228,False
9,107,臺北市中正區中華路一段95巷7號六樓之2,中正區,2.0,房地(土地+建物),1071004,1050622,住宅大樓(11層含以上有電梯),見其他登記事項,3,2,3,,有,292282,False
10,107,臺北市大同區敦煌路50號三樓,大同區,45.0,房地(土地+建物),1071003,0620718,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,129918,False
11,107,臺北市中正區中華路一段7號八樓之8、7號,中正區,3.0,房地(土地+建物),1071003,1041214,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,222991,False
12,107,臺北市內湖區內湖路三段110號三樓,內湖區,9.0,房地(土地+建物)+車位,1071016,0980119,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,2,坡道機械,有,162170,False
13,107,臺北市內湖區內湖路三段326巷5弄9號四樓,內湖區,37.0,房地(土地+建物),1071016,0700525,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,107266,False
