,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
0,103,臺北市文山區福興路102號3樓,文山區,12.0,房地(土地+建物)+車位,1030926,0910912,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,107118,False
1,103,臺北市文山區秀明路1段185巷34弄12號3樓,文山區,23.0,房地(土地+建物)+車位,1031007,0800731,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,3,坡道平面,有,113824,False
2,103,臺北市中正區廈門街81巷6號3樓之1,中正區,17.0,房地(土地+建物),1031019,0860828,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,176534,False
3,103,臺北市文山區興隆路三段185巷5弄8號4樓,文山區,31.0,房地(土地+建物),1030930,0720823,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,90076,False
4,103,臺北市文山區木柵路二段109巷100弄40之1號二樓,文山區,18.0,房地(土地+建物)+車位,1031016,0850925,套房(1房1廳1衛),鋼筋混凝土造,1,0,1,坡道機械,無,112097,False
5,103,臺北市文山區興隆路三段304巷32之12號,文山區,0.0,房地(土地+建物)+車位,1030930,1030314,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,坡道機械,有,154628,False
6,103,臺北市中正區濟南路二段18之2號5樓,中正區,37.0,房地(土地+建物),1030913,0660115,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,1,,無,242063,False
7,103,臺北市萬華區康定路24號十樓之7,萬華區,35.0,房地(土地+建物),1030928,0680507,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,138669,False
8,103,臺北市中山區長安東路二段208號8樓之1,中山區,7.0,房地(土地+建物),1030927,0960623,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,2,,有,285526,False
9,103,臺北市內湖區新明路498巷14弄9號四樓,內湖區,3.0,房地(土地+建物)+車位,1031008,1001123,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,升降機械,有,154284,False
10,103,臺北市中山區林森北路587號8樓之1,中山區,3.0,房地(土地+建物)+車位,1031003,1000726,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,坡道平面,有,195141,False
11,103,臺北市內湖區行善路247號15樓,內湖區,4.0,房地(土地+建物)+車位,1030920,0990329,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,190150,False
12,103,臺北市中山區德惠街52號7樓之7,中山區,32.0,房地(土地+建物),1031002,0710227,套房(1房1廳1衛),鋼筋混凝土造,1,0,1,,無,153710,False
13,103,臺北市內湖區港華街107巷20號三樓,內湖區,34.0,房地(土地+建物),1031001,0690704,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,66832,False
14,103,臺北市內湖區民權東路6段296巷26號16樓之2,內湖區,18.0,房地(土地+建物),1031020,0850628,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,256840,False
15,103,臺北市內湖區港華街70號3樓,內湖區,31.0,房地(土地+建物),1030922,0720620,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,142131,False
16,103,臺北市內湖區內湖路二段103巷52號10樓,內湖區,32.0,房地(土地+建物),1030912,0711126,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,3,,有,230083,False
17,103,臺北市內湖區金湖路16之4號5樓,內湖區,33.0,房地(土地+建物),1030919,0700723,公寓(5樓含以下無電梯),鋼筋混凝土造,5,0,5,,無,121984,False
18,103,臺北市中山區遼寧街62巷20號四樓之2,中山區,5.0,房地(土地+建物)+車位,1031013,0980123,華廈(10層含以下有電梯),鋼筋混凝土造,2,1,1,升降機械,有,222509,False
19,103,臺北市中山區長春路97號四樓,中山區,0.0,房地(土地+建物)+車位,1030825,1030529,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,256993,False
21,103,臺北市內湖區週美里南京東路六段389號3樓,內湖區,0.0,房地(土地+建物)+車位,1030414,1030801,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,211852,False
22,103,臺北市松山區南京東路五段239號6樓之3,松山區,5.0,房地(土地+建物),1031014,0980331,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,276876,False
23,103,臺北市南港區興南街64巷6弄13號,南港區,20.0,房地(土地+建物)+車位,1031014,0830223,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道機械,有,138343,False
24,103,臺北市信義區永吉路517巷1弄16號三樓,信義區,44.0,房地(土地+建物),1031006,0590730,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,176317,False
25,103,臺北市南港區東新街180巷9號九樓之1,南港區,11.0,房地(土地+建物)+車位,1030923,0920107,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,147861,False
26,103,臺北市信義區莊敬路214號四樓,信義區,41.0,房地(土地+建物),1031011,0620109,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,219485,False
27,103,臺北市北投區懷德街75巷33號9樓之1,北投區,3.0,房地(土地+建物)+車位,1030919,1000608,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,222273,False
28,103,臺北市士林區社子街125巷35號2樓,士林區,38.0,房地(土地+建物),1031013,0651210,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,122336,False
29,103,臺北市北投區石牌路二段357巷11之1號,北投區,18.0,房地(土地+建物),1030922,0850624,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,,有,126309,False
30,103,臺北市北投區大度路三段270巷67號16樓,北投區,2.0,房地(土地+建物),1031007,1010217,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,162089,False
31,103,臺北市北投區義理街63巷17之14號4樓,北投區,25.0,房地(土地+建物),1030926,0780714,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,136677,False
32,103,臺北市北投區溫泉路145之2號五樓,北投區,30.0,房地(土地+建物),1031021,0730517,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,74836,False
