,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
0,109,興隆路二段217巷8之7號五樓,文山區,24.0,房地(土地+建物),1091029,0850715,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,178092,False
1,109,和平東路四段65巷77弄1號,文山區,33.0,房地(土地+建物),1091105,0760413,透天厝,鋼筋混凝土造,5,4,3,,無,139426,False
2,109,和平西路三段197號,萬華區,47.0,房地(土地+建物),1091017,0620621,公寓(5樓含以下無電梯),鋼筋混凝土造,0,1,1,,無,271462,False
3,109,延平北路二段242號九樓,大同區,38.0,房地(土地+建物),1091111,0710930,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,0,3,,有,134794,False
4,109,西藏路544號五樓,萬華區,41.0,房地(土地+建物),1091104,0680410,公寓(5樓含以下無電梯),鋼筋混凝土造,4,1,2,,無,106476,False
5,109,開封街二段66之4號十二樓之3,萬華區,25.0,房地(土地+建物),1091107,0841201,住宅大樓(11層含以上有電梯),鋼筋混凝土造,0,1,1,,有,160511,False
6,109,武成街28巷7號,萬華區,36.0,房地(土地+建物),1091021,0730419,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,103522,False
7,109,建國北路三段81巷18號三樓,中山區,43.0,房地(土地+建物),1091031,0661110,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,150708,False
8,109,內湖路二段65號四樓,內湖區,42.0,房地(土地+建物),1091029,0670914,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,158925,False
9,109,龍江路243巷18號,中山區,51.0,房地(土地+建物),1091124,0581013,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,299605,False
10,109,文德路210巷30弄92號三樓,內湖區,37.0,房地(土地+建物),1091121,0720413,公寓(5樓含以下無電梯),鋼筋混凝土造,4,0,4,,無,149893,False
11,109,金龍路85號七樓,內湖區,19.0,房地(土地+建物),1091030,0900425,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,216112,False
12,109,八德路四段520號十三樓,松山區,18.0,房地(土地+建物)+車位,1091021,0910612,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,升降平面,有,200222,False
13,109,永吉路30巷145號三樓,信義區,13.0,房地(土地+建物)+車位,1091101,0961231,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,塔式車位,有,231556,False
14,109,三民路136巷64號三樓,松山區,48.0,房地(土地+建物),1091119,0610401,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,178696,False
15,109,八德路四段204巷6弄22號四樓,松山區,45.0,房地(土地+建物),1091107,0640311,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,163155,False
