,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
8269,107,臺北市內湖區康樂街186巷1弄1號5樓,內湖區,31.0,房地(土地+建物),1071006,0761128,公寓(5樓含以下無電梯),5,4,3,,無,102416,False,5,121.62044650000001,25.0762526
8270,107,臺北市松山區撫遠街399巷31號3樓,松山區,43.0,房地(土地+建物),1071008,0640410,公寓(5樓含以下無電梯),3,2,1,,無,158200,False,3,121.5673511,25.065804499999995
8271,107,臺北市信義區吳興街284巷59弄11號5樓,信義區,10.0,房地(土地+建物)+車位,1070922,0970128,住宅大樓(11層含以上有電梯),2,2,2,坡道平面,有,182276,False,5,121.56364370000001,25.022050399999994
8272,107,臺北市大安區通化街39巷32號2樓,大安區,33.0,房地(土地+建物),1070925,0740521,公寓(5樓含以下無電梯),2,1,1,,無,180451,False,2,121.55504989999999,25.0308172
8273,107,臺北市大安區和平東路三段384號,大安區,39.0,房地(土地+建物),1070918,0681105,公寓(5樓含以下無電梯),2,2,2,,無,224657,False,1,121.55786599999998,25.018842
8274,107,臺北市大安區安和路二段209巷12號2樓,大安區,31.0,房地(土地+建物),1070923,0760814,華廈(10層含以下有電梯),4,2,2,,有,241970,False,2,121.55093689999998,25.026334999999996
8275,107,臺北市士林區天母東路91巷1號3樓,士林區,37.0,房地(土地+建物),1070806,0700930,公寓(5樓含以下無電梯),3,2,2,,無,128190,False,3,121.5357943,25.1188692
8276,107,臺北市北投區明德路267巷10號3樓,北投區,5.0,房地(土地+建物),1070927,1020308,住宅大樓(11層含以上有電梯),3,2,1,,有,188449,False,3,121.5217479,25.114698299999997
8277,107,臺北市士林區福壽街45號四樓,士林區,3.0,房地(土地+建物)+車位,1071022,1041203,套房(1房1廳1衛),1,1,1,升降機械,無,228526,False,4,121.52544359999997,25.0965775
8278,107,臺北市文山區溪口街85巷7弄4號2樓,文山區,37.0,房地(土地+建物),1070810,0700113,公寓(5樓含以下無電梯),4,2,1,,無,124813,False,2,121.53836310000001,24.994825600000002
8279,107,臺北市文山區萬盛街142號3樓,文山區,6.0,房地(土地+建物)+車位,1071005,1010725,華廈(10層含以下有電梯),3,2,2,其他,有,143747,False,3,121.5421964,25.005495
8280,107,臺北市內湖區行善路25巷40弄10號4樓,內湖區,21.0,房地(土地+建物),1071007,0860526,華廈(10層含以下有電梯),3,2,2,,有,127714,False,4,121.577619,25.055936
8281,107,臺北市內湖區江南街100號5樓,內湖區,32.0,房地(土地+建物),1070909,0750725,公寓(5樓含以下無電梯),2,2,2,,無,128881,False,5,121.5768492,25.077053299999996
8282,107,臺北市內湖區成功路三段76巷33號3樓,內湖區,5.0,房地(土地+建物)+車位,1070813,1020607,華廈(10層含以下有電梯),3,2,3,坡道平面,有,188895,False,3,121.58883139999999,25.078158000000002
8283,107,臺北市信義區和平東路三段509巷7弄13號,信義區,4.0,房地(土地+建物)+車位,1071001,1030917,公寓(5樓含以下無電梯),2,1,1,坡道機械,無,181350,False,1,121.5607087,25.0181423
8284,107,臺北市南港區松河街772號三樓之3,南港區,9.0,房地(土地+建物),1071021,0981207,套房(1房1廳1衛),1,1,1,,無,182166,False,3,121.6121714,25.061702499999996
8285,107,臺北市信義區吳興街432巷138號四樓,信義區,29.0,房地(土地+建物),1071017,0781016,公寓(5樓含以下無電梯),3,2,2,,無,136736,False,4,121.5676075,25.022837799999998
8286,107,臺北市中山區長春路258巷27號3樓,中山區,2.0,房地(土地+建物)+車位,1071024,1051124,住宅大樓(11層含以上有電梯),0,0,3,坡道平面,有,341867,False,3,121.53954259999998,25.0535508
8287,107,臺北市中山區德惠街45號六樓之23,中山區,39.0,房地(土地+建物),1071009,0681215,套房(1房1廳1衛),0,0,0,,無,140722,False,6,121.52699659999999,25.066763599999994
8288,107,臺北市中山區林森北路133巷67號四樓之1,中山區,37.0,房地(土地+建物),1071014,0701223,公寓(5樓含以下無電梯),1,1,1,,無,130271,False,4,121.5274436,25.0508738
8289,107,臺北市中山區建國北路二段258巷8號五樓,中山區,35.0,房地(土地+建物),1070916,0720510,公寓(5樓含以下無電梯),3,3,2,,無,159273,False,5,121.536218,25.061713299999997
8292,107,臺北市中山區南京東路二段23號四樓之2,中山區,1.0,房地(土地+建物)+車位,1071001,1061208,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,326678,False,4,121.5288999,25.0523009
8293,107,臺北市中山區松江路506號十二樓之1,中山區,34.0,房地(土地+建物)+車位,1071018,0731214,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,152647,False,12,121.53303059999998,25.0658589
8294,107,臺北市中山區林森北路472號七樓之9,中山區,22.0,房地(土地+建物),1071010,0850730,華廈(10層含以下有電梯),1,0,1,,有,184688,False,7,121.5254629,25.0611103
8295,107,臺北市中山區南京東路二段23號二十三樓之1,中山區,1.0,房地(土地+建物)+車位,1070926,1061208,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,409409,False,23,121.5288999,25.0523009
8296,107,臺北市中山區民生東路一段70巷10號2樓之1,中山區,11.0,房地(土地+建物)+車位,1070922,0961002,華廈(10層含以下有電梯),2,1,1,升降機械,有,158591,False,2,121.52631969999999,25.0572465
