,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
0,110,臺北市文山區試院路154巷2弄23號,文山區,35.0,房地(土地+建物),1100911,0750321,公寓(5樓含以下無電梯),鋼筋混凝土造,6,1,2,,無,107069,False
1,110,臺北市文山區萬芳路107巷8號十樓,文山區,9.0,房地(土地+建物)+車位,1101030,1010919,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,167391,False
2,110,臺北市文山區萬芳路3號四樓之2,文山區,22.0,房地(土地+建物)+車位,1101021,0881124,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,升降機械,有,202109,False
3,110,臺北市文山區木柵路一段3號五樓之1,文山區,38.0,房地(土地+建物),1101025,0720309,華廈(10層含以下有電梯),鋼筋混凝土造,8,0,8,,有,166352,False
4,110,臺北市中正區南昌路一段125巷14號三樓,中正區,36.0,房地(土地+建物),1101108,0741004,公寓(5樓含以下無電梯),鋼筋混凝土造,2,2,2,,無,230180,False
5,110,臺北市文山區指南路三段34巷12之1號,文山區,26.0,房地(土地+建物),1101031,0841009,透天厝,鋼筋混凝土造,3,2,4,,無,174364,False
6,110,臺北市文山區景豐街48巷23號三樓,文山區,9.0,房地(土地+建物)+車位,1101126,1010711,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,3,坡道平面,有,192989,False
7,110,臺北市文山區仙岩路22巷21號八樓,文山區,26.0,房地(土地+建物),1101103,0840411,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,187525,False
8,110,臺北市中正區詔安街88號二樓,中正區,4.0,房地(土地+建物)+車位,1101112,1060218,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,塔式車位,有,253956,False
9,110,臺北市文山區政大二街179號,文山區,26.0,房地(土地+建物)+車位,1100907,0841215,透天厝,鋼筋混凝土造,4,3,2,坡道平面,無,120040,False
10,110,臺北市萬華區西藏路502號三樓,萬華區,45.0,房地(土地+建物),1101031,0650528,公寓(5樓含以下無電梯),鋼筋混凝土造,3,1,1,,無,134580,False
11,110,臺北市萬華區西藏路123號十四樓,萬華區,10.0,房地(土地+建物)+車位,1101031,1000908,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,179089,False
