,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
0,108,臺北市文山區福興路78巷20弄51號3樓,文山區,39.0,房地(土地+建物),1081006,0691007,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,91391,False
1,108,臺北市文山區忠順街一段10巷9號3樓,文山區,24.0,房地(土地+建物)+車位,1080428,0840717,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,128417,False
2,108,臺北市中正區詔安街276巷6號四樓,中正區,50.0,房地(土地+建物),1081029,0580715,公寓(5樓含以下無電梯),加強磚造,3,2,1,,無,162201,False
3,108,臺北市文山區興隆路三段185巷7弄14號四樓,文山區,36.0,房地(土地+建物),1080928,0720823,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,92240,False
4,108,臺北市大同區庫倫街43號6樓,大同區,25.0,房地(土地+建物),1081009,0830304,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,162481,False
5,108,臺北市萬華區西園路二段281巷29號3樓,萬華區,46.0,房地(土地+建物),1080707,0621210,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,119539,False
6,108,臺北市大同區承德路三段83號3樓之5,大同區,21.0,房地(土地+建物),1081007,0870212,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,198683,False
7,108,臺北市大同區天水路52之1號六樓,大同區,47.0,房地(土地+建物),1081024,0610320,華廈(10層含以下有電梯),鋼筋混凝土造,0,0,0,,有,149460,False
8,108,臺北市萬華區內江街61號九樓,萬華區,2.0,房地(土地+建物)+車位,1080906,1060104,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,1,坡道平面,有,220925,False
9,108,臺北市萬華區萬大路423巷32弄1號六樓,萬華區,21.0,房地(土地+建物)+車位,1081024,0870824,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,112803,False
10,108,臺北市萬華區昆明街176號二樓,萬華區,47.0,房地(土地+建物),1080925,0610325,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,137999,False
11,108,臺北市萬華區成都路139號八樓之8,萬華區,4.0,房地(土地+建物)+車位,1080924,1041001,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,2,坡道平面,有,180762,False
12,108,臺北市內湖區成功路五段450巷22弄20號14樓,內湖區,21.0,房地(土地+建物)+車位,1081011,0870925,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道機械,有,174691,False
13,108,臺北市內湖區五分街113號4樓,內湖區,12.0,房地(土地+建物),1081013,0960709,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,190805,False
14,108,臺北市中山區林森北路107巷62號2樓之1,中山區,33.0,房地(土地+建物),1080922,0751127,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,,有,146176,False
15,108,臺北市內湖區瑞光路132巷69弄11號2樓,內湖區,22.0,房地(土地+建物)+車位,1080930,0861028,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,181029,False
16,108,臺北市內湖區星雲街16巷31號四樓,內湖區,35.0,房地(土地+建物),1081009,0730402,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,151583,False
17,108,臺北市中山區林森北路416巷3號四樓之8,中山區,45.0,房地(土地+建物),1080705,0631026,公寓(5樓含以下無電梯),鋼筋混凝土造,0,0,0,,無,119514,False
18,108,臺北市內湖區康寧路三段70巷30號,內湖區,11.0,房地(土地+建物)+車位,1081012,0970903,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,坡道機械,有,216078,False
19,108,臺北市中山區新生北路三段70號十樓之6,中山區,39.0,房地(土地+建物),1080924,0690801,華廈(10層含以下有電梯),鋼筋混凝土造,1,1,1,,有,150977,False
20,108,臺北市信義區忠孝東路五段71巷12弄10號3樓,信義區,10.0,房地(土地+建物),1080926,0980810,套房(1房1廳1衛),鋼筋混凝土造,1,1,1,,無,263210,False
21,108,臺北市松山區南京東路五段286巷6號5樓,松山區,43.0,房地(土地+建物),1081006,0650609,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,1,,有,209948,False
22,108,臺北市信義區松勤街9號5樓之8,信義區,12.0,房地(土地+建物)+車位,1080918,0961225,套房(1房1廳1衛),見其他登記事項,1,1,1,坡道機械,無,371758,False
23,108,臺北市北投區致遠二路15巷1號,北投區,45.0,房地(土地+建物),1081031,0631128,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,202888,False
24,108,臺北市北投區溫泉路65巷16號11樓之8,北投區,41.0,房地(土地+建物),1081002,0670104,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,149385,False
25,108,臺北市北投區知行路293巷16號2樓之1,北投區,10.0,房地(土地+建物)+車位,1081004,0980717,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,104535,False
26,108,臺北市北投區知行路336號8樓之3,北投區,22.0,房地(土地+建物),1081010,0860122,套房(1房1廳1衛),鋼筋混凝土造,2,1,1,,無,119692,False
27,108,臺北市士林區中社路二段185巷2弄4號四樓,士林區,43.0,房地(土地+建物),1081007,0650103,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,106879,False
28,108,臺北市北投區幽雅路7號四樓之14,北投區,10.0,房地(土地+建物),1081016,0980205,套房(1房1廳1衛),鋼筋混凝土造,0,0,0,,無,100000,False
29,108,臺北市士林區德行東路330號4樓,士林區,37.0,房地(土地+建物),1080930,0710707,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,135846,False
30,108,臺北市北投區中山路1之9號,北投區,41.0,房地(土地+建物),1081009,0670404,套房(1房1廳1衛),鋼筋混凝土造,1,0,1,,無,98039,False
31,108,臺北市北投區實踐街17號三樓,北投區,43.0,房地(土地+建物),1080923,0651113,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,109385,False
32,108,臺北市大安區永康街23巷22號5樓,大安區,28.0,房地(土地+建物),1080731,0801024,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,273901,False
33,108,臺北市大安區信義路三段105號12樓之2,大安區,12.0,房地(土地+建物),1081016,0960322,住宅大樓(11層含以上有電梯),鋼筋混凝土造,0,0,0,,有,359527,False
34,108,臺北市大安區富陽街165號5樓之1,大安區,14.0,房地(土地+建物),1081005,0940506,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,236852,False
35,108,臺北市大安區通化街39巷49弄10號,大安區,21.0,房地(土地+建物),1081010,0871001,公寓(5樓含以下無電梯),鋼筋混凝土造,0,0,0,,無,237941,False
