,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_250,NEAR_TRA_500,NEAR_TRA_750,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,y,0
176,111,33.0,0,3,2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,8.0,20.0,56.0,4.0,13.0,37.0,3.0,11.0,29.0,10.0,26.0,44.0,1.0,2.0,6.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,4.0,10.0,19.0,0.0,0.0,0.0,16974.91201471807,44295.8038662823,99418.66243971312,0.0,0.0,0.0,6651.52869645666,45623.88553976504,122165.67296278015,4.0,22.0,53.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,236735,218995.67
177,111,1.0,1,4,2,2,1,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,29.0,64.0,96.0,18.0,38.0,57.0,8.0,25.0,34.0,11.0,26.0,56.0,2.0,3.0,4.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,2.0,8.0,24.0,0.0,0.0,0.0,1332.9178173482885,28108.848225564165,63767.82795627541,0.0,0.0,0.0,0.0,2060.589020192373,24588.240342865454,9.0,20.0,53.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,324775,361295.2
178,111,14.0,0,2,2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,7.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,12206.457215027664,56151.65106042857,291977.8982613108,0.0,0.0,122583.7872862972,1975.538407437142,31972.374446543243,70792.6605510408,7.0,19.0,35.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,160020,178542.56
179,111,8.0,1,2,2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,7.0,39.0,64.0,7.0,21.0,33.0,1.0,15.0,23.0,4.0,19.0,32.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,1.0,7.0,12.0,0.0,0.0,0.0,8182.167434586698,40660.32195344759,65293.88122343846,0.0,0.0,0.0,8274.046129042916,19784.295166096555,25308.053247972155,8.0,16.0,40.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,228861,235674.22
180,111,7.0,1,3,2,2,1,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,13.0,29.0,1.0,9.0,17.0,0.0,7.0,12.0,2.0,8.0,18.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,5.0,11.0,12.0,336.5501213682777,1237.8189031284137,1237.8189031284137,31778.64950749428,84468.71471119685,135188.7360209295,0.0,0.0,0.0,362.1964410442032,10414.673348445036,20840.70452896995,4.0,16.0,42.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,224114,197224.69
181,111,43.0,0,4,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,8.0,30.0,73.0,3.0,22.0,44.0,1.0,7.0,13.0,6.0,14.0,33.0,0.0,3.0,6.0,0.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,1,0.0,5.0,8.0,0.0,0.0,0.0,4797.278469696404,15959.245681316504,101971.1179037901,0.0,0.0,0.0,3393.9309130325764,17207.655916713797,41896.976513131645,3.0,20.0,47.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,239253,245440.1
182,111,40.0,0,4,2,2,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,31.0,118.0,212.0,13.0,44.0,83.0,2.0,14.0,29.0,12.0,40.0,67.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,5360.239344631766,54216.57418538126,0.0,0.0,919.455124655211,7367.687435930049,15633.441431927728,28843.298386526963,4.0,17.0,49.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,268408,269075.75
183,111,32.0,1,4,1,2,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,2.0,7.0,16.0,3.0,4.0,17.0,1.0,5.0,7.0,3.0,10.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.0,0,1,1,3.0,6.0,10.0,0.0,0.0,1290.6946001526555,12011.377646396715,48217.57679012846,68171.16746360446,0.0,1203.987619243604,1203.987619243604,1242.7634170271087,5393.331947321656,20829.38288783888,8.0,17.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,133888,130457.33
184,111,31.0,0,3,1,2,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,21.0,41.0,65.0,11.0,40.0,58.0,0.0,9.0,14.0,7.0,22.0,39.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,3.0,12.0,16.0,0.0,0.0,0.0,5633.313157802932,8330.053576022508,62942.04731238621,0.0,0.0,0.0,466.7458781539091,12821.85193859566,19451.491480041183,10.0,28.0,58.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,241383,227716.81
185,111,8.0,1,2,2,1,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,2.0,5.0,0.0,0.0,5254.758754176563,9697.400977986596,11025.207601736713,11495.662857132183,0.0,0.0,0.0,68074.35763478291,111799.81962571696,114350.0268848107,9.0,22.0,39.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,192889,171336.78
