鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
信義區,房地(土地+建物),東信路３６之１號,23.75,都市：其他:住宅區,,,1100128,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640927,59.47,2,1,1,有,無,1500000,25223,,0.0,0,,RPTOMLTLJHGGFBC97DA,59.47,0.0,0.0,無,
信義區,房地(土地+建物)+車位,崇法街８９巷８號五樓,50.65,都市：其他:住宅區,,,1100104,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090513,202.74,4,2,2,有,有,12700000,68137,坡道平面,35.43,1300000,,RPUNMLQJLHGGFBC67DA,100.86,4.37,7.77,有,
信義區,房地(土地+建物)+車位,崇法街８９巷８號七樓,50.65,都市：其他:住宅區,,,1091207,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090513,202.74,4,2,2,有,有,13000000,69332,坡道平面,35.43,1400000,,RPVNMLQJLHGGFBC77DA,100.86,4.37,7.77,有,
仁愛區,房地(土地+建物),龍安街１９８巷４７之１號五樓,42.36,都市：其他:道路用地,,,1100206,土地2建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931101,94.33,2,1,1,有,有,6700000,71027,,0.0,0,,RPROMLMJLHGGFBC07DA,67.16,0.0,7.42,有,0001
中正區,房地(土地+建物)+車位,新豐街１６２巷５７號六樓,67.49,都市：其他:住宅區(住一),,,1100208,土地8建物1車位1,六層，見其他登記事項,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980602,182.08,4,2,3,有,有,9500000,52175,坡道機械,0.0,0,,RPUNMLNJLHGGFBC37DA,122.91,1.56,6.96,有,
信義區,房地(土地+建物)+車位,深溪路３６巷５０弄６號３樓,27.79,都市：其他:住宅區(住四),,,1100203,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840515,168.73,3,2,2,有,有,3800000,22521,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRJLHGGFBC57DA,106.1,0.0,10.59,有,
中正區,房地(土地+建物),觀海街２０３號１４樓,23.4,都市：其他:住宅區(住二),,,1100201,土地2建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,117.75,3,2,2,有,有,4400000,37367,,0.0,0,,RPTNMLRJLHGGFBC67DA,80.69,0.0,10.63,有,0002
信義區,房地(土地+建物),信二路１７４巷２８號,33.5,都市：其他:住宅區,,,1100222,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650223,90.67,3,1,1,有,無,9880000,108967,,0.0,0,未登記建物；,RPVNMLSJLHGGFBC97DA,90.67,0.0,0.0,無,
信義區,房地(土地+建物),教孝街７巷１４號,106.82,都市：其他:住宅區(住四),,,1100131,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0741018,114.39,2,2,3,有,無,8400000,73433,,0.0,0,其他增建；,RPPNMLRJLHGGFBC27DA,83.54,23.65,7.2,無,
