鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
仁愛區,房地(土地+建物),基隆市仁愛區劉銘傳路６３巷１４之２號,17.2,住,,,1080429,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680123,52.67,3,2,1,有,無,2900000,55060,,0.0,0,,RPTNMLOKNHOFFBC28CA,52.67,0.0,0.0,,
信義區,車位,基隆市信義區深澳坑路168巷42號等共同使用,4.31,住,,,1080426,土地0建物0車位1,,,其他,,,,40.41,0,0,0,有,有,550000,,坡道平面,40.41,550000,親友、員工或其他特殊關係間之交易。；單獨車位交易。；買方為兩位共有.,RPOOMLOKNHOFFBC87CA,0.0,0.0,0.0,,
信義區,房地(土地+建物)+車位,基隆市信義區深溪路３８巷１之３號十樓,38.75,住,,,1080414,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,150.41,3,2,2,有,有,8800000,58507,坡道平面,24.17,0,,RPQNMLPKNHOFFBC08CA,74.51,2.6,6.69,,
信義區,房地(土地+建物),基隆市信義區花源五街９號３樓,7.49,住,,,1080429,土地1建物1車位0,三層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840401,40.9,1,1,1,有,有,1120000,27384,,0.0,0,,RPRNMLPKNHOFFBC18CA,30.4,0.0,5.25,,
信義區,房地(土地+建物),基隆市信義區義六路36之42號,36.5,住,,,1080415,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0610920,82.2,3,1,1,有,無,5200000,63260,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPSNMLPKNHOFFBC28CA,82.2,0.0,0.0,,
中正區,房地(土地+建物),基隆市中正區新豐街１６２巷５３號四樓,54.54,住,,,1080416,土地8建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980602,144.55,4,2,2,有,有,6530000,45175,,0.0,0,,RPWNMLQKNHOFFBC78CA,102.08,2.48,8.33,,
中正區,房地(土地+建物),基隆市中正區新豐街４９０之３號十五樓,23.1,其他,,,1080415,土地5建物1車位0,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,118.01,3,2,2,有,有,5200000,44064,,0.0,0,,RPOOMLQKNHOFFBC08CA,84.45,0.0,10.98,,
中正區,房地(土地+建物),基隆市中正區中正路２９５號,5.89,住,,,1080423,土地2建物2車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601026,24.63,3,2,2,有,無,600000,24361,,0.0,0,,RPRNMLMLNHOFFBC97CA,24.63,0.0,0.0,,
信義區,房地(土地+建物),基隆市信義區深澳坑路１２５巷４７號,107.27,住,,,1080408,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850610,215.25,4,2,3,有,無,7500000,34843,,0.0,0,,RPSNMLNLNHOFFBC18CA,164.54,15.67,12.55,,
