,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址
76,臺北市大安區敦化南路二段154巷3號四樓,37,3,2,2,有,245443,False
78,臺北市大安區四維路198巷38弄9號十三樓,37,2,2,2,有,257275,False
79,臺北市大安區復興南路二段180巷18號,36,5,4,2,有,314764,False
80,臺北市大安區忠孝東路四段341號十一樓之2,43,3,1,2,有,286978,False
83,臺北市大安區泰順街26巷35號三樓,35,5,3,4,無,228840,False
121,臺北市大安區延吉街166號五樓,41,2,2,1,有,315266,False
123,臺北市大安區敦化南路二段172巷13號四樓,53,4,2,2,無,258118,False
262,臺北市大安區羅斯福路二段79號十一樓之6,33,1,0,1,有,265969,False
267,臺北市大安區和平東路二段311巷43弄19號十二樓,37,3,2,2,有,251708,False
298,臺北市大安區復興南路一段253巷8號十四樓之5,43,1,1,1,有,340426,False
299,臺北市大安區忠孝東路三段217巷2弄3之4號,51,4,2,3,有,229647,False
303,臺北市大安區忠孝東路三段248巷13弄10號五樓,40,3,2,1,無,238686,False
305,臺北市大安區光復南路460號五樓之2,44,3,2,2,有,288344,False
321,臺北市大安區和平東路一段191號十四樓,4,1,1,1,有,364282,False
322,臺北市大安區信義路三段105號十二樓之10,15,1,1,1,有,433213,False
323,臺北市大安區安和路二段21號五樓,38,4,2,2,有,302590,False
458,臺北市大安區雲和街80號三樓,43,4,2,2,無,239253,False
460,臺北市大安區復興南路一段82號十六樓之2,40,3,2,2,有,239544,False
462,臺北市大安區羅斯福路三段135號十樓之1,33,3,2,2,有,276318,False
463,臺北市大安區忠孝東路四段223巷36號六樓,40,4,2,2,有,268408,False
518,臺北市大安區復興南路二段193巷21號,37,3,2,2,有,247941,False
553,臺北市大安區光復南路240巷7號九樓,43,4,2,2,有,320190,False
556,臺北市大安區安居街75巷10號三樓,44,2,2,2,無,210852,False
691,臺北市大安區忠孝東路四段181巷7弄13號三樓,54,1,1,1,有,287067,False
795,臺北市大安區師大路68巷27號四樓,15,1,0,1,有,302640,False
939,臺北市大安區大安路一段202號三樓之5,14,1,1,1,有,472527,False
940,臺北市大安區光復南路626號九樓之4,42,3,2,2,有,196552,False
941,臺北市大安區仁愛路四段345巷15弄7號三樓,36,2,2,1,有,339615,False
942,臺北市大安區信義路三段190之1號十二樓之2,40,1,1,1,有,329019,False
943,臺北市大安區瑞安街135巷23號五樓,42,3,1,1,無,260646,False
945,臺北市大安區樂業街72巷18號四樓,1,2,2,1,有,318506,False
995,臺北市大安區光復南路696號三樓之6,10,1,1,1,有,278037,False
997,臺北市大安區大安路一段176巷5號二樓,42,1,1,1,無,259611,False
