,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址,lon,lat
3933,臺北市大安區泰順街54巷9號五樓,43,3,2,2,無,235131,False,121.53053109999998,25.022850100000003
3968,臺北市大安區敦化南路一段177巷30號五樓之3,14,1,1,1,有,366048,False,121.550541,25.0429203
3969,臺北市大安區浦城街13巷9號三樓之9,15,1,0,1,有,353453,False,121.52743459999999,25.024614399999994
3971,臺北市大安區仁愛路四段266巷15弄8號四樓,42,4,2,2,有,280013,False,121.553372,25.036518199999996
4006,臺北市大安區四維路208巷14號四樓,53,1,2,1,無,297848,False,121.54728809999999,25.026276799999998
4010,臺北市大安區延吉街131巷45號四樓之1,40,3,2,2,有,252828,False,121.5551658,25.042700800000002
4114,臺北市大安區敦化南路二段98號四樓之1,37,3,2,2,有,330160,False,121.5483486,25.0279803
4116,臺北市大安區四維路170巷22號二樓,47,0,2,1,無,251153,False,121.5466953,25.0281596
4151,臺北市大安區敦化南路一段233巷66號五樓,48,4,2,2,有,283198,False,121.5526519,25.0402323
4203,臺北市大安區信義路三段134巷96號三樓,36,3,2,2,有,224593,False,121.5390835,25.028920199999998
4206,臺北市大安區安居街54號三樓,44,3,2,2,無,159557,False,121.5538539,25.0201823
4295,臺北市大安區樂業街55號四樓,38,3,2,1,無,182873,False,121.55055709999998,25.0222531
4296,臺北市大安區杭州南路二段61巷30號三樓,39,3,2,2,有,272875,False,121.5239897,25.029977600000002
4300,臺北市大安區忠孝東路四段216巷58號二樓之1,46,4,2,2,有,280759,False,121.5528502,25.038709699999995
4338,臺北市大安區安居街8巷13號三樓,40,4,2,2,有,187640,False,121.554723,25.021696900000002
4393,臺北市大安區忠孝東路四段112號三樓之1,47,1,1,1,有,285714,False,121.546893,25.041364
4396,臺北市大安區安和路二段21號九樓,38,3,2,2,有,343552,False,121.55265729999999,25.0322507
4552,臺北市大安區瑞安街135巷26號三樓,39,3,2,2,有,226860,False,121.54154879999999,25.026438199999998
4554,臺北市大安區忠孝東路三段248巷13弄4之2號,40,2,2,2,有,259197,False,121.5419101,25.0404347
4595,臺北市大安區安和路一段49巷21號四樓,46,3,2,2,有,280238,False,121.5525716,25.0385968
4596,臺北市大安區安和路一段32號八樓之3,45,3,2,2,有,335076,False,121.55068720000001,25.038427
4597,臺北市大安區大安路二段82號四樓之1,1,0,0,0,有,425565,False,121.54582429999999,25.031578899999996
4599,臺北市大安區大安路二段82號四樓,1,0,0,0,有,425533,False,121.54582429999999,25.031578899999996
4755,臺北市大安區建國南路一段291巷7號十二樓,35,3,2,2,有,281372,False,121.53873480000001,25.035823
4757,臺北市大安區忠孝東路四段181巷7弄13號三樓之6,54,0,1,1,有,241592,False,121.5514075,25.042181799999998
4794,臺北市大安區忠孝東路四段112號十二樓之2,47,2,1,1,有,302632,False,121.546893,25.041364
4994,臺北市大安區溫州街83號四樓,42,2,2,1,有,328193,False,121.53302930000001,25.0194673
5050,臺北市大安區仁愛路四段37之35號,50,5,2,2,有,294918,False,121.5465425,25.038176
5085,臺北市大安區延吉街157之1號五樓,41,4,2,2,有,233373,False,121.55506199999999,25.0396499
5086,臺北市大安區大安路一段176巷14號五樓,35,4,2,2,有,301713,False,121.5448318,25.036353099999996
5087,臺北市大安區安和路二段205號十樓,31,4,2,2,有,317654,False,121.5501365,25.0264509
5088,臺北市大安區敦化南路二段172巷14號,44,3,2,2,無,320656,False,121.54761309999999,25.023902999999997
5216,臺北市大安區辛亥路三段157巷24弄6號三樓,43,2,2,1,無,162234,False,121.55037460000001,25.0179329
5218,臺北市大安區金山南路二段159巷39號四樓,36,3,2,2,無,291748,False,121.527836,25.0290589
5287,臺北市大安區仁愛路四段62號十三樓之6,45,1,0,1,有,314601,False,121.54763559999999,25.0375991
5472,臺北市大安區仁愛路三段125號二樓,41,0,0,2,有,368296,False,121.5421523,25.0383803
5474,臺北市大安區延吉街160巷9號五樓,43,4,2,2,有,271953,False,121.5542491,25.0393364
5476,臺北市大安區復興南路二段157號十二樓之7,43,1,1,1,有,264971,False,121.5437413,25.028152199999997
5576,臺北市大安區瑞安街65之1號二樓之1,41,4,2,2,有,281118,False,121.54168200000001,25.028751999999997
5577,臺北市大安區溫州街74巷4弄2號,43,2,2,1,有,362945,False,121.53245129999999,25.0198446
5578,臺北市大安區和平東路二段99號十二樓,38,3,2,2,有,300350,False,121.54005619999998,25.0255737
5579,臺北市大安區溫州街11巷7號四樓,36,4,2,2,無,272136,False,121.5340894,25.0255685
5580,臺北市大安區復興南路二段90巷12號七樓之1,14,1,1,1,有,360568,False,121.5424279,25.030196399999998
5709,臺北市大安區敦化南路二段98號二十六樓之1,37,3,2,2,有,381764,False,121.5483486,25.0279803
5934,臺北市大安區敦化南路二段63巷15號五樓,41,3,2,2,有,319750,False,121.54994280000001,25.031046199999995
5939,臺北市大安區和平東路三段20號十樓之1,34,1,2,1,有,290840,False,121.54728069999999,25.0244403
6135,臺北市大安區安東街52之1號七樓,45,3,2,2,有,298493,False,121.54252679999999,25.042596
6137,臺北市大安區安居街8巷3號五樓,38,3,2,2,有,219822,False,121.5550425,25.0213572
6140,臺北市大安區溫州街89號三樓,52,4,2,2,無,255970,False,121.5329637,25.019022099999997
6142,臺北市大安區和平東路二段265巷27號四樓,40,3,2,2,無,259830,False,121.5441664,25.027483
6176,臺北市大安區敦化南路二段46號九樓之14,47,1,1,1,有,311364,False,121.5483739,25.0312217
6228,臺北市大安區光復南路96巷12號,41,0,1,1,有,318858,False,121.55660449999999,25.0440266
6230,臺北市大安區敦化南路二段146巷2號十四樓,37,2,2,2,有,256392,False,121.54822109999998,25.0254077
6232,臺北市大安區復興南路一段253巷46號七樓之4,43,1,1,1,有,392491,False,121.5455327,25.036706799999997
6333,臺北市大安區光復南路240巷3號十一樓,44,3,2,2,有,360288,False,121.55715289999999,25.0405554
6335,臺北市大安區信義路四段60之80號六樓,51,0,0,0,無,235413,False,121.54562799999998,25.033089500000003
6338,臺北市大安區忠孝東路四段170巷5弄10號四樓,35,3,2,2,有,330625,False,121.55122970000001,25.0407835
6374,臺北市大安區通化街117號三樓,45,0,1,1,有,186404,False,121.55414580000001,25.029341799999997
6375,臺北市大安區泰順街62巷12弄7之2號,52,2,2,1,無,262030,False,121.5301857,25.021910099999996
6416,臺北市大安區復興南路二段151巷30弄11號十六樓,37,2,2,1,有,266252,False,121.5456142,25.027792500000004
6529,臺北市大安區大安路二段33號四樓,29,2,2,1,有,326875,False,121.5462038,25.031949899999997
6530,臺北市大安區羅斯福路三段261之1號十三樓之1,12,2,1,1,有,263971,False,121.53039199999999,25.018929999999997
6532,臺北市大安區忠孝東路三段276巷12號五樓,40,3,1,1,無,192765,False,121.5423796,25.0409731
6533,臺北市大安區安和路一段55號四樓之1,40,3,2,2,有,361178,False,121.55138930000001,25.0382723
6566,臺北市大安區羅斯福路三段283巷13號二樓,55,4,2,2,無,252966,False,121.53153870000001,25.0190673
6592,臺北市大安區臥龍街31巷5號八樓,31,5,2,5,有,282867,False,121.547477,25.0234976
6594,臺北市大安區和平東路二段96巷17弄14之1號四樓,37,3,2,2,無,276298,False,121.542074,25.022946599999997
6595,臺北市大安區麗水街21巷6號三樓,40,3,2,2,無,295956,False,121.52887199999999,25.029033
6698,臺北市大安區泰順街50巷30號四樓,42,3,2,2,無,262998,False,121.52971070000001,25.023167700000002
6699,臺北市大安區和平東路一段199巷7號二樓之1,16,3,2,1,有,399818,False,121.53425089999999,25.0273479
6700,臺北市大安區大安路二段82號三樓,1,0,0,0,有,413060,False,121.54582429999999,25.031578899999996
6702,臺北市大安區大安路二段80號二樓之1,1,4,2,2,有,418502,False,121.54577160000001,25.031634000000004
6705,臺北市大安區四維路6巷2號四樓,41,3,2,2,有,276786,False,121.54792959999999,25.037155699999996
6706,臺北市大安區仁愛路四段300巷9弄2號二樓,38,4,2,2,有,266204,False,121.55480980000002,25.0369127
6749,臺北市大安區敦化南路一段313號五樓之1,43,1,1,1,有,349308,False,121.54930909999999,25.0348042
6757,臺北市大安區通化街38巷18弄6號三樓,41,1,2,1,無,244575,False,121.5535919,25.0308187
6941,臺北市大安區安和路一段32號三樓之2,45,1,1,1,有,351357,False,121.55068720000001,25.038427
6942,臺北市大安區大安路一段52巷5號五樓,45,3,2,2,有,338271,False,121.54589310000001,25.0432925
6943,臺北市大安區忠孝東路四段226號七樓,44,4,2,2,有,284970,False,121.55396820000001,25.041240900000002
6947,臺北市大安區忠孝東路四段224號七樓,44,4,2,2,有,272220,False,121.55357400000001,25.041148
