,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,NEAR_CEMETERY,NEAR_UNIVERSITY,NEAR_FIRESTATION,NEAR_FUEL,NEAR_LIBRARY,NEAR_MARKET,PARK_AREA,PARKING_AREA,TEMPLE_COUNT,NEAR_POLICE,NEAR_SCHOOL,NEAR_STATION,HOSPITAL_COUNT,CSTORE_COUNT,單價元平方公尺
79,42,3,2,2,0,0,1,1,1,0,1,6561.03891633691,8189.81115545878,14,1,1,1,60,25,174887
80,42,0,3,3,1,0,1,1,1,0,1,4304.92647251076,3724.20269090445,8,0,1,1,61,23,260050
81,10,1,1,1,1,0,1,0,1,1,1,30500.7052295472,10601.8122560075,18,0,1,0,48,27,320375
82,37,2,2,1,1,0,0,1,0,0,0,17788.4085274945,20510.7326933032,9,1,1,1,87,17,347442
83,15,0,1,1,1,0,0,0,1,1,1,122772.99695081,37207.0407890326,3,1,1,1,40,11,420168
84,40,4,2,2,1,0,0,1,0,0,0,11411.9203944614,6602.66637383547,6,1,1,1,112,24,271675
85,2,1,1,1,1,0,0,0,0,0,0,4086.33562645027,4745.07184141609,6,0,0,1,187,42,419800
86,2,1,1,1,1,0,0,0,0,0,0,4086.33562645027,4745.07184141609,6,0,0,1,187,42,418185
87,2,1,1,1,1,0,0,0,0,0,0,4086.33562645027,4745.07184141609,6,0,0,1,187,42,424694
88,40,0,0,0,1,0,0,0,0,0,0,2238.02479691915,6273.70229697789,8,0,1,1,173,43,292547
89,34,3,2,2,1,0,0,0,0,1,1,5586.4451037189,15019.810028603,5,0,1,1,117,26,340554
90,44,4,1,2,1,0,1,0,1,0,1,69585.5347348461,17960.3070339071,9,1,1,0,32,9,242862
91,44,4,1,2,0,0,1,0,1,0,0,14925.7920566741,16116.7596745625,7,1,1,0,36,13,233077
92,36,3,2,2,1,0,0,0,1,1,1,103962.248190851,34714.08303983,3,1,1,1,34,10,291746
93,34,3,1,2,1,0,1,0,0,1,1,8097.57087745578,10827.2452726647,5,1,1,1,106,19,227431
94,2,0,0,0,1,0,0,0,0,0,0,4086.33562645027,4745.07184141609,6,0,0,1,187,42,499371
95,39,0,0,0,1,0,1,0,0,1,1,6367.01988974865,4501.8264752942,4,1,1,1,164,28,295366
96,3,3,2,2,1,0,1,0,0,1,1,17214.6627278916,13355.6356682801,9,0,1,1,48,20,357296
97,39,3,2,1,0,0,1,0,0,1,1,7806.41644160946,13179.1136127321,5,1,1,1,151,23,250442
98,49,1,1,1,1,0,0,0,0,1,0,6493.91336927876,5531.48035955311,3,1,1,1,177,30,343778
99,46,0,0,0,1,0,1,0,1,1,1,6944.78277260406,3858.06852263419,8,1,1,1,54,12,238923
100,37,3,2,1,1,0,1,1,0,1,1,20801.2890367934,11778.558833882,14,1,1,1,74,28,261599
101,45,2,2,1,1,0,0,1,1,1,1,8008.78252123121,10618.9911116114,9,1,1,1,103,27,352065
102,41,2,2,1,0,0,0,0,1,0,1,92956.0522687906,17936.4121115005,6,1,1,1,54,18,272574
103,45,3,2,2,1,0,0,0,0,0,0,5349.46173883067,1218.81071020199,5,0,1,1,208,31,377923
104,41,3,2,2,1,0,1,0,0,1,1,20913.3321742187,12156.9710565897,8,1,1,1,67,30,295370
105,14,1,0,1,1,0,0,1,1,1,1,14152.0858967444,19654.3273165149,9,1,1,1,82,17,366093
106,44,0,0,0,1,0,0,1,1,1,1,13877.1385505961,8761.70608165812,8,1,1,1,106,24,546798
107,37,4,2,2,1,0,1,0,1,1,1,4902.48716414399,7305.50680519738,7,0,1,1,59,19,235644
108,1,3,2,2,1,0,0,1,0,0,0,28301.2706519782,19109.6155232762,9,1,1,1,107,18,435627
109,49,1,1,1,1,0,0,0,0,1,0,2355.7400418804,2157.33174595142,5,0,0,1,210,30,328146
110,40,0,0,0,1,0,1,0,1,1,1,72118.7567167333,17373.3027393673,12,0,1,1,52,19,289017
111,44,2,2,2,1,0,1,0,1,1,1,1871.01571300112,3858.06852263419,6,1,1,1,49,13,323293
112,43,2,2,1,1,0,1,1,1,0,1,21264.9707912291,13762.7236360994,11,1,1,1,80,24,326230
113,1,3,2,2,1,0,0,1,0,0,0,28301.2706519782,19109.6155232762,9,1,1,1,107,18,434592
114,40,3,2,2,1,0,0,1,1,0,1,17430.5811839013,10450.7316367705,6,1,1,1,111,23,264170
115,40,3,2,1,1,0,1,0,0,1,1,8222.47640099132,11308.5787670045,5,1,1,1,123,20,346601
116,50,4,2,2,1,0,0,0,0,1,0,12356.4285536514,13810.7491431452,7,1,1,1,196,23,332704
117,43,3,2,2,0,0,1,0,1,1,1,10634.1966825043,9359.48081105637,13,1,1,1,58,14,235131
118,14,1,1,1,1,0,0,0,0,0,0,2766.46007204969,4164.48574674093,7,0,0,1,188,39,366048
119,15,1,0,1,1,0,1,0,1,1,1,9328.61626349684,8034.90741771452,11,1,1,1,77,21,353453
120,42,4,2,2,1,0,0,1,1,1,1,7064.15746102167,3037.363982369,6,1,1,1,152,29,280013
121,53,1,2,1,0,0,1,0,0,1,1,21875.4004703179,11875.7730990037,11,0,1,1,69,27,297848
122,40,3,2,2,1,0,0,0,0,0,0,3646.74150931797,6745.4563997137,9,0,1,1,151,37,252828
123,37,3,2,2,1,0,1,0,0,1,1,22897.1088478524,15656.9719025581,6,1,1,0,60,25,330160
124,47,0,2,1,0,0,1,1,0,1,1,22299.2061507698,10168.3245437436,10,1,1,1,70,25,251153
125,48,4,2,2,1,0,0,0,0,1,0,2238.02479691915,4862.02689113229,7,0,1,1,212,44,283198
126,36,3,2,2,1,0,1,1,1,1,1,204513.781550444,38466.956904042,6,0,1,0,49,15,224593
127,44,3,2,2,0,0,0,0,1,0,1,11023.1520714449,11266.5319287033,8,1,1,1,44,19,159557
128,38,3,2,1,0,0,1,0,0,0,1,19765.8800556846,13424.2143332935,6,1,1,1,51,19,182873
129,39,3,2,2,1,0,1,1,1,0,1,6540.40777444318,7888.78297246847,13,0,1,1,62,19,272875
130,46,4,2,2,1,0,0,0,0,1,0,5491.00266133691,2731.30273128552,5,0,1,1,203,40,280759
131,40,4,2,2,1,0,1,0,1,0,1,13864.5253310444,10055.1700804796,8,0,1,1,50,20,187640
132,47,1,1,1,1,0,0,0,0,1,0,5004.23486040761,5044.10974353154,4,1,0,1,217,35,285714
133,38,3,2,2,1,0,0,1,1,0,1,17239.4608195451,10270.2292138296,11,1,1,1,85,24,343552
134,39,3,2,2,1,0,1,1,0,1,1,37454.6643878983,22605.0430383961,13,0,1,1,64,21,226860
135,40,2,2,2,1,0,1,0,0,1,1,8112.37170187783,14569.7786151877,6,1,1,1,128,20,259197
136,46,3,2,2,1,0,0,0,0,1,0,5510.86732130503,2677.78000735857,5,0,1,1,202,39,280238
137,45,3,2,2,1,0,0,0,0,1,0,3895.96861179258,1301.76997225305,5,0,1,1,212,34,335076
138,1,0,0,0,1,0,0,1,0,0,0,28353.0748921294,18867.9089047334,9,1,1,1,108,18,425565
139,1,0,0,0,1,0,0,1,0,0,0,28353.0748921294,18867.9089047334,9,1,1,1,108,18,425533
140,35,3,2,2,1,0,0,0,0,1,1,47240.4138445189,30724.1369782098,3,1,1,1,30,9,281372
141,54,0,1,1,1,0,0,0,0,0,0,4430.27011495412,4745.07183827954,7,0,0,1,194,42,241592
142,47,2,1,1,1,0,0,0,0,1,0,5004.23486040761,5044.10974353154,4,1,0,1,217,35,302632
143,42,2,2,1,1,0,1,0,0,1,1,7359.91707824733,14833.896322973,13,1,1,1,40,14,328193
144,50,5,2,2,1,0,0,0,0,1,0,12356.4285536514,13810.7491431452,7,1,1,1,196,23,294918
145,41,4,2,2,1,0,0,0,0,1,0,4638.5445840469,9274.37724917795,6,0,1,1,179,40,233373
146,35,4,2,2,1,0,0,0,0,1,0,13563.9471696066,16955.0516992744,8,1,1,1,135,17,301713
147,31,4,2,2,1,0,1,0,0,1,1,18772.6984981664,13621.305805329,6,0,1,1,60,21,317654
148,44,3,2,2,0,0,1,0,0,1,1,17606.512715436,13919.3832461279,10,0,1,1,51,21,320656
149,43,2,2,1,0,0,1,0,0,0,0,10397.9581419655,28955.4137366675,5,1,1,0,12,6,162234
150,36,3,2,2,0,0,1,1,1,1,1,13712.2447303113,7780.74913829404,10,1,1,0,35,15,291748
151,45,1,0,1,1,0,0,0,0,1,0,9635.70537936329,8841.71918301819,7,1,1,1,184,23,314601
152,41,0,0,2,1,0,0,0,0,1,0,11393.8916345625,16151.7053877107,4,1,1,1,105,20,368296
153,43,4,2,2,1,0,0,0,0,1,0,4760.95490173338,7288.60009448365,6,0,1,1,198,40,271953
154,43,1,1,1,1,0,1,1,0,1,1,16909.7144809237,10177.7862281877,15,1,1,1,71,23,264971
155,41,4,2,2,1,0,1,1,1,1,1,37632.6196427671,27671.6982208561,12,1,1,1,66,21,281118
156,43,2,2,1,1,0,1,0,0,1,1,7369.34382660545,15117.0994548249,14,0,1,1,44,14,362945
157,38,3,2,2,1,0,1,0,1,1,1,72755.610416675,19036.1338442733,13,0,1,1,54,20,300350
158,36,4,2,2,0,0,1,0,1,0,1,116103.847856152,19762.9798197358,10,1,1,0,32,9,272136
159,14,1,1,1,1,0,0,1,1,1,1,14152.0858967444,19654.3273165149,9,1,1,1,82,17,360568
