Column1,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat,_1
726,全聯實業股份有限公司,屏東朝昇分公司,屏東縣潮州鎮朝昇東路93號,1,0,120.5489234,22.551547,
3990,統一超商股份有限公司,屏東縣第一０一分公司,屏東縣潮州鎮三共里北門路2、6號1樓,1,0,120.5489933,22.5568344,
15900,全家便利商店股份有限公司,竹崎中山分公司,嘉義縣竹崎鄉竹崎村中山路二八二號一樓,1,1,120.5490966,23.5185186,
14527,全家便利商店股份有限公司,雲林縣第一一一分公司,雲林縣斗六市忠孝里中華路275號,1,0,120.5492244,23.7086939,
14564,全家便利商店股份有限公司,彰化縣第一一五分公司,彰化縣彰化市下廍里泰和路1段182號、184號1樓,1,0,120.549265,24.090295,
3309,統一超商股份有限公司,彰化縣第一一一分公司,彰化縣花壇鄉長沙村彰員路二段五五0、五五二號一樓,1,1,120.549304,24.028655,
1037,全聯實業股份有限公司,彰化三民分公司,彰化縣彰化市陽明里三民路430號1樓,1,0,120.5493259,24.0866714,
18904,萊爾富國際股份有限公司,第三九八九分公司,高雄市美濃區成功路218號1樓,1,0,120.549371,22.893098,
14298,全家便利商店股份有限公司,新埤屏鵝分公司,屏東縣新埤鄉新埤新民路3號1樓,1,0,120.5494294,22.4671615,
19550,萊爾富國際股份有限公司,嘉縣嘉梅分公司,嘉義縣梅山鄉梅北村中山路五七九號一樓,1,1,120.549554,23.58746,
14603,全家便利商店股份有限公司,台中市第六０一分公司,臺中市梧棲區大村里中華路1段1001號,1,0,120.5495694,24.2394918,
15157,全家便利商店股份有限公司,龍井龍山分公司,臺中市龍井區山腳里龍山街85號,1,0,120.5497385,24.2133626,
4432,統一超商股份有限公司,雲林縣第四十九分公司,雲林縣古坑鄉永昌村永興路145號,1,0,120.5498198,23.6239057,
5173,統一超商股份有限公司,台中市第四一０分公司,臺中市梧棲區大智路1段525號1樓,1,0,120.5504163,24.2529723,
9859,統一超商股份有限公司,台中市第七五０分公司,臺中市梧棲區中華路一段982號1樓,1,0,120.5504359,24.2402541,
22,全聯實業股份有限公司,斗六莊敬分公司,雲林縣斗六市林頭里莊敬路43號,1,0,120.5505914,23.7038424,
16665,全家便利商店股份有限公司,龍井沙田分公司,臺中市龍井區山腳村沙田路六段一八七號一樓,1,1,120.55066255,24.21083845,
3005,統一超商股份有限公司,彰化縣第二０三分公司,彰化縣彰化市中正路1段75號1樓,1,0,120.5508796,24.0842051,
3958,統一超商股份有限公司,嘉義縣第五十一分公司,嘉義縣竹崎鄉竹崎村10鄰中山路111號1樓,1,0,120.5509742,23.5215322,
3308,統一超商股份有限公司,彰化縣第九十五分公司,彰化縣彰化市阿夷里泰和街七十二號一樓,1,1,120.5510886,24.0952843,
16984,全家便利商店股份有限公司,雲林縣第一一六分公司,雲林縣斗六市成功里成功路276號1樓,1,0,120.5511683,23.7051849,
16999,全家便利商店股份有限公司,雲林縣第一一五分公司,雲林縣斗六市鎮北里明德北路1段165號,1,0,120.5511832,23.7170066,
3999,統一超商股份有限公司,雲林縣第三十九分公司,雲林縣斗六市明德北路1段110號,1,0,120.5512052,23.7174699,
4711,統一超商股份有限公司,台中縣第二六六分公司,臺中市龍井區沙田路6段323號1樓,1,0,120.5513413,24.2130382,
17689,萊爾富國際股份有限公司,斗六文化分公司,雲林縣斗六市文化路203號1樓,1,0,120.551428,23.711601,
6308,統一超商股份有限公司,雲林縣第一一六分公司,雲林縣斗六市成功路286、288、290號1樓,1,0,120.5514792,23.7048751,
20008,萊爾富國際股份有限公司,第四九一二分公司,屏東縣新埤鄉新華路190號1樓及中正路13、13-1、13-2、13-3號1樓,1,0,120.5516227,22.470079,
18060,萊爾富國際股份有限公司,第2768分公司,臺中市梧棲區大庄里中棲路一段三九八號一樓,1,1,120.551685,24.244788,
208,全聯實業股份有限公司,永靖新興分公司,彰化縣永靖鄉瑚璉村新興路53號,1,0,120.55185,23.925721,
18376,萊爾富國際股份有限公司,第3293分公司,彰化縣花壇鄉中山路1段72號1樓,1,0,120.5522174,24.0114598,
1972,統一超商股份有限公司,彰化縣第４９分公司,彰化縣彰化市公園路1段335號1樓,1,0,120.5522624,24.0750893,
590,全聯實業股份有限公司,新埤中正分公司,屏東縣新埤鄉新埤村9鄰中正路7、9號,1,0,120.552354,22.4702056,
4835,統一超商股份有限公司,雲林縣第三十三分公司,雲林縣斗六市萬年路592號1樓,1,0,120.5524968,23.7310565,
9244,統一超商股份有限公司,雲林縣第６分公司,雲林縣斗六市鎮東里十八鄰文化路304．306號1樓,1,0,120.5524985,23.7114607,
7947,統一超商股份有限公司,彰化縣第一０二分公司,彰化縣永靖鄉瑚璉村中山路2段435、437號1樓,1,0,120.5525699,23.9272369,
18205,萊爾富國際股份有限公司,第３０６７分公司,雲林縣斗六市長安里萬年路632號1樓,1,0,120.552847,23.7317031,
3832,統一超商股份有限公司,嘉義縣第四十八分公司,嘉義縣梅山鄉梅北村中山路437號1樓,1,0,120.5529952,23.585713,
775,全聯實業股份有限公司,鹽埔維新分公司,屏東縣鹽埔鄉新二村維新路42-5號1樓,1,0,120.5534202,22.7370985,
3085,統一超商股份有限公司,嘉義縣第一０八分公司,嘉義縣番路鄉下坑村菜公店92號1樓,1,0,120.553489,23.4646746,
14437,全家便利商店股份有限公司,台中市第五八一分公司,臺中市清水區南社里民和路2段197號、199號,1,0,120.5536698,24.2606933,
5016,統一超商股份有限公司,台中縣第二八六分公司,臺中市清水區民和路二段195號1樓,1,0,120.55376,24.2605132,
6278,統一超商股份有限公司,台中市第三四五分公司,臺中市大肚區沙田路1段929號1樓,1,0,120.5537672,24.1321535,
5025,統一超商股份有限公司,台中縣二八七分公司,臺中市大肚區社腳村沙田路1段916號1樓,1,0,120.5539055,24.1342575,
66,全聯實業股份有限公司,嘉義梅山分公司,嘉義縣梅山鄉梅北村中山路332-5號,1,0,120.5539279,23.5856279,
14667,全家便利商店股份有限公司,台中市第六一四分公司,臺中市沙鹿區興安里興安路53之3號,1,0,120.5541691,24.2312459,
15534,全家便利商店股份有限公司,彰化縣第一O五分公司,彰化縣彰化市實踐路48、50號,1,0,120.554324,24.0832893,
6764,統一超商股份有限公司,彰化縣第二三五分公司,彰化縣彰化市建國東路258號1樓,1,0,120.554504,24.0952906,
14831,全家便利商店股份有限公司,斗六榮大分公司,雲林縣斗六市大學路1段402號1樓,1,0,120.5545859,23.7049028,
8626,統一超商股份有限公司,台中市第六一二分公司,臺中市沙鹿區斗潭路230號,1,0,120.5546621,24.2258329,
14936,全家便利商店股份有限公司,古坑永光分公司,雲林縣古坑鄉永光村光昌路15巷5號,1,0,120.5552526,23.6228164,
18273,萊爾富國際股份有限公司,第３１１０分公司,嘉義縣梅山鄉梅北村中山路296號1樓,1,0,120.5552847,23.5851866,
9848,統一超商股份有限公司,屏東縣第二０三分公司,屏東縣鹽埔鄉維新路60-1號,1,0,120.5552977,22.738699,
19643,萊爾富國際股份有限公司,中縣中燕分公司,臺中市清水區清水鎮民族路二段三六八號一樓,1,1,120.5555001,24.2658852,
10174,統一超商股份有限公司,彰化縣第二七三分公司,彰化縣永靖鄉中山路三段238號,1,0,120.555504,23.934123,
11207,來來超商股份有限公司,第一0九二分公司,彰化縣彰化市公園路一段471號1樓,1,0,120.5555104,24.0746878,
6748,統一超商股份有限公司,台中市第五六八分公司,臺中市梧棲區中華路2段351號1樓,1,0,120.5557956,24.2512363,
2158,統一超商股份有限公司,彰化縣第五十四分公司,彰化縣彰化市工校街21號1樓,1,0,120.55585,24.083546,
18223,萊爾富國際股份有限公司,彰化彰鴻分公司,彰化縣彰化市泰和東街三七二號一樓,1,1,120.5565228,24.0955079,
837,全聯實業股份有限公司,清水鰲峰分公司,臺中市清水區鰲新路5號,1,0,120.5566026,24.2661573,
13316,全家便利商店股份有限公司,斗六竹圍分公司,雲林縣斗六市溪洲里竹圍51號1樓,1,0,120.5567479,23.7432667,
6276,統一超商股份有限公司,彰化縣第一九一分公司,彰化縣彰化市金馬路1段358號1樓,1,0,120.556934,24.098532,
14592,全家便利商店股份有限公司,屏東縣第一一七分公司,屏東縣鹽埔鄉新圍村維新路90之2號、之3號、之5號1樓,1,0,120.5572367,22.7407857,
15701,全家便利商店股份有限公司,台中市第六四三分公司,臺中市沙鹿區興安里大同街14-2號,1,0,120.5572859,24.2334995,
536,全聯實業股份有限公司,彰化進德分公司,彰化縣彰化市進德路49巷35號1樓,1,0,120.5573256,24.0845409,
6565,統一超商股份有限公司,嘉義縣第八十六分公司,嘉義縣梅山鄉梅北村新興路279號1樓,1,0,120.5574337,23.5848459,
6251,統一超商股份有限公司,雲林縣第一一五分公司,雲林縣虎尾鎮竹圍路60號1樓,1,0,120.5574629,23.743193,
18454,萊爾富國際股份有限公司,第三○三六分公司,屏東縣鹽埔鄉新圍村維新路112-1號1樓,1,0,120.5574898,22.7414226,
18942,萊爾富國際股份有限公司,第四一九二分公司,彰化縣花壇鄉橋頭村彰員路2段81號1樓,1,0,120.5575936,24.021185,
8354,統一超商股份有限公司,雲林縣第五十七分公司,雲林縣斗六市鎮東里文化路538、540號1樓,1,0,120.5576867,23.7128358,
1761,統一超商股份有限公司,屏東縣第四十四分公司,屏東縣鹽埔鄉維新路134-3、134-6、136號1樓,1,0,120.5576883,22.7420256,
10950,來來超商股份有限公司,第九二七分公司,臺中市沙鹿區臺灣大道七段62號1樓,1,0,120.5576922,24.2424421,
6086,統一超商股份有限公司,台中市第三二六分公司,臺中市清水區中社路19號1樓,1,0,120.5581884,24.2722426,
