消防隊名稱,地址,聯絡電話,X座標_TWD97TM121,Y座標_TWD97TM121,,,,,,,,,,,,,,,,,,,
花蓮縣消防局三民分隊,花蓮縣玉里鎮三民里三民21之1號,03-8842450,121.34750831966058,23.428097757921307,,,,,,,,,,,,,,,,,,,
花蓮縣消防局玉里分隊,花蓮縣玉里鎮忠孝路153號,03-8885119,121.31859650678356,23.32459439941786,,,,,,,,,,,,,,,,,,,
花蓮縣消防局觀音分隊,花蓮縣玉里鎮觀音里16鄰14之5號,03-8851119,121.35881096502541,23.395773997481555,,,,,,,,,,,,,,,,,,,
花蓮縣消防局東里分隊,花蓮縣富里鄉東里村大莊路52號,03-8861119,121.3054046064269,23.268490336744005,,,,,,,,,,,,,,,,,,,
花蓮縣消防局富里分隊,花蓮縣富里鄉富里村中山路142號,03-8831009,121.2476106341321,23.172923801654015,,,,,,,,,,,,,,,,,,,
花蓮縣消防局卓溪分隊,花蓮縣卓溪鄉古風村12鄰古楓3號,03-8846490,121.27251633325247,23.244537388697328,,,,,,,,,,,,,,,,,,,
花蓮縣消防局,花蓮縣花蓮市中央路三段842號,03-8462119,121.59273365744002,23.993528231691066,,,,,,,,,,,,,,,,,,,
花蓮縣消防局第一救災救護大隊,花蓮縣花蓮市三民街53號,03-8322849,121.60754111275207,23.981756838501116,,,,,,,,,,,,,,,,,,,
花蓮縣消防局新秀分隊,花蓮縣新城鄉新城村仁愛路1巷23號,03-8611755,121.65245088418298,24.126919250429527,,,,,,,,,,,,,,,,,,,
花蓮縣消防局吉安分隊,花蓮縣吉安鄉吉安路二段120號,03-8522334,121.56349040108766,23.973203095180196,,,,,,,,,,,,,,,,,,,
花蓮縣消防局第二救災救護大隊,花蓮縣萬榮鄉萬榮村8鄰萬榮212號,03-8751312,121.40503180692977,23.719128100414636,,,,,,,,,,,,,,,,,,,
金門縣消防局,金門縣金寧鄉頂林路315號,082-324021,118.32908454917202,24.45760333112373,,,,,,,,,,,,,,,,,,,
金門縣消防局第一救災救護大隊,金門縣金寧鄉頂林路315號,082-324021,118.32908454917202,24.45760333112373,,,,,,,,,,,,,,,,,,,
金門縣消防局金城分隊,金門縣金城鎮西海路三段43號,082-311610,118.31107922934731,24.41995158876944,,,,,,,,,,,,,,,,,,,
金門縣消防局金寧分隊,金門縣金寧鄉頂林路315號,082-324021,118.32908454917202,24.45760333112373,,,,,,,,,,,,,,,,,,,
金門縣消防局烈嶼分隊,金門縣烈嶼鄉后井76號,082-362119,118.24195687650912,24.428016918100816,,,,,,,,,,,,,,,,,,,
金門縣消防局第二救災救護大隊,金門縣金寧鄉頂林路315號,082-324021,118.32908454917202,24.45760333112373,,,,,,,,,,,,,,,,,,,
金門縣消防局金沙分隊,金門縣金沙鎮沙美135號,082-352269,118.41197034611017,24.494714691448696,,,,,,,,,,,,,,,,,,,
金門縣消防局金湖分隊,金門縣金湖鎮士校路2號,082-332550,118.42506655453205,24.44391332052564,,,,,,,,,,,,,,,,,,,
南投縣政府消防局鳳鳴分隊,南投縣南投市鳳鳴里八卦路831號,049-2292548,120.6379190133498,23.925040874256002,,,,,,,,,,,,,,,,,,,
南投縣政府消防局碧興分隊,南投縣草屯鎮碧興路一段340巷21號,049-2324415,120.65454341697125,23.960012153194985,,,,,,,,,,,,,,,,,,,
南投縣政府消防局,南投縣南投市民族路494號,049-2226119,120.68007608824051,23.907130415101676,,,,,,,,,,,,,,,,,,,
南投縣政府消防局第一救災救護大隊,南投縣南投市南營路810號,049-2351119,120.67839470310247,23.943588311405577,,,,,,,,,,,,,,,,,,,
南投縣政府消防局南投分隊,南投縣南投市民族路494號,049-2222534,120.68007608824051,23.907130415101676,,,,,,,,,,,,,,,,,,,
南投縣政府消防局草屯分隊,南投縣草屯鎮敦和里碧山南路185號,049-2362063,120.67694474888674,23.97776302435253,,,,,,,,,,,,,,,,,,,
南投縣政府消防局中興分隊,南投縣南投市營北里中正路156號,049-2337142,120.68896751452498,23.950906683033963,,,,,,,,,,,,,,,,,,,
南投縣政府消防局名間分隊,南投縣名間鄉中正村彰南路44號,049-2732204,120.70271574162288,23.83855731491607,,,,,,,,,,,,,,,,,,,
南投縣政府消防局中寮分隊,南投縣中寮鄉永平村永平路280號,049-2691570,120.76551102659236,23.879280577001175,,,,,,,,,,,,,,,,,,,
南投縣政府消防局爽文分隊,南投縣中寮鄉爽文村龍南路193-10號,049-2602932,120.75957096484792,23.933533466724857,,,,,,,,,,,,,,,,,,,
南投縣政府消防局雙冬分隊,南投縣草屯鎮雙冬里中正路37-3號,049-2572817,120.79315289894237,23.98773267376654,,,,,,,,,,,,,,,,,,,
南投縣政府消防局松柏嶺分隊,南投縣名間鄉埔中村名松路一段655號,049-2583773,120.64344026963148,23.831976818669553,,,,,,,,,,,,,,,,,,,
南投縣政府消防局第二救災救護大隊,南投縣埔里鎮清新里南環路600號,049-2982014,120.95633166604368,23.958209076140488,,,,,,,,,,,,,,,,,,,
南投縣政府消防局埔里分隊,南投縣埔里鎮清新里南環路600號,049-2982014,120.95633166604368,23.958209076140488,,,,,,,,,,,,,,,,,,,
南投縣政府消防局國姓分隊,南投縣國姓鄉國姓村長春街1號,049-2721354,120.85491661386762,24.034224511053853,,,,,,,,,,,,,,,,,,,
南投縣政府消防局魚池分隊,南投縣魚池鄉魚池村魚池街360號,049-2895553,120.93727155385228,23.8966452032322,,,,,,,,,,,,,,,,,,,
南投縣政府消防局日月潭分隊,南投縣魚池鄉水社村中山路146號,049-2855307,120.91166569516236,23.86624946166048,,,,,,,,,,,,,,,,,,,
南投縣政府消防局仁愛分隊,南投縣仁愛鄉大同村仁和路91號,049-2802712,121.13284973990606,24.02366826345675,,,,,,,,,,,,,,,,,,,
南投縣政府消防局第三救災救護大隊,南投縣竹山鎮中山里頂林路150號,049-2661119,120.68142091309927,23.748694640867114,,,,,,,,,,,,,,,,,,,
南投縣政府消防局竹山分隊,南投縣竹山鎮中山里頂林路150號,049-2642013,120.68142091309927,23.748694640867114,,,,,,,,,,,,,,,,,,,
南投縣政府消防局水里分隊,南投縣水里鄉北埔村中山路一段439號,049-2770440,120.85047258463432,23.810533174431036,,,,,,,,,,,,,,,,,,,
南投縣政府消防局集集分隊,南投縣集集鎮民生路270號,0492762004,120.78126342460546,23.82714385242521,,,,,,,,,,,,,,,,,,,
南投縣政府消防局鹿谷分隊,南投縣鹿谷鄉彰雅村中正路一段92號,049-2752151,120.7600168679491,23.738658333323247,,,,,,,,,,,,,,,,,,,
南投縣政府消防局信義分隊,南投縣信義鄉明德村明德街50號,049-2791760,120.85243295743166,23.696921892116322,,,,,,,,,,,,,,,,,,,
南投縣政府消防局玉山分隊,南投縣信義鄉同富村同和巷14之3號,049-2702570,120.8886138997569,23.594163329291515,,,,,,,,,,,,,,,,,,,
南投縣政府消防局中心碑分隊,南投縣埔里鎮信義路320號,049-2995014,120.97028285553397,23.97344465288731,,,,,,,,,,,,,,,,,,,
內政部消防署特種搜救隊中部分隊,社寮里大公街100號, ,120.72177,23.81812,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局屏二分隊,屏東縣屏東市龍華里龍華路52號,08-7517435,120.48455682684359,22.637661771952107,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局特種搜救大隊,屏東縣長治鄉德成村中興路572-1號,7627471,120.54258427660535,22.69315267086031,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局泰武分隊,屏東縣泰武鄉佳平村佳平巷122號,08-7834357,120.63359047288755,22.592178514060812,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局三地門分隊,屏東縣三地門鄉中正路二段103號,08-7991970,120.65378738526854,22.71670425531705,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局來義分隊,屏東縣來義鄉丹林村古義路2-1號,08-7850649,120.6478561056518,22.528527170304837,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局竹田分隊,屏東縣竹田鄉自強路41-20號,08-7710498,120.54579345659053,22.584340638682555,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局春日分隊,屏東縣春日鄉力里村圓山路27號,08-8791565,120.64770916749195,22.432821666801168,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局牡丹分隊,屏東縣牡丹鄉牡丹路97號,08-8830545,120.8369530252732,22.17575933777459,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局獅子分隊,屏東縣獅子鄉楓林村楓林2巷42號,08-8770833,120.70885179677944,22.196097402392944,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局萬巒分隊,屏東縣萬巒鄉佳興路46號,08-7834161,120.59407528435766,22.5720432475939,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局新埤分隊,屏東縣新埤鄉民眾路101號,08-7981133,120.58294700305112,22.468030474830538,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局新園分隊,屏東縣新園鄉店口路116號,08-8684515,120.46157566853863,22.54333084283504,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局崁頂分隊,屏東縣崁頂鄉興農路29之10號,08-8632430,120.50706138263563,22.51473962616682,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局霧臺分隊,屏東縣霧臺鄉霧臺村神山巷69號,087902660,120.72659000783383,22.749497654346865,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局墾丁分隊,屏東縣恆春鎮鵝鑾里船帆路730號,08-8851519,120.82340422798434,21.934560237365176,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局,屏東縣屏東市忠孝路226號,08-7662911,120.4902849766762,22.693092193486027,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局第一救災救護大隊,屏東縣屏東市豐榮里勝利東路47號,08-7360526,120.49853347765519,22.676891529295567,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局屏東分隊,屏東縣屏東市豐榮里勝利東路47號,08-7360163,120.49853347765519,22.676891529295567,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局長治分隊,屏東縣長治鄉德成村中興路572-1號,08-7626149,120.54258427660535,22.69315267086031,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局里港分隊,屏東縣里港鄉信義路2號,08-7752564,120.49391401668056,22.779125211958082,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局九如分隊,屏東縣九如鄉東寧村九如路二段412號,08-7390071,120.49050814901933,22.740060139645287,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局高樹分隊,屏東縣高樹鄉興中路336號,08-7962134,120.60066315155012,22.826891973133982,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局麟洛分隊,屏東縣麟洛鄉麟蹄村成功路192號,08-7221546,120.52585285551926,22.658557772212713,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局鹽埔分隊,屏東縣鹽埔鄉勝利路165-1號,08-7932911,120.57718894632059,22.760258440621442,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局瑪家分隊,屏東縣瑪家鄉風景1-20號,08-7991020,120.64545698127407,22.706429021914904,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局第二救災救護大隊,屏東縣潮州鎮文化路191號,08-7806124,120.54350879228481,22.557828665471995,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局萬丹分隊,屏東縣萬丹鄉和平東路69號,08-7772674,120.49020583668648,22.587762854538262,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局內埔分隊,屏東縣內埔鄉內田村廣濟路209號,08-7792184,120.56636894258634,22.61381545633549,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局龍泉分隊,屏東縣內埔鄉中勝路308號,08-7705079,120.60030098289612,22.66952765686477,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局潮州分隊,屏東縣潮州鎮文化路191號,08-7882079,120.54350879228481,22.557828665471995,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局第三救災救護大隊,屏東縣東港鎮船頭里船頭路9-60號,08-8322009,120.46130969882378,22.46316570433063,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局東港分隊,屏東縣東港鎮船頭路9-60號,088322009,120.46130969882378,22.46316570433063,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局林邊分隊,屏東縣林邊鄉美華路197-64號,(08)8752119,120.51981614665225,22.441459083179083,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局南州分隊,屏東縣南州鄉人和路241號,08-8642297,120.50277984101453,22.48590275393731,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局琉球分隊,屏東縣琉球鄉本福村民生路5-1號,08-8611765,120.37923775949713,22.350991713271412,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局枋寮分隊,屏東縣枋寮鄉中山路7-29號,08-8782304,120.60036626290494,22.355003667865063,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局佳冬分隊,屏東縣佳冬鄉佳冬村文化三路155號,08-8662119,120.55302397625849,22.41629176757818,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局第四救災救護大隊,屏東縣恆春鎮天文路33號,08-8892959,120.74648343912365,22.003043337838857,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局恆春分隊,屏東縣恆春鎮天文路33號,08-8892959,120.74648343912365,22.003043337838857,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局滿州分隊,屏東縣滿州鄉中山路1號,08-8802971,120.83693237542899,22.01385406456447,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局車城分隊,福安路2-6號,08-8825840,120.70863354155999,22.06907522128862,,,,,,,,,,,,,,,,,,,
屏東縣政府消防局枋山分隊,屏東縣枋山鄉舊庄路,08-8772267,0,0,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局,苗栗縣苗栗市嘉新里1鄰經國路四段201號,037-558119,120.84260054667726,24.58184838004769,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局第一救災救護大隊,苗栗縣苗栗市金鳳街111號,037-365180,120.82160805452,24.542057133319798,,,,,,,,,,,,,,,,,,,
