,0
交易年份,1.0925629477658594
屋齡,13.984187769290896
交易標的,0.37927191917342223
建物現況格局-房,1.2827193634463643
建物現況格局-廳,0.6802500797319709
建物現況格局-衛,0.8024986255031478
電梯,0.4764950392884229
floor,4.027174702630107
車位類別-坡道平面,0.3313988367835709
車位類別-坡道機械,0.09280796525585708
車位類別-升降平面,0.0968961465389859
車位類別-升降機械,0.12469288961943248
車位類別-一樓平面,0.0344010297162787
車位類別-塔式車位,0.10271242192026032
車位類別-其他,0.0525068841848775
建物型態-公寓,0.4492344602811608
建物型態-華廈,0.4571492837753554
建物型態-住宅大樓,0.478462165196017
建物型態-套房,0.23534057714354223
建物型態-透天,0.04439398095623095
NEAR_HOSTIPAL_250,0.3816300735923839
NEAR_HOSTIPAL_500,0.49499376964412245
NEAR_HOSTIPAL_750,0.43618782470640405
CLINIC_COUNT_250,4.713873300002051
CLINIC_COUNT_500,15.002355388173276
CLINIC_COUNT_750,41.936240450803645
DENTIST_COUNT_250,3.589433408882681
DENTIST_COUNT_500,7.475228317535894
DENTIST_COUNT_750,15.345059217366167
PHARMACY_COUNT_250,2.0687788671553884
PHARMACY_COUNT_500,4.352601121192721
PHARMACY_COUNT_750,6.587241402023932
CSTORE_COUNT_250,3.33630584961202
CSTORE_COUNT_500,7.499149430362739
CSTORE_COUNT_750,14.619242921332393
FASTFOOD_COUNT_250,0.8329146460131869
FASTFOOD_COUNT_500,1.388605582927377
FASTFOOD_COUNT_750,2.0102354329508003
LIBRARY_COUNT_250,0.8329146460131869
LIBRARY_COUNT_500,1.388605582927377
LIBRARY_COUNT_750,2.0102354329508003
NEAR_SCHOOL_250,0.4440655278783147
NEAR_SCHOOL_500,0.059513636004920045
NEAR_SCHOOL_750,0.0
NEAR_UNIVERSITY_250,0.26599074772100606
NEAR_UNIVERSITY_500,0.42152463765827325
NEAR_UNIVERSITY_750,0.4981916470005599
NEAR_FIRESTATION_250,0.23084343263922857
NEAR_FIRESTATION_500,0.42694609073750595
NEAR_FIRESTATION_750,0.4976765427346566
NEAR_FUEL_250,0.41318611163486935
NEAR_FUEL_500,0.4850355692773725
NEAR_FUEL_750,0.20028036547265063
NEAR_MARKET_250,0.3536432344822489
NEAR_MARKET_500,0.4872265171213461
NEAR_MARKET_750,0.4503856339113854
NEAR_POLICE_250,0.43096878306489017
NEAR_POLICE_500,0.4999973493573517
NEAR_POLICE_750,0.44904109579298634
TEMPLE_COUNT_250,1.194019305579895
TEMPLE_COUNT_500,2.6918957979434666
TEMPLE_COUNT_750,4.501725267711398
CEMETERY_AREA_250,1632.242047474282
CEMETERY_AREA_500,3930.8518773768697
CEMETERY_AREA_750,9986.734635644407
PARK_AREA_250,10344.240558395582
PARK_AREA_500,43653.35637615955
PARK_AREA_750,96602.66880895048
WATER_AREA_250,6260.761590599252
WATER_AREA_500,26407.59261595407
WATER_AREA_750,52034.059717501055
PARKING_AREA_250,2992.8727283089897
PARKING_AREA_500,6921.094347294484
PARKING_AREA_750,9534.425324267722
STOP_COUNT_250,2.370730713568341
STOP_COUNT_500,4.911069800859976
STOP_COUNT_750,8.396082202750568
NEAR_LRT_250,0.0
NEAR_LRT_500,0.0
NEAR_LRT_750,0.0
NEAR_MRT_250,0.38028680739724374
NEAR_MRT_500,0.4928740506912338
NEAR_MRT_750,0.3799492229025359
NEAR_TRA_250,0.0741529880641618
NEAR_TRA_500,0.17171573702720191
NEAR_TRA_750,0.1890690235944443
y,70444.20460290855
