,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_250,NEAR_TRA_500,NEAR_TRA_750,y,0
22,111,49.0,0,3,2,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,14.0,42.0,0.0,12.0,30.0,0.0,5.0,15.0,2.0,11.0,30.0,0.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,2.0,2.0,4.0,0.0,0.0,0.0,2505.798523310728,17937.43296396279,76833.11335978603,0.0,0.0,0.0,6.5395324824757886,6062.661688520379,39834.125502669136,3.0,14.0,30.0,0,1,1,0,0,0,195938,170721.16
23,111,4.0,1,4,2,3,1,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,5.0,46.0,87.0,0.0,17.0,49.0,1.0,12.0,32.0,1.0,28.0,64.0,2.0,4.0,6.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0.0,2.0,9.0,0.0,0.0,0.0,78.90569563634466,11755.506053246248,38698.5336229048,0.0,0.0,0.0,456.6378635443189,4904.596519518209,23980.44225896196,5.0,18.0,43.0,0,1,1,0,0,0,539746,534680.94
24,111,47.0,0,3,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,19.0,34.0,53.0,12.0,20.0,30.0,5.0,6.0,13.0,17.0,33.0,49.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,2.0,2.0,11.0,0.0,0.0,0.0,2180.644028933575,10956.810292844002,71700.30131920858,0.0,0.0,16374.788776787003,4823.401632996253,21027.080287188284,36868.47545986171,8.0,27.0,50.0,1,1,1,0,0,0,188685,232063.56
25,111,1.0,1,3,2,2,1,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,5.0,20.0,158.0,1.0,14.0,65.0,1.0,14.0,34.0,5.0,20.0,69.0,1.0,2.0,6.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,0.0,2.0,11.0,0.0,0.0,0.0,1478.955051027131,10011.985516501354,27423.905830222728,0.0,0.0,0.0,0.0,12083.142183345686,24400.22250984574,6.0,19.0,46.0,0,1,1,0,0,0,515722,534380.6
26,111,20.0,0,2,2,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,2.0,25.0,52.0,2.0,21.0,38.0,1.0,8.0,23.0,5.0,18.0,44.0,0.0,2.0,4.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,4.0,0.0,0.0,0.0,2351.42451618005,47204.746405545295,68029.75775753272,0.0,0.0,0.0,2236.17962155113,5540.6914972647455,19255.2099765948,4.0,14.0,35.0,0,1,1,0,0,0,268541,254700.17
27,111,27.0,0,2,0,2,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,3.0,14.0,38.0,1.0,6.0,24.0,0.0,3.0,11.0,4.0,16.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,2.0,8.0,11.0,0.0,0.0,0.0,35656.25688257431,164027.17321294048,274366.88790271047,30115.30032716201,78732.82323593921,127536.00633803614,0.0,5138.744637386633,25663.876853392136,8.0,21.0,48.0,0,0,1,0,0,0,138240,198860.03
28,111,34.0,0,0,1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,11.0,38.0,74.0,9.0,31.0,49.0,5.0,15.0,22.0,5.0,24.0,56.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,2.0,4.0,9.0,0.0,0.0,0.0,1791.4682268882823,19145.30878563405,31568.04525017289,0.0,0.0,0.0,6861.731252139613,17340.32240606585,40333.76246041305,7.0,18.0,36.0,0,0,1,0,0,0,223424,256116.12
29,111,38.0,0,1,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,14.0,42.0,63.0,9.0,33.0,46.0,5.0,17.0,21.0,5.0,27.0,53.0,0.0,1.0,5.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,2.0,5.0,9.0,0.0,0.0,0.0,4565.6638709509225,12598.055148367956,35530.553461047115,0.0,0.0,0.0,3640.136217734834,11050.176637896977,41551.56412574204,5.0,17.0,36.0,0,1,1,0,0,0,243832,255722.66
30,111,46.0,0,2,2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,0.0,17.0,57.0,4.0,21.0,39.0,1.0,9.0,17.0,2.0,18.0,37.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0.0,1.0,2.0,0.0,0.0,0.0,1154.586506178501,22156.34208134126,48147.741865778815,0.0,0.0,0.0,1037.4090652285488,12030.23289208113,56218.84769481069,6.0,15.0,41.0,0,0,1,0,0,0,286040,268240.4
31,111,28.0,1,3,2,2,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,4.0,17.0,57.0,1.0,11.0,38.0,3.0,7.0,19.0,3.0,17.0,43.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,1,1,1,0.0,0.0,3.0,0.0,0.0,0.0,2071.567549106906,14492.228822706216,61684.066889009184,0.0,0.0,0.0,0.0,11838.485012524176,34940.33801684998,3.0,13.0,33.0,0,1,1,0,0,0,247117,331998.4
