,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_500,NEAR_TRA_750,y,0
138,111,39.0,0,3,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,5.0,13.0,35.0,2.0,12.0,29.0,2.0,4.0,11.0,7.0,16.0,37.0,0.0,2.0,4.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0.0,1.0,5.0,0.0,0.0,0.0,2311.937265931341,27195.29414645436,77246.35049532706,0.0,0.0,0.0,0.0,9040.560913486876,35579.8017022757,0.0,16.0,33.0,0,1,1,0,0,166725,196035.58
139,111,14.0,1,2,2,1,1,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8228.846571451699,21629.77879550148,0.0,0.0,0.0,0.0,2406.816568657608,4642.996190208738,7.0,15.0,25.0,0,0,0,0,0,145062,165782.39
140,111,38.0,0,3,2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,21.0,1.0,4.0,14.0,1.0,3.0,9.0,4.0,6.0,13.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,5.0,14.0,26.0,0.0,0.0,17584.259425241606,4920.686916666456,8825.794248124841,99774.14500997696,0.0,0.0,14218.96966481022,8170.747094412786,8178.65480675263,27760.12148741204,3.0,12.0,34.0,0,0,1,0,0,153606,148963.48
141,111,38.0,0,3,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,2.0,19.0,29.0,2.0,15.0,27.0,2.0,7.0,13.0,4.0,22.0,41.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,13854.663410202682,41726.85137460556,153769.08151120073,0.0,0.0,27695.003425806783,0.0,5264.236790179089,12990.988152172582,2.0,22.0,37.0,0,0,1,0,0,222075,182051.02
142,111,28.0,1,2,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,4.0,6.0,0.0,4.0,6.0,0.0,2.0,3.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,0.0,0.0,6.0,0.0,0.0,0.7866229832968733,66257.40303533997,169033.28444636473,225982.91094452224,18809.60680239511,71422.93089068473,85207.50640452835,2236.17962155113,2236.17962155113,2236.17962155113,2.0,16.0,28.0,1,1,1,0,0,123545,143299.55
143,111,25.0,0,3,2,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1.0,3.0,10.0,0.0,3.0,8.0,0.0,1.0,7.0,3.0,7.0,19.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,0.0,2.0,6.0,0.0,0.0,0.0,10296.376640118791,117531.52547706533,308899.0367774675,0.0,56100.46847698816,191537.8933272749,0.0,10580.772814516706,30513.153646989795,7.0,17.0,36.0,0,0,1,0,1,175234,192043.44
144,111,7.0,1,3,2,3,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1.0,3.0,5.0,8217.42052192492,17532.82393608366,17532.82393608366,0.0,461.50325911379326,35491.22228133122,0.0,0.0,0.0,0.0,768.0610310720828,2893.5941522014928,0.0,0.0,4.0,0,0,0,0,0,151256,156456.39
145,111,34.0,0,3,2,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,3.0,10.0,25.0,2.0,11.0,14.0,0.0,6.0,9.0,4.0,13.0,24.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,1,0.0,1.0,5.0,0.0,0.0,0.0,6704.26585143531,16181.768209410444,86736.74850460065,0.0,0.0,21706.30276337468,0.0,3641.662469381455,13499.616184912573,0.0,12.0,24.0,0,1,1,0,0,176012,169760.95
146,111,15.0,1,4,2,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0.0,27.0,40.0,0.0,19.0,30.0,0.0,11.0,18.0,4.0,14.0,21.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,2.0,6.0,11.0,0.0,2240.792678159914,27529.74908087495,45365.72179197845,85622.50680494127,134743.95252729906,0.0,0.0,9728.368458253752,0.0,12929.122196144654,17671.551593888365,5.0,27.0,49.0,0,1,1,0,0,237316,256066.16
147,111,38.0,0,3,2,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,6.0,24.0,36.0,13.0,22.0,32.0,3.0,6.0,14.0,6.0,20.0,35.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,2.0,0.0,0.0,0.0,5279.955874629826,57933.72101752066,206515.29257641223,0.0,8472.1188813926,55758.05018920075,1007.1399926754837,5118.353842128746,11702.992531493714,4.0,19.0,33.0,1,1,1,0,0,191374,172403.47
148,111,7.0,1,4,2,4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,16.0,28.0,0.0,13.0,28.0,0.0,9.0,13.0,1.0,11.0,23.0,0.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0.0,2.0,3.0,0.0,0.0,0.0,85633.31124264513,197956.54964268464,229279.34945051064,44156.64806613238,70054.16236053783,70054.16236053783,364.1496790776987,1941.5052602300543,3265.637511781172,1.0,18.0,34.0,0,1,1,0,0,204248,271390.78
149,111,42.0,0,3,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,1.0,4.0,0.0,0.0,0.0,0.0,9087.31124781418,21653.97442288531,0.0,0.0,0.0,0.0,2406.816568657608,9053.172956044898,7.0,19.0,27.0,0,0,0,0,0,117408,111557.84
150,111,2.0,1,3,2,2,1,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,1.0,7.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,8.0,22.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1267.4651565771137,31984.25499716976,162302.82374933298,0.0,0.0,76847.49249805357,0.0,6962.493279171187,37343.62434971155,4.0,22.0,45.0,0,0,0,0,0,232180,245396.97
151,111,14.0,1,2,2,2,1,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1.0,14.0,34.0,3.0,14.0,23.0,1.0,4.0,9.0,5.0,12.0,29.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0.0,1.0,5.0,0.0,0.0,0.0,2734.251403333611,22822.01091413312,107036.68356916774,0.0,0.0,12236.420039256576,0.0,6074.606062236924,24705.941633198552,4.0,15.0,30.0,0,1,1,0,0,234879,215516.81
