,0
交易年份,1.0469442484408389
屋齡,14.15062908428189
交易標的,0.4995668126672405
建物現況格局-房,1.2240377886059535
建物現況格局-廳,0.624993526792238
建物現況格局-衛,1.011926106110628
電梯,0.4813238445695237
floor,4.180085586861384
車位類別-坡道平面,0.4749293483685581
車位類別-坡道機械,0.22786421474188706
車位類別-升降平面,0.08932534787241495
車位類別-升降機械,0.1462089423679544
車位類別-一樓平面,0.05636465034578992
車位類別-塔式車位,0.19178910246543499
車位類別-其他,0.0917975557288916
建物型態-公寓,0.4630314183731795
建物型態-華廈,0.44781999668902067
建物型態-住宅大樓,0.4791226187544817
建物型態-套房,0.18583484324242225
建物型態-透天,0.12522676994106827
NEAR_HOSTIPAL_250,0.2530315649802339
NEAR_HOSTIPAL_500,0.42943844433200273
NEAR_HOSTIPAL_750,0.4965048674015077
CLINIC_COUNT_250,4.82720352077274
CLINIC_COUNT_500,9.930538620471612
CLINIC_COUNT_750,12.500337566843768
DENTIST_COUNT_250,2.955574273933072
DENTIST_COUNT_500,7.1476021058478185
DENTIST_COUNT_750,9.855961679232887
PHARMACY_COUNT_250,1.920776187260956
PHARMACY_COUNT_500,4.263616212261299
PHARMACY_COUNT_750,5.831223671929334
CSTORE_COUNT_250,2.438123588922244
CSTORE_COUNT_500,5.952140396977106
CSTORE_COUNT_750,8.449129229736553
FASTFOOD_COUNT_250,0.6890829291530649
FASTFOOD_COUNT_500,1.0521089843014704
FASTFOOD_COUNT_750,1.3235887006951732
LIBRARY_COUNT_250,0.6890829291530649
LIBRARY_COUNT_500,1.0521089843014704
LIBRARY_COUNT_750,1.3235887006951732
NEAR_SCHOOL_250,0.49012010464726063
NEAR_SCHOOL_500,0.2722044844374996
NEAR_SCHOOL_750,0.030162551415592723
NEAR_UNIVERSITY_250,0.21749085092083456
NEAR_UNIVERSITY_500,0.3378751857636339
NEAR_UNIVERSITY_750,0.42970969113106333
NEAR_FIRESTATION_250,0.22727036667927217
NEAR_FIRESTATION_500,0.3957568735470153
NEAR_FIRESTATION_750,0.48375535686988846
NEAR_FUEL_250,0.34358002053170367
NEAR_FUEL_500,0.49528978017956127
NEAR_FUEL_750,0.4789408904501401
NEAR_MARKET_250,0.3933941906865417
NEAR_MARKET_500,0.5000097301058639
NEAR_MARKET_750,0.45434940111734273
NEAR_POLICE_250,0.3874442748083452
NEAR_POLICE_500,0.4998212202236321
NEAR_POLICE_750,0.42349389530697984
TEMPLE_COUNT_250,1.4259270846676042
TEMPLE_COUNT_500,3.344119302925896
TEMPLE_COUNT_750,5.501400525663052
CEMETERY_AREA_250,2549.7807232995365
CEMETERY_AREA_500,8657.06697357906
CEMETERY_AREA_750,14314.097536576679
PARK_AREA_250,14935.92778876574
PARK_AREA_500,42081.11347479911
PARK_AREA_750,71173.84373443312
WATER_AREA_250,5792.221599816222
WATER_AREA_500,20826.115737933174
WATER_AREA_750,39480.39660583556
PARKING_AREA_250,3486.6311733612984
PARKING_AREA_500,7725.840799609911
PARKING_AREA_750,13026.847303372457
STOP_COUNT_250,2.861022162001698
STOP_COUNT_500,6.623443937062815
STOP_COUNT_750,10.190982300547814
NEAR_LRT_250,0.0
NEAR_LRT_500,0.0
NEAR_LRT_750,0.0
NEAR_MRT_250,0.36992316128110087
NEAR_MRT_500,0.5000373648769413
NEAR_MRT_750,0.4443619328731615
NEAR_TRA_250,0.0
NEAR_TRA_500,0.03693301301295824
NEAR_TRA_750,0.1457116891582771
y,52243.43969152085
