,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
6622,109,寶興街100號二樓,萬華區,41.0,房地(土地+建物),1091022,0680301,2,2,1,,無,133055,False,2,121.4943817,25.025706499999995
6623,109,哈密街166號五樓,大同區,38.0,房地(土地+建物),1091025,0710618,3,2,1,,無,151239,False,5,121.512908,25.072722799999998
6624,109,民族西路225巷13之3號八樓之2,大同區,15.0,房地(土地+建物)+車位,1091013,0940615,2,1,1,坡道機械,有,171175,False,8,121.51237449999999,25.069877700000003
6625,109,吳興街156巷22弄12號四樓,信義區,45.0,房地(土地+建物),1091018,0640324,3,2,1,,無,187286,False,4,121.56066265,25.028699399999997
6626,109,忠孝東路五段295巷2弄5號四樓,信義區,31.0,房地(土地+建物),1091018,0780425,3,2,2,,無,177276,False,4,121.5727287,25.04159965
6627,109,成福路194巷6號八樓之5,南港區,6.0,房地(土地+建物)+車位,1091011,1030314,2,1,1,塔式車位,有,222288,False,8,121.58788799999999,25.040736000000003
6628,109,中央北路三段40巷34弄18號五樓之1,北投區,8.0,房地(土地+建物)+車位,1091018,1010731,3,2,2,坡道平面,有,142695,False,5,121.48558985,25.13961675
6629,109,重慶北路四段208號九樓,士林區,7.0,房地(土地+建物)+車位,1091020,1020711,4,2,2,坡道平面,有,183993,False,9,121.51165429999999,25.085489700000004
6630,109,瑞安街244巷16號七樓,大安區,3.0,房地(土地+建物),1091017,1060111,3,2,3,,有,399801,False,7,121.5391369,25.027526299999998
6631,109,忠孝東路四段170巷18弄8號二樓,大安區,17.0,房地(土地+建物)+車位,1091019,0921110,5,2,2,一樓平面,有,319934,False,2,121.55031210000001,25.039845000000003
6632,109,中山北路七段14巷31弄5號五樓,士林區,40.0,房地(土地+建物),1091027,0690621,4,2,2,,無,134664,False,5,121.53271594999997,25.119440849999997
6633,109,環河北路三段203號四樓,士林區,8.0,房地(土地+建物)+車位,1091025,1011008,3,2,2,坡道平面,有,129205,False,4,121.504233,25.087890599999998
6634,109,大度路三段301巷20號四樓,北投區,34.0,房地(土地+建物),1091027,0751113,0,2,1,,無,84752,False,4,121.4661449,25.1224946
6635,109,吉利街164巷2弄1號五樓,北投區,37.0,房地(土地+建物),1091017,0720303,2,2,1,,無,125178,False,5,121.5088031,25.118283200000004
6636,109,承德路四段85號八樓,士林區,18.0,房地(土地+建物)+車位,1091016,0910821,4,2,2,坡道平面,有,257593,False,8,121.52383909999999,25.083200599999998
6637,109,大西路67號,士林區,95.0,房地(土地+建物),1091031,01412,5,2,2,,無,597333,False,1,121.5246743,25.091365999999997
6638,109,中社路一段11巷70號,士林區,45.0,房地(土地+建物),1091020,0640801,3,2,1,,無,117715,False,1,121.5612779,25.11080465
6639,109,杏林三路19號三樓,北投區,36.0,房地(土地+建物),1091027,0730308,3,2,2,,無,94945,False,3,121.498096,25.141050000000003
6640,109,知行路316巷18弄19號四樓,北投區,38.0,房地(土地+建物),1091023,0710724,2,2,1,,無,103452,False,4,121.46795709999999,25.121857499999997
6641,109,信義路五段127號七樓之10,信義區,14.0,房地(土地+建物)+車位,1091020,0951229,1,1,1,坡道平面,有,225665,False,7,121.57405820000001,25.0339574
6642,109,北寧路62號六樓,松山區,31.0,房地(土地+建物)+車位,1091009,0780220,3,2,2,坡道平面,有,288886,False,6,121.66623295000001,25.100542700000002
6643,109,基隆路二段179號十二樓之1,信義區,10.0,房地(土地+建物)+車位,1091019,0990901,2,2,1,坡道平面,有,198076,False,12,121.5536359,25.0250374
6644,109,陽光街161巷12之36號三樓,內湖區,1.0,房地(土地+建物)+車位,1091009,1080716,1,1,1,塔式車位,有,235321,False,3,121.5854815,25.074383599999997
6645,109,陽光街161巷12之17號,內湖區,1.0,房地(土地+建物)+車位,1091031,1080716,1,1,1,塔式車位,有,254055,False,1,121.5854815,25.074383599999997
