,交易年份,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址
915,111,臺北市中山區大直街122號四樓,39,3,2,2,無,221091,False
956,110,臺北市中山區合江街37號七樓,3,0,0,0,有,287336,False
960,111,臺北市中山區建國北路二段139號八樓之2,36,2,2,2,有,208470,False
961,111,臺北市中山區松江路2號十一樓之1,41,1,1,1,有,205554,False
1035,110,臺北市中山區林森北路286號九樓之6,33,1,1,1,有,157700,False
1037,111,臺北市中山區林森北路107巷41號七樓之6,33,1,1,1,有,186803,False
1071,111,臺北市中山區吉林路461巷14號四樓,50,3,2,1,無,173241,False
1083,111,臺北市中山區新生北路三段16號五樓,10,1,1,1,有,245399,False
1130,111,臺北市中山區合江街100巷25號四樓,41,3,2,2,有,187512,False
1132,111,臺北市中山區林森北路121號十二樓之6,14,1,0,1,有,250987,False
1135,111,臺北市中山區中山北路二段115巷30號七樓,12,1,2,1,有,258088,False
1140,111,臺北市中山區新生北路三段56巷19號六樓之1,13,1,1,1,有,268084,False
1165,111,臺北市中山區民族東路512巷13弄27號三樓,41,3,2,2,無,127621,False
1219,111,臺北市中山區林森北路472號六樓之10,26,1,1,1,有,178944,False
1222,111,臺北市中山區市民大道三段167號七樓之3,14,1,0,1,有,255862,False
1338,110,臺北市中山區新生北路一段59號二樓,42,1,1,1,有,183385,False
1343,111,臺北市中山區合江街188巷14號七樓,45,2,2,1,有,258039,False
1352,111,臺北市中山區長春路59號八樓,46,1,2,1,有,171262,False
1372,111,臺北市中山區合江街73巷37號七樓,40,3,2,2,有,240176,False
1374,111,臺北市中山區新生北路三段82巷37號四樓之2,30,1,1,1,有,204304,False
1381,111,臺北市中山區林森北路119巷61號,55,0,0,0,無,427722,False
1460,111,臺北市中山區林森北路119巷66之3號,55,3,1,1,無,119048,False
1461,111,臺北市中山區錦州街32號九樓,40,2,2,1,有,162729,False
1483,111,臺北市中山區民權東路二段200號四樓,46,5,3,2,無,157560,False
1519,111,臺北市中山區林森北路263號七樓之3,40,1,1,1,有,159380,False
1520,111,臺北市中山區民權東路二段135巷16號七樓,39,0,0,0,有,104154,False
1530,111,臺北市中山區四平街56號四樓之2,14,2,2,1,有,315288,False
1557,111,臺北市中山區龍江路271巷3號二樓,39,4,2,2,有,209751,False
1559,111,臺北市中山區明水路397巷7弄60號四樓之3,30,1,1,1,有,249518,False
1560,110,臺北市中山區新生北路二段33巷6號五樓,48,3,2,2,無,197032,False
1667,111,臺北市中山區松江路506號二樓之3,38,3,2,2,有,202794,False
1670,111,臺北市中山區北安路630巷25弄18號四樓,25,3,2,1,有,292303,False
1713,111,臺北市中山區農安街34號五樓之10,43,0,1,1,有,158625,False
1718,111,臺北市中山區林森北路282號四樓之13,48,2,2,1,有,224918,False
1720,111,臺北市中山區中山北路二段137巷18之12號四樓之1,38,2,2,2,有,185429,False
1722,111,臺北市中山區新生北路三段43號二樓之25,44,1,1,1,有,193311,False
1770,111,臺北市中山區松江路2號十一樓之3、十一樓之4,41,0,0,0,有,211425,False
1772,111,臺北市中山區雙城街25巷2號四樓之5,46,2,1,1,有,193660,False
1890,111,臺北市中山區敬業三路162巷196號四樓,22,3,2,2,有,206431,False
1892,111,臺北市中山區新生北路二段123巷35號二樓,56,3,1,1,無,190592,False
1908,111,臺北市中山區建國北路二段188號十三樓之1,36,3,2,2,有,229578,False
1910,111,臺北市中山區中山北路二段27巷17號六樓之5,45,2,1,1,有,219017,False
1958,111,臺北市中山區民權西路20號三樓之6,45,0,0,0,有,192864,False
1978,111,臺北市中山區林森北路289號五樓之15,45,0,0,0,有,167785,False
1979,111,臺北市中山區錦州街30巷11號九樓之18,43,0,1,1,有,154138,False
2066,111,臺北市中山區建國北路二段35號六樓之2,34,1,1,1,有,255821,False
2068,111,臺北市中山區錦州街30巷11號十樓之7,43,1,0,1,有,181571,False
2093,111,臺北市中山區合江街69之1號六樓之1,37,3,2,2,有,216978,False
2100,111,臺北市中山區新生北路三段1號八樓之24,41,1,1,1,有,180377,False
2117,111,臺北市中山區興安街88號,36,0,0,0,有,267912,False
2120,111,臺北市中山區新生北路三段87巷65之1號,52,2,2,1,無,176603,False
2121,111,臺北市中山區南京東路二段108號五樓之15,12,0,0,0,有,290021,False
2171,111,臺北市中山區林森北路413號七樓之5,38,2,1,1,有,140088,False
2176,111,臺北市中山區中山北路三段53號二樓之3,1,2,2,1,有,289415,False
2177,111,臺北市中山區中山北路三段53號五樓之3,1,2,2,1,有,298593,False
2227,111,臺北市中山區合江街61巷31號三樓,42,3,2,2,無,209518,False
2358,111,臺北市中山區雙城街28巷16號五樓,46,2,2,1,無,224766,False
2361,111,臺北市中山區林森北路85巷59號五樓,41,3,2,2,無,131518,False
2362,111,臺北市中山區新生北路三段1號五樓之2,41,1,0,1,有,195918,False
2368,111,臺北市中山區新生北路二段60巷2號九樓之3,41,1,0,1,有,158755,False
2370,111,臺北市中山區北安路588巷8號五樓,31,2,1,1,有,261845,False
2373,111,臺北市中山區天祥路16號十一樓,6,1,1,1,有,305379,False
2429,111,臺北市中山區南京東路二段108號十三樓之11,12,1,1,1,有,300300,False
2440,111,臺北市中山區長安東路二段230號九樓之5,37,4,2,2,有,186713,False
2477,111,臺北市中山區民族東路530號四樓,41,3,2,2,無,151167,False
2555,111,臺北市中山區建國北路一段150號七樓之5,12,1,0,1,有,291527,False
2556,111,臺北市中山區建國北路一段150號七樓之3,12,1,1,0,有,289505,False
2588,111,臺北市中山區新生北路二段31之1號八樓之3,45,2,0,1,有,196666,False
2653,111,臺北市中山區民生東路二段83號五樓之10,42,1,1,1,有,165002,False
2655,111,臺北市中山區吉林路461巷7號,52,3,1,1,無,255583,False
2659,111,臺北市中山區興安街80巷6號三樓,52,3,2,1,無,212016,False
2661,111,臺北市中山區林森北路107巷28號五樓之1,6,1,1,1,有,199818,False
2756,111,臺北市中山區復興北路448號七樓之3,14,0,1,1,有,268722,False
2781,111,臺北市中山區松江路133巷50號四樓之1,18,1,1,1,有,309294,False
2796,111,臺北市中山區中山北路三段53號六樓之5,1,2,2,2,有,284944,False
2799,111,臺北市中山區中山北路三段53號三樓之3,1,2,2,1,有,292780,False
2800,111,臺北市中山區中山北路三段53號四樓之3,1,2,2,1,有,295635,False
2860,111,臺北市中山區德惠街178號五樓,37,3,2,2,有,200189,False
2884,111,臺北市中山區林森北路107巷28號四樓之1,6,1,0,1,有,206176,False
2900,111,臺北市中山區新生北路三段1號六樓之4,41,0,0,0,有,178231,False
2924,111,臺北市中山區新生北路二段28巷3號十四樓之2,33,3,2,2,有,231249,False
2925,110,臺北市中山區民生東路二段119號二樓之7,45,4,2,2,有,173923,False
2926,111,臺北市中山區林森北路655號七樓之3,18,1,1,1,有,200508,False
2929,111,臺北市中山區民族東路520號三樓,38,3,2,2,無,164099,False
2990,110,臺北市中山區吉林路47之3號,25,3,2,1,有,324582,False
2992,111,臺北市中山區中山北路三段53之6號六樓,36,3,2,2,有,226534,False
2994,111,臺北市中山區新生北路二段68巷13號十樓之2,14,1,1,1,有,240761,False
2995,111,臺北市中山區龍江路342巷2號三樓,44,3,2,2,無,153528,False
3089,111,臺北市中山區吉林路343巷44號,50,3,2,1,無,263892,False
3098,111,臺北市中山區新生北路二段137巷42號,56,0,0,0,無,241703,False
3100,111,臺北市中山區林森北路259巷9號四樓之14,38,1,0,1,有,172964,False
3145,111,臺北市中山區錦州街50號六樓之11,38,2,1,1,有,179609,False
3146,111,臺北市中山區復興北路60號九樓之1,42,0,0,0,有,173033,False
3148,111,臺北市中山區松江路3號八樓之4,26,1,0,1,有,201381,False
3198,111,臺北市中山區南京東路二段21巷19號,54,5,1,6,無,328239,False
3243,111,臺北市中山區中山北路一段53巷26號三樓之7,14,1,2,1,有,245098,False
3247,111,臺北市中山區吉林路254之1號五樓之1,43,1,1,1,有,214792,False
3250,111,臺北市中山區吉林路254之1號五樓,43,1,1,1,有,210266,False
3256,111,臺北市中山區合江街61巷8號三樓,41,3,2,2,無,209831,False
3257,111,臺北市中山區新生北路二段96號七樓之7,40,1,1,1,有,161385,False
3259,111,臺北市中山區長春路247號八樓之6,14,1,1,1,有,286271,False
3316,111,臺北市中山區農安街77巷6號四樓,38,2,2,2,無,149662,False
3320,111,臺北市中山區林森北路263號八樓之12,40,2,1,1,有,186138,False
3328,111,臺北市中山區南京東路三段89巷11之1號,51,0,1,1,無,221328,False
3329,111,臺北市中山區吉林路26巷20號四樓之3,32,1,0,1,有,200511,False
3338,111,臺北市中山區新生北路二段28巷1號三樓之8,33,2,2,3,有,179406,False
3339,111,臺北市中山區林森北路306號十四樓,19,0,1,1,有,195978,False
3371,111,臺北市中山區龍江路37巷6號二樓,46,3,2,2,無,189383,False
3372,111,臺北市中山區松江路330巷63號三樓,53,2,2,2,無,196473,False
3414,111,臺北市中山區長春路410號十一樓之1,33,0,0,0,有,244349,False
3490,111,臺北市中山區新生北路三段1號八樓之19,41,1,0,1,有,153846,False
3494,111,臺北市中山區民生西路45巷5弄3號,52,1,1,1,無,373943,False
3529,111,臺北市中山區新生北路三段70號七樓之6,42,1,0,1,有,185391,False
3531,111,臺北市中山區民生東路二段147巷12弄32號,56,2,2,1,無,284422,False
3534,111,臺北市中山區民生東路一段54號十樓之6,37,1,1,1,有,205541,False
3536,111,臺北市中山區南京東路二段108號十二樓之20,12,0,0,0,有,313051,False
3544,111,臺北市中山區中山北路二段77巷17號七樓之1,13,3,2,1,有,238796,False
3554,111,臺北市中山區民權東路二段135巷30弄16號六樓,43,4,2,2,有,183528,False
3556,111,臺北市中山區中原街22號七樓之2,45,1,1,1,有,221682,False
3615,111,臺北市中山區長春路100號四樓之11,47,1,1,1,有,201114,False
3619,111,臺北市中山區新生北路二段28巷5號三樓之5,33,3,2,2,有,182990,False
3620,111,臺北市中山區新生北路三段1號八樓之23,41,0,0,0,有,191114,False
3642,111,臺北市中山區龍江路249巷8號四樓,46,2,2,2,無,182360,False
3644,111,臺北市中山區四平街138號二樓之2,39,3,2,1,有,240757,False
3665,111,臺北市中山區吉林路205號三樓,50,2,2,1,無,182991,False
3693,111,臺北市中山區民生東路二段83號七樓之37,42,1,1,1,有,155314,False
3749,111,臺北市中山區民生東路二段147巷12弄34號,56,3,1,1,無,306301,False
3752,111,臺北市中山區民生東路一段72號九樓之1,41,0,0,0,有,125612,False
3756,111,臺北市中山區松江路562號二樓之10,26,1,0,1,有,124468,False
3764,111,臺北市中山區復興北路400號三樓之3,36,2,2,1,有,264370,False
3765,111,臺北市中山區林森北路107巷30號四樓,40,1,1,2,有,167904,False
3988,111,臺北市中山區松江路2號九樓之9,41,1,1,1,有,199344,False
4038,111,臺北市中山區北安路573巷2弄8號,52,3,1,3,無,289394,False
4039,111,臺北市中山區南京東路一段60號四樓,22,3,2,2,有,241023,False
4040,111,臺北市中山區南京東路一段62號四樓,22,0,0,0,有,241129,False
4041,111,臺北市中山區松江路118號十七樓之8,1,1,1,1,有,474440,False
4045,111,臺北市中山區復興北路66號十一樓之6,43,2,1,1,有,252101,False
4101,111,臺北市中山區龍江路394巷61號三樓,38,3,2,2,無,125348,False
4102,111,臺北市中山區錦州街353號六樓之2,38,2,2,1,有,246187,False
4105,111,臺北市中山區民族東路410巷23弄5號五樓,43,2,2,1,無,152828,False
4199,111,臺北市中山區撫順街41巷3號六樓之6,40,1,1,1,有,242494,False
4200,111,臺北市中山區建國北路三段80巷1號十樓,34,3,2,2,有,197160,False
4230,111,臺北市中山區市民大道三段31號五樓,42,3,2,2,無,183805,False
4263,111,臺北市中山區長安東路一段56巷7弄34號四樓,41,3,2,2,無,163211,False
4267,111,臺北市中山區松江路28號十二樓之5,35,0,1,1,有,250633,False
4272,111,臺北市中山區中山北路二段65巷16號三樓之1,49,1,2,1,有,217577,False
4275,111,臺北市中山區松江路562號五樓之2,26,1,0,1,有,146199,False
4278,111,臺北市中山區新生北路一段54號五樓,34,1,1,1,有,200490,False
4354,111,臺北市中山區龍江路271巷5號二樓,39,4,2,2,有,209624,False
4418,111,臺北市中山區新生北路二段21巷5號六樓,46,3,2,2,有,186672,False
4427,111,臺北市中山區錦州街50號十二樓之27,38,1,1,1,有,184779,False
4428,111,臺北市中山區林森北路121號十五樓之13,14,1,2,1,有,255195,False
4487,111,臺北市中山區新生北路三段64號二樓之5,43,1,1,1,有,175084,False
4494,111,臺北市中山區民權東路二段92巷7弄21號二樓,53,2,1,1,無,256898,False
4498,111,臺北市中山區新生北路一段112號三樓之8,41,1,0,1,有,169600,False
4568,111,臺北市中山區錦州街50號七樓之11,38,1,1,1,有,150555,False
4570,111,臺北市中山區林森北路413號八樓之5,38,2,2,1,有,166591,False
4573,111,臺北市中山區林森北路119巷88號三樓之1,34,1,0,1,有,202336,False
4622,111,臺北市中山區新生北路二段68巷8號九樓之10,6,2,2,1,有,283925,False
4624,111,臺北市中山區錦州街50號十一樓之5,38,1,1,1,有,153196,False
4706,111,臺北市中山區長安東路一段52巷6號四樓,56,2,1,1,無,192008,False
4707,111,臺北市中山區松江路164巷15號四樓,39,4,2,2,有,222571,False
4719,111,臺北市中山區民族東路410巷23弄25號三樓,35,3,2,2,無,180523,False
4720,111,臺北市中山區建國北路二段115號六樓,38,3,2,2,有,226757,False
4721,111,臺北市中山區長春路410號十一樓之6,33,1,0,1,有,238400,False
4727,111,臺北市中山區松江路431巷9號四樓,45,5,0,5,無,172421,False
4777,111,臺北市中山區合江街58巷30號三樓,40,3,2,2,無,189974,False
4859,111,臺北市中山區復興北路190巷1號九樓,36,3,2,1,有,251072,False
4876,111,臺北市中山區民權東路二段135巷29弄12號六樓,37,3,2,2,有,167517,False
4932,111,臺北市中山區民權東路二段146號十一樓之3,40,2,2,1,有,260376,False
4939,111,臺北市中山區中山北路二段85巷1號二樓之1,3,1,1,1,有,296646,False
4940,111,臺北市中山區農安街9號六樓之2,38,1,1,1,有,180026,False
4941,111,臺北市中山區新生北路二段38號九樓之7,26,2,2,1,有,225499,False
4950,111,臺北市中山區林森北路119巷21號三樓,51,2,2,1,無,175815,False
4970,111,臺北市中山區敬業三路162巷84號五樓,22,3,2,2,有,192976,False
4998,111,臺北市中山區中山北路二段65巷16號五樓,49,2,2,2,有,237801,False
5037,111,臺北市中山區龍江路328巷41號,45,3,1,1,無,316456,False
5067,111,臺北市中山區林森北路481號七樓之9,19,1,1,1,有,237125,False
5109,111,臺北市中山區新生北路二段60巷2號九樓之4,41,1,0,1,有,163530,False
5113,111,臺北市中山區民權東路二段92巷8弄13號,53,2,1,1,無,319608,False
5117,111,臺北市中山區復興北路154號六樓,42,0,0,0,有,246871,False
5118,111,臺北市中山區長安東路二段80號八樓,41,2,1,1,有,238312,False
5123,111,臺北市中山區林森北路85巷86號六樓之1,51,2,0,2,有,185315,False
5127,111,臺北市中山區新生北路三段88巷9號五樓,45,5,0,5,無,191888,False
5192,111,臺北市中山區龍江路331巷19號四樓,42,3,2,2,有,231001,False
5193,111,臺北市中山區復興北路288號十一樓之3,39,1,2,1,有,274120,False
5194,111,臺北市中山區合江街105號四樓之1,10,1,1,1,有,234726,False
5199,111,臺北市中山區林森北路105號八樓之2,41,2,1,1,有,177661,False
5319,111,臺北市中山區松江路31號十一樓之3,32,0,1,1,有,266759,False
5329,111,臺北市中山區遼寧街101巷14號二樓,40,5,5,5,無,206348,False
5330,111,臺北市中山區林森北路416巷1號二樓之5,46,2,1,1,有,181132,False
5418,111,臺北市中山區林森北路413號五樓之19,38,1,1,1,有,182882,False
5419,111,臺北市中山區林森北路399巷23號六樓,38,1,1,1,有,181514,False
5426,111,臺北市中山區新生北路三段43號三樓之28,44,3,1,2,有,185228,False
5428,111,臺北市中山區中山北路一段83巷9號五樓之11,48,0,1,1,有,190282,False
5493,111,臺北市中山區遼寧街101巷19號四樓之1,7,1,1,1,有,277561,False
5494,111,臺北市中山區建國北路二段87號六樓,40,1,0,1,有,186694,False
5518,111,臺北市中山區龍江路311號七樓,40,2,2,1,有,243929,False
5519,111,臺北市中山區林森北路107巷41號三樓,33,1,1,1,有,170751,False
5520,111,臺北市中山區中山北路三段25號四樓之8,44,2,2,1,有,187527,False
5571,111,臺北市中山區長安東路二段230號十二樓之2,37,3,2,2,有,188663,False
5629,111,臺北市中山區德惠街52號八樓之14,40,1,1,1,有,211506,False
5638,111,臺北市中山區民生東路一段81號五樓、五樓之1,44,2,1,1,無,185395,False
5669,111,臺北市中山區吉林路411號七樓之5,26,0,0,0,有,159462,False
5675,111,臺北市中山區新生北路三段43號四樓之8,44,1,1,1,有,173980,False
5712,111,臺北市中山區林森北路655號三樓之2,18,1,0,1,有,209659,False
5773,111,臺北市中山區吉林路140號三樓,45,3,2,2,有,185295,False
5817,111,臺北市中山區林森北路409號七樓之2,40,3,2,1,有,125803,False
5823,111,臺北市中山區新生北路三段84巷15號四樓,41,3,2,1,無,182068,False
5827,111,臺北市中山區新生北路三段43號八樓之5,44,1,1,1,有,189445,False
5828,111,臺北市中山區中山北路二段77巷29號四樓之6,45,1,1,1,有,179929,False
5832,111,臺北市中山區新生北路三段88巷40號三樓,45,3,2,2,無,189983,False
5899,111,臺北市中山區新生北路二段39號七樓之5,42,2,2,1,有,173871,False
5900,111,臺北市中山區長春路137巷3號四樓之3,43,4,2,2,有,198210,False
5902,111,臺北市中山區植福路286巷26號三十八樓,8,0,0,0,有,704831,False
5903,111,臺北市中山區植福路286巷28號三十八樓,8,0,0,0,有,704855,False
5942,111,臺北市中山區興安街91號十四樓之2,36,3,2,2,有,230841,False
5943,111,臺北市中山區新生北路二段96號十一樓之22,40,1,1,1,有,188061,False
6000,111,臺北市中山區新生北路三段43號五樓之27,44,1,1,1,有,179793,False
6047,111,臺北市中山區民生東路二段83號三樓之40,42,2,1,1,有,197027,False
6057,111,臺北市中山區民族東路512巷13弄11號四樓,41,3,2,2,無,186907,False
6059,110,臺北市中山區四平街56號四樓,13,1,1,1,有,286768,False
6119,111,臺北市中山區錦州街50號九樓之5,38,1,1,1,有,133386,False
6149,111,臺北市中山區長安東路二段193號十一樓,7,2,2,2,有,257612,False
6162,111,臺北市中山區民生東路一段54號十一樓,37,9,0,9,有,128955,False
6163,111,臺北市中山區龍江路356巷56號四樓,44,3,2,1,無,150150,False
6192,111,臺北市中山區農安街204巷13號六樓,36,3,2,2,有,175147,False
6250,111,臺北市中山區吉林路98巷19號,54,3,2,2,無,207974,False
6303,111,臺北市中山區新生北路三段1號八樓之17,41,1,1,1,有,187755,False
6306,111,臺北市中山區雙城街3巷2號十五樓之1,27,1,1,1,有,194974,False
6313,111,臺北市中山區中山北路二段77巷29號四樓之7,45,1,1,1,有,187784,False
6315,111,臺北市中山區新生北路一段48號六樓,34,2,1,1,有,235376,False
6319,111,臺北市中山區農安街123號,54,3,1,3,無,267109,False
6365,111,臺北市中山區農安街8號十三樓之9,13,1,1,1,有,234166,False
6442,111,臺北市中山區德惠街198巷13號三樓,51,3,2,2,無,179300,False
6443,111,臺北市中山區伊通街19巷21號,38,3,2,1,無,303590,False
6455,111,臺北市中山區吉林路254號五樓,43,4,0,4,有,187482,False
6492,111,臺北市中山區松江路31號十一樓,32,0,1,1,有,227076,False
6497,111,臺北市中山區中山北路二段116巷23號三樓,45,2,2,1,無,212854,False
6499,111,臺北市中山區林森北路107巷87號三樓,41,5,0,5,無,146888,False
6509,111,臺北市中山區大直街67巷1號四樓,38,3,2,2,無,230920,False
6545,111,臺北市中山區林森北路409號十樓之2,40,2,2,1,有,161290,False
6547,111,臺北市中山區龍江路328巷4號四樓,44,3,2,2,無,171126,False
6549,111,臺北市中山區林森北路119巷85號五樓,38,4,1,1,有,151181,False
6550,111,臺北市中山區民生東路三段73巷2弄1號三樓,46,3,2,2,無,196098,False
6572,111,臺北市中山區建國北路三段81巷15號,39,0,0,0,有,186565,False
6584,111,臺北市中山區南京東路三段118號八樓之2,42,0,0,0,有,227618,False
6585,111,臺北市中山區南京東路三段118號八樓之3,42,0,0,0,有,229834,False
6629,111,臺北市中山區德惠街52號八樓之10,40,1,1,1,有,175498,False
6632,111,臺北市中山區中山北路二段128巷9號三樓之1,11,1,1,1,有,260518,False
6675,111,臺北市中山區中山北路一段83巷9號五樓之9,48,0,1,1,有,187391,False
6676,111,臺北市中山區長安東路二段178號九樓之8,34,2,2,1,有,231961,False
6678,111,臺北市中山區長安東路二段189號十一樓之8,39,1,1,1,有,263857,False
6680,111,臺北市中山區北安路669號二樓,5,0,0,0,有,217178,False
6682,111,臺北市中山區復興北路232號五樓之2,36,2,2,2,有,253010,False
6683,111,臺北市中山區北安路652號四樓,46,4,2,1,無,207275,False
6781,111,臺北市中山區民權東路一段38巷18弄1號四樓之5,49,3,2,2,有,148350,False
6806,111,臺北市中山區長安東路二段178號九樓之7,34,3,2,2,有,222471,False
6853,111,臺北市中山區新生北路二段40號十六樓之7,26,2,1,1,有,265157,False
6905,111,臺北市中山區新生北路二段76號八樓之8,14,1,1,1,有,232489,False
6967,111,臺北市中山區復興北路430巷10號,44,0,2,2,無,322992,False
24,110,臺北市中山區民權西路63號十樓,4,0,0,0,有,347164,False
36,110,臺北市中山區雙城街37巷3號六樓,31,3,2,2,有,189304,False
37,110,臺北市中山區復興北路448號十一樓,13,1,1,1,有,259330,False
40,110,臺北市中山區合江街144巷16號四樓,51,3,2,2,無,154143,False
92,110,臺北市中山區南京東路一段132巷31號六樓之1,36,1,0,1,有,171664,False
95,110,臺北市中山區中山北路二段65巷16號二樓之1,48,1,1,1,無,185435,False
99,110,臺北市中山區合江街83巷22號七樓,39,5,3,3,有,232576,False
138,110,臺北市中山區復興北路190巷13號十五樓,35,2,2,1,有,229639,False
140,110,臺北市中山區農安街26之2號十二樓之2、十二樓之3,37,7,2,3,有,196858,False
203,110,臺北市中山區民權西路65號十樓,4,0,0,0,有,347914,False
250,110,臺北市中山區林森北路107巷43號三樓之3,29,1,1,1,有,171801,False
257,110,臺北市中山區中山北路二段62巷35號五樓,3,1,1,1,有,281259,False
312,110,臺北市中山區林森北路483號七樓之4,18,1,1,1,有,201759,False
314,110,臺北市中山區民生東路一段25號九樓之2,41,1,1,1,有,135002,False
355,110,臺北市中山區中山北路二段168之5號三樓之3,15,2,1,1,有,276572,False
391,110,臺北市中山區林森北路413號十樓之6,37,2,2,1,有,130244,False
436,110,臺北市中山區敬業三路162巷22號五樓,21,2,2,1,有,210025,False
438,110,臺北市中山區林森北路85巷36號五樓之7,40,1,1,1,有,179641,False
440,110,臺北市中山區松江路289之304號,51,4,1,2,有,204007,False
444,110,臺北市中山區林森北路107巷43號五樓之1,29,1,0,1,有,156486,False
507,110,臺北市中山區合江街31巷14號三樓,46,4,2,2,無,174128,False
570,110,臺北市中山區南京東路二段196號四樓,11,3,2,2,有,298474,False
641,110,臺北市中山區林森北路107巷90號五樓之1、五樓之2,45,2,4,2,有,161121,False
653,110,臺北市中山區建國北路三段113巷5號二樓,41,3,2,2,無,183080,False
655,110,臺北市中山區民族東路196號三樓,49,2,2,1,無,166199,False
699,110,臺北市中山區龍江路295巷9之1號,51,4,2,2,無,257913,False
709,110,臺北市中山區建國北路三段175號三樓,36,3,2,2,無,175365,False
716,110,臺北市中山區中山北路二段62巷35號四樓,3,1,1,1,有,290877,False
804,110,臺北市中山區合江街39號十一樓,3,0,0,0,有,299470,False
842,110,臺北市中山區合江街69之1號四樓,36,3,2,2,有,225161,False
843,110,臺北市中山區新生北路三段58號七樓之11,39,1,1,1,有,172456,False
846,110,臺北市中山區新生北路二段60巷2號九樓之2,40,2,1,1,有,188735,False
864,110,臺北市中山區北安路621巷41號二樓,41,4,2,2,無,206815,False
910,110,臺北市中山區德惠街18號六樓之3,6,1,1,1,有,272076,False
911,110,臺北市中山區民權東路一段55號十一樓,37,1,1,1,有,213873,False
921,110,臺北市中山區中原街22號六樓之13,44,1,1,1,有,157034,False
924,110,臺北市中山區中山北路二段77巷16號六樓,39,1,1,1,有,155968,False
973,110,臺北市中山區新生北路三段87巷47號,49,3,2,1,無,268962,False
1015,110,臺北市中山區復興北路288號十二樓之1,38,3,2,1,有,242073,False
1017,110,臺北市中山區合江街144巷28號四樓,51,2,1,1,無,228898,False
1019,110,臺北市中山區林森北路259巷9號七樓之20,37,0,1,1,有,172623,False
1021,110,臺北市中山區長安東路一段56巷7弄10號四樓,53,4,2,3,無,210852,False
1022,110,臺北市中山區天津街37號七樓之1,34,2,1,2,有,198585,False
1027,110,臺北市中山區民權東路二段92巷7弄17號三樓,51,7,3,3,無,259516,False
1146,110,臺北市中山區林森北路67巷24弄2號五樓,34,3,2,2,無,182510,False
1148,110,臺北市中山區北安路829號二樓,11,1,1,1,有,279392,False
1151,110,臺北市中山區民權東路二段26號四樓之4,37,3,2,1,有,180617,False
1156,110,臺北市中山區建國北路三段113巷31弄16號三樓,34,3,2,1,無,164112,False
1188,110,臺北市中山區新生北路一段65之2號,52,2,2,1,無,170994,False
1192,110,臺北市中山區松江路330巷41號二樓,51,2,2,1,無,192562,False
1230,110,臺北市中山區長春路219號十一樓之3,40,0,0,0,有,172370,False
1286,110,臺北市中山區興安街77號四樓之3,35,3,2,2,有,246132,False
1332,110,臺北市中山區中原街84號,55,2,1,1,無,286187,False
1337,110,臺北市中山區松江路51號十一樓,32,0,0,0,有,217253,False
1386,110,臺北市中山區錦州街30巷11號九樓之8,42,1,1,1,有,180755,False
1460,110,臺北市中山區新生北路一段78號十一樓之3,33,2,1,1,有,220548,False
1461,110,臺北市中山區中山北路二段168之5號七樓之3,15,2,2,1,有,297475,False
1463,110,臺北市中山區新生北路三段93巷53號二樓,48,3,2,2,無,171607,False
1468,110,臺北市中山區林森北路259巷9號五樓之28,37,1,0,1,有,167364,False
1507,110,臺北市中山區民權西路69號六樓,4,0,0,0,有,344634,False
1511,110,臺北市中山區民生東路一段70巷6號二樓之1,14,3,1,2,有,210660,False
1529,110,臺北市中山區北安路805巷2之5號,43,5,1,5,有,194985,False
1570,110,臺北市中山區基湖路151巷21號四樓之5,17,1,1,1,無,244450,False
1571,110,臺北市中山區復興南路一段42號八樓,40,1,1,1,有,236183,False
1572,110,臺北市中山區南京東路二段108號十樓之20,11,1,1,1,有,299824,False
1573,110,臺北市中山區吉林路26巷20號三樓之2,31,0,0,0,有,171587,False
1574,110,臺北市中山區松江路562號二樓之14,25,1,1,1,有,200052,False
1576,110,臺北市中山區林森北路479號二樓之1,18,2,1,1,有,200747,False
1606,110,臺北市中山區松江路64巷7號四樓,38,1,1,1,無,202368,False
1609,110,臺北市中山區林森北路536號十二樓之7,16,2,1,1,有,291046,False
1612,110,臺北市中山區民權東路三段39巷2號七樓,34,3,2,3,有,250751,False
1660,110,臺北市中山區南京東路二段21巷8號五樓之1,44,4,2,2,有,198854,False
1668,110,臺北市中山區錦州街30巷11號七樓之7,42,1,1,1,有,209829,False
1674,110,臺北市中山區龍江路331巷23號二樓,34,3,2,2,有,232753,False
1683,110,臺北市中山區新生北路二段60巷2號十一樓之1,40,1,1,1,有,183064,False
1740,110,臺北市中山區德惠街34號七樓之18,42,1,1,1,有,204082,False
1741,110,臺北市中山區新生北路二段60巷16號三樓之1,25,2,1,1,有,200617,False
1743,110,臺北市中山區新生北路二段74號六樓之8,49,1,1,1,有,133301,False
1794,110,臺北市中山區民生東路一段25號十二樓之20,41,0,0,0,有,159500,False
1797,110,臺北市中山區民權東路二段9號五樓之4,42,2,2,1,有,178539,False
1800,110,臺北市中山區民權東路二段9號五樓之6,42,2,2,1,有,178606,False
1836,110,臺北市中山區民生東路一段25號十一樓之17,41,1,1,1,有,146986,False
1837,110,臺北市中山區民生東路一段25號十一樓之16,41,1,1,1,有,146986,False
1893,110,臺北市中山區撫順街26號六樓之4,45,2,2,1,有,186400,False
