,交易年份,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址
1622,110,臺北市中山區林森北路259巷9號五樓之9,37,1,0,1,有,167571,False
1673,110,臺北市中山區松江路85巷7號六樓,45,4,0,4,有,308416,False
1676,110,臺北市中山區林森北路85巷85號二樓,42,2,2,2,有,156842,False
1685,110,臺北市中山區民生東路二段83號七樓之47,41,1,1,1,有,144014,False
1712,110,臺北市中山區農安街32號十樓之12、十樓之13,42,2,2,1,有,183824,False
1713,110,臺北市中山區錦州街30巷11號六樓之20,42,1,1,1,有,187701,False
1771,110,臺北市中山區南京東路二段108號六樓之3,11,1,1,1,有,286286,False
1772,110,臺北市中山區錦州街30巷11號九樓之4,42,1,0,1,有,183086,False
1774,110,臺北市中山區新生北路三段43號七樓之9,43,1,1,1,有,189445,False
1803,110,臺北市中山區林森北路286號十二樓之2,33,1,1,1,有,170275,False
1806,110,臺北市中山區五常街11巷3號十二樓之1,2,2,1,2,有,289471,False
1897,110,臺北市中山區中山北路二段115巷38號三樓,48,0,1,1,無,156268,False
1898,110,臺北市中山區建國北路三段22巷17號五樓,29,1,1,1,有,142023,False
1899,110,臺北市中山區雙城街4巷2號五樓之12,27,1,0,1,有,197917,False
1944,110,臺北市中山區長春路28號六樓之7,11,2,1,1,有,233694,False
1947,110,臺北市中山區南京東路二段108號十八樓,11,1,1,1,有,313112,False
1981,110,臺北市中山區長安東路二段67號九樓,40,0,1,1,有,221143,False
2028,110,臺北市中山區民權東路三段60巷17號七樓,41,4,2,2,有,241102,False
2053,110,臺北市中山區龍江路243巷22號,52,3,2,2,無,287055,False
2057,110,臺北市中山區五常街57號四樓,44,3,2,1,無,194560,False
2058,110,臺北市中山區長安東路二段105號八樓之7,13,1,1,1,有,259924,False
2082,110,臺北市中山區龍江路209巷3號三樓,45,3,2,1,無,189000,False
2110,110,臺北市中山區合江街36巷34之1號二樓,44,2,2,1,無,210294,False
2120,110,臺北市中山區長安東路二段105號八樓之8,13,0,1,1,有,230935,False
2189,110,臺北市中山區農安街227巷3弄7號五樓,44,3,2,2,無,193306,False
2191,110,臺北市中山區林森北路308號六樓,11,1,1,1,有,214947,False
2254,110,臺北市中山區朱崙街67號三樓,49,3,2,2,無,227085,False
2314,110,臺北市中山區民族東路108號三樓,47,4,2,1,無,145061,False
2350,110,臺北市中山區中山北路二段65巷19號三樓,54,2,1,1,無,196439,False
2351,110,臺北市中山區中山北路二段65巷19號四樓,54,2,1,1,無,178737,False
2400,110,臺北市中山區新生北路三段26號六樓之11,40,1,1,1,有,160428,False
2424,110,臺北市中山區松江路69巷8號六樓,42,4,2,3,有,225251,False
2426,110,臺北市中山區中原街34號二樓,47,4,2,2,無,191259,False
2430,110,臺北市中山區中山北路二段77巷17號三樓,12,1,1,1,有,238619,False
2434,110,臺北市中山區林森北路107巷43號三樓,29,1,1,1,有,155411,False
2466,110,臺北市中山區錦州街333號二樓之2,36,3,2,2,有,184038,False
2467,110,臺北市中山區錦州街21號七樓之2,39,1,1,1,有,152982,False
2515,110,臺北市中山區松江路132巷7號三樓,48,4,2,2,無,212628,False
2517,110,臺北市中山區大直街21巷9號五樓,37,5,3,3,無,211728,False
2552,110,臺北市中山區敬業三路162巷119號二樓,21,3,2,2,有,188255,False
2555,109,臺北市中山區中山北路二段118號八樓之1,1,2,1,1,有,278334,False
2558,110,臺北市中山區民權東路三段20號八樓之2,25,2,2,2,有,242497,False
2584,110,臺北市中山區龍江路412巷17號三樓,39,3,2,2,無,167674,False
2585,110,臺北市中山區大直街94巷1弄29號四樓,33,4,2,2,無,177845,False
2588,110,臺北市中山區民生東路一段29號九樓,38,4,1,1,有,132271,False
2592,110,臺北市中山區撫順街31號六樓之4,45,1,1,1,有,197781,False
2595,110,臺北市中山區天祥路86巷6弄4號三樓,53,3,2,2,無,159134,False
2637,110,臺北市中山區農安街45號二樓之2,45,5,3,3,有,168841,False
2638,110,臺北市中山區長安東路二段230號十樓之9,36,1,1,1,有,224565,False
2672,110,臺北市中山區北安路458巷47弄16號三樓,38,3,2,2,有,235864,False
2711,110,臺北市中山區林森北路107巷86號,49,0,0,0,有,431121,False
2715,110,臺北市中山區復興北路514巷42之1號五樓,37,2,2,2,無,157600,False
2717,110,臺北市中山區龍江路394巷61號五樓,37,5,3,3,無,139276,False
2737,110,臺北市中山區吉林路461巷8號二樓,50,3,2,2,無,131841,False
2740,110,臺北市中山區北安路621巷6弄18號三樓,45,1,2,1,無,188017,False
2784,110,臺北市中山區雙城街34號七樓之1,19,3,2,2,有,180627,False
2821,110,臺北市中山區錦州街8號七樓之2,38,0,0,0,有,156372,False
2824,110,臺北市中山區龍江路370巷18號五樓,43,3,2,2,無,145004,False
2851,110,臺北市中山區民族東路414號五樓,39,3,2,2,無,154766,False
2853,110,臺北市中山區農安街77巷9弄3號四樓,52,6,0,6,無,224022,False
2857,110,臺北市中山區明水路397巷7弄8號五樓之2,26,1,1,1,有,277488,False
2892,110,臺北市中山區北安路621巷3號二樓,40,1,1,1,有,240616,False
2893,110,臺北市中山區新生北路三段82巷15號五樓,38,4,2,2,無,147097,False
