鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),基隆市中正區觀海街８９號１０樓,23.4,住,,,1060113,土地2建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,116.35999999999999,3,2,2,有,有,3650000,31368,,0.0,0,,RPSNMLRJKHMFFBC87CA,80.69,0.0,10.63,,
中正區,車位,基隆市中正區新豐街470等共同使用,1.7,住,,,1060103,土地0建物0車位1,,,其他,,,,34.17,0,0,0,有,有,500000,,坡道平面,34.17,500000,,RPQNMLSJKHMFFBC77CA,0.0,0.0,0.0,,
仁愛區,房地(土地+建物),基隆市仁愛區愛九路１號,14.01,商,,,1060124,土地3建物1車位0,一層，騎樓，夾層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880824,172.0,0,0,0,無,有,26000000,151163,,0.0,0,含增建或未登記建物。,RPTNMLKLKHMFFBC47CA,129.74,0.0,0.0,,
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路１１２巷１１０弄１４之５號１０樓,21.6,住,,,1051221,土地4建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851126,160.67000000000002,3,2,2,有,有,5080000,31618,坡道平面,37.97,0,,RPWNMLRJKHMFFCC38CA,106.22,0.66,11.85,,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區暖暖街５３０巷２５號２樓,37.24,住,,,1060104,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050122,182.01999999999998,3,2,2,有,有,9380000,58819,坡道平面,42.95,1200000,,RPQOMLSKKHMFFCC08CA,74.1,10.96,7.55,,
安樂區,房地(土地+建物),基隆市安樂區麥金路７８９之１號６樓,13.43,住,,,1051218,土地3建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840622,103.91,3,2,1,有,有,3700000,35611,,0.0,0,,RPSNMLKKKHMFFCC57EA,69.96,1.56,9.11,,
中山區,建物,基隆市中山區新生路３０巷２號,0.0,,,,1060106,土地0建物1車位0,全,一層,透天厝,住家用,磚造,0390401,6.34,1,1,1,有,無,200000,31546,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPVOMLPKKHMFFCC28CA,6.34,0.0,0.0,,
暖暖區,房地(土地+建物),基隆市暖暖區八堵路３１巷３號２樓,33.16,住,,,1051226,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780321,102.46,3,2,2,有,有,3400000,33184,,0.0,0,,RPWOMLPKKHMFFCC38CA,83.03,0.0,11.29,,
安樂區,房地(土地+建物),基隆市安樂區武隆街１０３巷５５弄８號５樓,25.04,住,,,1051230,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830505,111.14,3,2,2,有,有,2300000,20695,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLRJKHMFFCC87CA,77.47,0.42,7.33,,
