鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),新北市板橋區金門街２４號七樓之一,13.91,住,,,1060405,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,79.13,5,2,2,有,有,7500000,94781,,0.0,0,含增建或未登記建物。,RPVNMLMJNHMFFAF18CA,52.14,0.3,5.48,,
土城區,房地(土地+建物),新北市土城區廣明街６３巷３號三樓,16.12,商,,,1060203,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680327,73.07,3,2,1,有,無,6300000,86219,,0.0,0,二親等間買賣,RPTPMLMJNHMFFAF18CA,73.07,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區重慶路３００號六樓,13.15,商,,,1060323,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890818,120.95,3,2,1,有,有,13200000,109136,,0.0,0,,RPXPMLMJNHMFFAF58CA,86.83,0.0,14.26,,
板橋區,房地(土地+建物)+車位,新北市板橋區華東街２８２號十二樓,13.75,住,,,1060419,土地2建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,160.45,3,2,2,有,無,23080000,156147,坡道平面,26.73,2200000,本案尚未成立管理委員會.,RPPQMLMJNHMFFAF87CA,79.09,6.31,8.61,,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段232號6樓,30.66,住,,,1020809,土地1建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051006,185.27,3,2,2,有,有,21320000,127288,坡道平面,29.56,1500000,,RPPOMLNJNHMFFAF77CA,92.87,5.44,8.17,,
板橋區,房地(土地+建物),新北市板橋區金華街１０巷８２之３號,31.75,住,,,1060319,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0631021,71.54,3,2,1,有,無,7500000,104836,,0.0,0,含增建或未登記建物。,RPTOMLOJNHMFFAF28CA,71.54,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區民權路２５７之４號,8.4,住,,,1060331,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670117,33.8,3,1,1,有,無,5200000,153846,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLOJNHMFFAF48CA,33.81,0.0,0.0,,
土城區,房地(土地+建物),新北市土城區裕民路266號3樓,31.93,住,,,1060326,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750913,103.74,3,2,2,有,無,8950000,86273,,0.0,0,含增建或未登記建物。,RPVQMLOJNHMFFAF68CA,95.94,0.0,7.8,,
板橋區,房地(土地+建物),新北市板橋區南雅西路一段１０巷１２弄２之１號,50.75,住,,,1060416,土地2建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.78,3,2,1,有,無,8700000,100254,,0.0,0,,RPTPMLPJNHMFFAF48CA,86.78,0.0,0.0,,
