,0,0
0,157130,157578.23
1,88042,86581.7
2,195682,192135.14
3,123742,124558.45
4,169705,169802.4
5,163201,162882.67
6,116185,119479.91
7,94632,107642.016
8,149780,153003.47
9,126983,125735.38
10,140480,143315.56
11,111512,109722.695
12,92994,93554.69
13,148848,147655.05
14,137475,132664.67
15,128272,127275.11
16,102310,105835.45
17,117729,117087.38
18,125766,123622.58
19,132789,133183.06
20,156875,157397.77
21,157143,149830.73
22,129241,128234.055
23,130344,128880.31
24,97449,94526.06
25,77528,80200.336
26,123175,121163.69
27,149207,153355.84
28,136557,142588.8
29,209648,207819.78
30,92829,93676.305
31,89820,92744.016
32,123210,123871.16
33,154269,154580.0
34,140871,137901.28
35,203139,201274.6
36,148485,148124.47
37,203423,198646.3
38,147608,148178.16
39,124357,123263.94
40,114504,113517.77
41,200176,200892.69
42,168056,169359.8
43,200596,201930.8
44,134569,132994.11
45,125403,123218.7
46,193661,194348.45
47,130286,137973.69
48,117925,118766.8
49,181249,201529.6
50,189860,188945.53
51,148669,148231.4
52,156642,156798.62
53,181659,180995.75
54,160359,158826.61
55,136399,137200.75
56,157208,156514.64
57,166303,165735.9
58,178729,178783.97
59,201923,202251.03
60,181147,181621.27
61,118316,113867.336
62,148004,146476.39
63,190568,191122.48
64,168628,169914.2
65,162025,170300.0
66,169204,169039.8
67,105814,104478.56
68,178563,180363.6
69,121448,120111.234
70,180762,182344.47
71,108342,108100.42
72,168565,170393.81
73,147911,155300.0
74,110114,97628.7
75,158816,159137.8
76,144147,147275.03
77,123284,121085.375
78,168929,172061.53
79,173342,174012.0
80,116788,117167.68
81,127160,128952.63
82,160281,160591.89
83,164725,165981.73
84,139633,141387.73
85,150466,154908.03
86,211854,214751.31
87,160145,160431.27
88,168021,164677.44
89,78882,81790.73
90,139823,138861.45
91,172983,172223.16
92,158859,160903.38
93,150029,152258.25
94,128059,126997.41
95,180976,181032.61
96,105581,104576.234
97,179956,181691.33
98,129715,122101.945
99,172501,174345.52
100,151594,153811.88
101,193237,192582.14
102,174100,174596.44
103,263186,259073.31
104,181098,182550.05
105,205531,203280.0
106,185549,186565.06
107,100315,99176.7
108,183261,183279.33
109,203542,202788.66
110,128746,129426.37
111,98980,95558.55
112,256112,257841.23
113,87320,93623.95
114,121336,122008.984
115,103604,104127.58
116,225127,220298.34
117,118145,113597.89
118,155033,154827.84
119,139766,140627.69
120,134140,139128.95
121,147123,148461.94
122,155207,155822.5
123,158681,157372.92
124,106122,107755.17
125,151595,149118.55
126,122263,121451.516
127,114074,113890.766
128,125726,124579.44
129,107715,110569.58
130,187577,184208.66
131,201214,199330.66
132,126546,130182.27
133,146384,147042.42
134,190972,192004.34
135,177995,178352.55
136,195198,195307.31
137,192859,194102.52
138,188291,189569.06
139,175431,178225.62
140,178374,171882.47
141,99064,94710.24
142,218978,224033.7
143,160374,162482.55
144,171754,171738.17
145,157337,154780.31
146,195785,195904.27
147,113069,119160.91
148,188796,188800.94
149,105793,96390.42
150,171937,172581.73
151,123669,122062.625
152,144415,140154.27
153,201931,201548.56
154,168763,170795.44
155,119539,122518.87
156,142937,147644.6
157,136305,134469.6
158,116302,118969.45
159,178558,175489.55
160,177778,174114.69
161,186542,187895.67
162,200862,200479.9
163,191184,191216.67
164,161819,161194.81
165,210542,209273.55
166,191678,191997.78
167,171031,174749.95
168,197390,196948.22
169,106117,104487.17
170,168858,171983.73
171,155594,148391.1
172,156411,160462.66
173,116847,121406.67
174,189394,188504.78
175,129738,119802.08
176,91140,91095.5
177,128085,131839.94
178,135538,137267.5
179,179429,177196.3
180,200323,199414.94
181,146670,138791.72
182,138642,139297.66
183,163973,159634.69
184,124172,121432.6
185,78475,82418.3
186,213780,215284.11
187,163688,164009.31
188,114538,116334.04
189,350376,340844.66
190,173639,179080.88
191,121581,120192.805
192,115826,113074.48
193,217840,216835.53
194,117905,118485.05
195,148752,148285.6
196,190265,184669.78
197,221321,224034.02
198,170863,168989.19
199,92907,97095.64
200,137331,140930.14
201,133185,137418.8
202,158807,159333.3
203,168616,168496.89
204,96444,95870.266
205,89411,100261.26
206,143902,143223.72
207,159242,161039.44
208,131022,132277.66
209,154615,161161.06
210,170308,170253.28
211,185282,185025.67
212,187255,181066.44
213,121374,117034.89
214,123109,123477.98
215,87558,86688.93
216,165837,165296.88
217,209377,211443.95
218,182152,181091.97
219,183215,184652.28
220,193734,192731.48
221,182931,179063.89
222,138203,137840.48
223,115556,116234.125
224,153934,153889.86
225,190455,190691.5
226,113569,113546.53
227,179673,179461.36
228,140287,139222.95
229,162146,161842.95
230,205358,204650.66
231,115989,111901.19
232,143149,143503.56
233,87547,89368.02
234,169748,170196.77
235,106163,107972.45
236,143839,149473.8
237,169109,172873.25
238,154388,154916.45
239,143968,148962.88
240,176091,178296.33
241,163177,160005.02
242,210776,210850.17
243,203580,195044.1
244,130042,128833.95
245,160220,160636.83
246,90216,86861.445
247,215945,214827.53
248,157248,155518.9
249,132535,133166.16
250,160893,161485.31
251,135475,132820.06
252,102718,103702.06
253,164130,164466.86
254,155454,152062.19
255,78313,78384.68
256,137865,136199.83
257,178314,176853.73
258,189267,188987.84
259,95507,95623.13
260,102730,103765.445
261,239944,240654.47
262,127613,126425.88
263,186916,184423.28
264,174216,173381.95
265,119421,118355.484
266,168067,170232.58
267,87036,86015.45
268,115817,115737.445
269,147842,146515.12
270,169219,165520.7
271,128709,129163.01
272,110044,111715.91
273,103972,106108.72
274,139452,137991.05
275,143710,142076.38
