,0
交易年份,1.0724032939472212
屋齡,16.01373366384254
交易標的,0.44905726534305235
建物現況格局-房,1.3602488316337815
建物現況格局-廳,0.718242617483459
建物現況格局-衛,0.9592887215131162
電梯,0.5000181009620249
floor,3.4872156015840226
車位類別-坡道平面,0.39615784864087966
車位類別-坡道機械,0.1490156987139848
車位類別-升降平面,0.15204606650419353
車位類別-升降機械,0.1628586385045684
車位類別-一樓平面,0.055674397479352
車位類別-塔式車位,0.07396500316580538
車位類別-其他,0.05349664574599861
建物型態-公寓,0.49529390807951723
建物型態-華廈,0.44787763316641177
建物型態-住宅大樓,0.4118417894903551
建物型態-套房,0.16560969421303598
建物型態-透天,0.1991631477697318
NEAR_HOSTIPAL_250,0.11082675048879251
NEAR_HOSTIPAL_500,0.3924271665390202
NEAR_HOSTIPAL_750,0.48698648221463625
CLINIC_COUNT_250,4.054576161142177
CLINIC_COUNT_500,15.642775288425641
CLINIC_COUNT_750,22.171461534238034
DENTIST_COUNT_250,3.3901656845941104
DENTIST_COUNT_500,13.101877014823245
DENTIST_COUNT_750,17.432058117320672
PHARMACY_COUNT_250,1.845653831408707
PHARMACY_COUNT_500,6.059856362063671
PHARMACY_COUNT_750,8.408497811469871
CSTORE_COUNT_250,2.190680632278788
CSTORE_COUNT_500,8.865099932309079
CSTORE_COUNT_750,13.14951163156648
FASTFOOD_COUNT_250,0.4576145797126342
FASTFOOD_COUNT_500,1.2917303187174494
FASTFOOD_COUNT_750,1.9108556395880902
LIBRARY_COUNT_250,0.4576145797126342
LIBRARY_COUNT_500,1.2917303187174494
LIBRARY_COUNT_750,1.9108556395880902
NEAR_SCHOOL_250,0.48118939413576
NEAR_SCHOOL_500,0.1579150773459771
NEAR_SCHOOL_750,0.02186608543799001
NEAR_UNIVERSITY_250,0.2658575669298635
NEAR_UNIVERSITY_500,0.4959355111121111
NEAR_UNIVERSITY_750,0.4851377436360618
NEAR_FIRESTATION_250,0.27222689175893866
NEAR_FIRESTATION_500,0.48901726164274384
NEAR_FIRESTATION_750,0.48917003696002387
NEAR_FUEL_250,0.28847085101304304
NEAR_FUEL_500,0.4997380202890879
NEAR_FUEL_750,0.48036859023451933
NEAR_MARKET_250,0.3612145944968126
NEAR_MARKET_500,0.49558844468577634
NEAR_MARKET_750,0.4293432010626977
NEAR_POLICE_250,0.33722034840055093
NEAR_POLICE_500,0.4529506036308029
NEAR_POLICE_750,0.24106099126580727
TEMPLE_COUNT_250,1.084056003338939
TEMPLE_COUNT_500,5.556505896450757
TEMPLE_COUNT_750,8.12059266708475
CEMETERY_AREA_250,1926.550467036234
CEMETERY_AREA_500,7338.997182094984
CEMETERY_AREA_750,14488.98763345181
PARK_AREA_250,16343.590430852872
PARK_AREA_500,86565.98229257386
PARK_AREA_750,140124.5037193584
WATER_AREA_250,8246.651352174753
WATER_AREA_500,158196.28724234074
WATER_AREA_750,297311.50358105847
PARKING_AREA_250,4026.771543055275
PARKING_AREA_500,19787.013637709828
PARKING_AREA_750,29247.538065191973
STOP_COUNT_250,2.6706692344364895
STOP_COUNT_500,10.659511210850175
STOP_COUNT_750,16.473929368850794
NEAR_LRT_250,0.0
NEAR_LRT_500,0.0
NEAR_LRT_750,0.0
NEAR_MRT_250,0.2733292066294052
NEAR_MRT_500,0.4753634797471784
NEAR_MRT_750,0.49830541559448227
NEAR_TRA_250,0.0
NEAR_TRA_500,0.0
NEAR_TRA_750,0.0
y,89721.40579008954
