,0,0
0,103111,104040.234
1,264205,278036.72
2,138861,142457.88
3,202847,207089.06
4,174440,176878.19
5,227066,226752.48
6,81316,82715.46
7,116232,117930.6
8,163734,169525.48
9,249898,248073.22
10,253227,260461.19
11,147059,147534.14
12,186800,187448.9
13,117715,120583.984
14,131499,129167.86
15,100404,103911.77
16,141283,145869.77
17,213057,210838.81
18,162056,164692.52
19,148729,151802.11
20,262753,262570.28
21,277286,279073.6
22,172805,174183.19
23,168722,170493.89
24,137480,134847.28
25,178399,176289.77
26,277724,277465.28
27,246085,235374.69
28,226143,228279.19
29,125146,129412.125
30,187281,187097.62
31,205778,202260.8
32,216819,219729.4
33,151229,151680.83
34,390221,391115.22
35,164754,164310.53
36,184372,179676.73
37,169472,176150.38
38,141919,145105.12
39,154445,143933.42
40,249160,230414.34
41,157668,162483.47
42,155652,158289.52
43,121382,127370.13
44,236902,230035.95
45,214763,215156.38
46,235405,230767.1
47,169549,170546.73
48,202478,210050.97
49,236712,233945.4
50,230029,241673.34
51,252276,242064.88
52,166348,176351.06
53,199988,204436.72
54,164953,162140.38
55,190900,195066.39
56,142167,142429.44
57,125977,127528.94
58,275922,274502.1
59,251613,255820.78
60,236917,229237.0
61,172572,169919.92
62,110161,106159.37
63,125412,124432.61
64,161514,166048.73
65,137493,135801.94
66,162242,178993.92
67,218101,218986.2
68,467772,514152.8
69,158055,147671.52
70,172734,169263.66
71,197561,190058.55
72,111250,122612.13
73,1028263,968061.25
74,238405,238499.95
75,176102,190810.5
76,171494,167989.58
77,140154,151752.1
78,134897,137900.94
79,251999,254223.39
80,161109,161028.39
81,190508,188278.66
82,186883,181244.25
83,166315,170925.86
84,153988,147645.9
85,167518,162231.73
86,158213,154951.4
87,153633,150612.31
88,216017,215557.02
89,174575,185939.53
90,182758,182732.55
91,116460,122700.73
92,192520,183371.02
93,103815,99251.32
94,105348,101063.445
95,125384,123612.33
96,211413,219794.38
97,124407,124816.664
98,114605,118150.05
99,87969,88279.64
100,212802,222153.88
101,139688,142057.3
102,182153,162067.06
103,95139,95904.32
104,303353,317813.53
105,386779,397048.66
106,169719,164344.12
107,191494,187556.22
108,185938,198627.05
109,247355,248300.25
110,138050,135689.39
111,143340,139471.67
112,192382,190238.19
113,133463,130365.84
114,96545,94124.28
115,363006,366280.25
116,148295,156361.38
117,97874,98030.586
118,290166,298728.2
119,100323,98615.234
120,155875,148091.9
121,236695,245385.86
122,169217,167235.6
123,161592,165167.98
124,157393,156330.72
125,247068,263025.56
126,143274,147511.28
127,136021,135879.05
128,178013,170567.45
129,187530,186700.12
130,139975,137605.4
131,182033,165144.81
132,80717,92000.7
133,200594,193248.44
134,259271,246133.94
135,110963,107498.57
136,189371,191889.86
137,208189,204606.55
138,175193,180881.98
139,174774,174536.12
140,184162,184534.66
141,112513,109481.09
142,156165,157939.67
143,167421,154928.9
144,130268,129241.46
145,225112,226691.89
146,104275,106504.516
147,226351,231064.97
148,161450,161547.17
149,313561,325026.66
150,151871,151183.38
151,193993,194490.98
152,174425,188432.0
153,189726,185951.94
154,121815,123119.8
155,167414,188345.31
156,152406,152814.19
157,160594,150305.66
158,111955,120707.23
159,212187,214316.23
160,189371,196003.62
161,508224,501140.3
162,166711,171196.3
163,196850,188394.16
164,214723,209284.25
165,136377,140775.81
166,152336,154685.84
167,141273,162742.0
168,204840,200273.12
169,122504,136344.84
170,141031,134407.98
171,126476,120602.45
172,94127,89492.24
173,114514,115265.79
174,138122,134653.06
175,120292,113408.32
176,165732,179031.84
177,238621,246969.86
178,129721,128962.67
179,258091,264584.66
180,144476,127046.89
181,130293,133691.22
182,178678,176393.77
183,233090,222801.12
184,215107,208369.36
185,242369,240319.7
186,509663,510472.62
187,171497,173225.92
188,170278,173366.95
189,289164,305071.12
190,58907,60412.79
