,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_250,NEAR_TRA_500,NEAR_TRA_750,y,0
79,111,45.0,0,3,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6.0,11.0,13.0,3.0,6.0,7.0,2.0,3.0,4.0,6.0,9.0,19.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,2.0,5.0,9.0,0.0,6388.596403245934,31883.30389933966,9550.558784284016,32001.06142995697,90283.65035423484,0.0,0.0,0.0,205.8304449431505,3708.238372438324,15565.285116833007,4.0,27.0,38.0,1,1,1,0,0,0,211352,158697.97
80,111,28.0,1,6,2,3,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4.0,6.0,9.0,1.0,1.0,4.0,2.0,3.0,6.0,4.0,9.0,16.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0,1,1,1.0,4.0,7.0,0.0,0.0,24148.107962665392,28559.782020537685,67058.66047442143,95102.47466022996,0.0,0.0,0.0,5881.665490062288,12548.87851295478,16478.27631255505,6.0,20.0,29.0,0,0,0,0,0,0,135006,124562.87
81,111,27.0,0,1,1,1,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3.0,8.0,29.0,2.0,9.0,19.0,2.0,8.0,15.0,4.0,17.0,29.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,2.0,9.0,15.0,0.0,0.0,0.0,13867.11426396857,88113.66558933648,218526.31833009608,11596.968024286163,72342.3057258264,116786.3760204246,6649.054981962161,11180.89810775565,21600.681710488847,7.0,22.0,51.0,1,1,1,0,1,1,187266,186258.25
82,111,41.0,0,3,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,3.0,4547.168956445406,114315.45815672574,180804.94478715284,3792.025254696957,10155.466859838958,43927.665673560274,0.0,0.0,0.0,0.0,2982.200880498016,5026.858880683027,4.0,14.0,17.0,0,0,0,0,0,0,147330,86858.11
83,111,10.0,1,3,2,2,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,2.0,6.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,12.0,14.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,6117.467618154543,140250.0675555236,334788.5401113283,2520.871301447848,65865.82666661049,140432.03828028418,5464.017311870788,14947.69174327133,23789.785224016763,9.0,17.0,31.0,0,1,1,0,0,0,215537,218423.77
84,111,8.0,1,2,1,1,1,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,10.0,0.0,1.0,7.0,0.0,1.0,3.0,4.0,12.0,19.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,1.0,1.0,5.0,0.0,0.0,0.0,12503.777382261906,166626.91837521008,272343.5246319195,0.0,110277.03831073,153706.30526673584,3658.356142198893,11620.080243378969,23660.851376107465,3.0,11.0,32.0,1,1,1,0,0,0,308263,244145.56
85,111,8.0,1,4,2,2,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,10.0,0.0,1.0,7.0,0.0,1.0,2.0,3.0,12.0,20.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,1.0,1.0,5.0,0.0,0.0,0.0,13346.518373110031,168261.54341485735,273341.5941102914,365.9203015539871,110090.67503730266,153001.33635387354,3519.7969260917557,11620.080243378969,24034.02737235583,2.0,11.0,30.0,1,1,1,0,0,0,261660,225276.53
86,111,36.0,0,4,1,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,7.0,14.0,1.0,1.0,3.0,0.0,3.0,5.0,2.0,4.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0.0,5.0,9.0,0.0,29751.93158725216,31883.30389933966,34339.17005753809,72151.63785964134,87905.98751145416,0.0,0.0,0.0,1823.375321559359,8618.815569766666,18634.64777863831,2.0,12.0,26.0,0,0,1,0,0,0,164827,144241.81
87,111,19.0,0,3,2,2,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,3.0,0.0,21546.43568012258,122609.34758819752,8095.5187172673295,36657.114881399415,50671.43419848452,0.0,0.0,0.0,0.0,0.0,17968.341775566772,8.0,12.0,27.0,0,0,0,0,0,0,128277,112980.13
88,111,11.0,1,3,2,2,1,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,6.0,13.0,1.0,4.0,5.0,1.0,2.0,2.0,8.0,14.0,16.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,2.0,5.0,0.0,0.0,0.0,7177.533278391811,96891.03509764356,306248.8307922375,0.0,33803.05953638585,135054.90756028416,4604.782565136648,14222.25522403006,25467.85407925588,8.0,19.0,34.0,0,1,1,0,0,0,313047,254490.66
