,交易年份,屋齡,交易標的,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,floor,車位類別-坡道平面,車位類別-坡道機械,車位類別-升降平面,車位類別-升降機械,車位類別-一樓平面,車位類別-塔式車位,車位類別-其他,建物型態-公寓,建物型態-華廈,建物型態-住宅大樓,建物型態-套房,建物型態-透天,NEAR_HOSTIPAL_250,NEAR_HOSTIPAL_500,NEAR_HOSTIPAL_750,CLINIC_COUNT_250,CLINIC_COUNT_500,CLINIC_COUNT_750,DENTIST_COUNT_250,DENTIST_COUNT_500,DENTIST_COUNT_750,PHARMACY_COUNT_250,PHARMACY_COUNT_500,PHARMACY_COUNT_750,CSTORE_COUNT_250,CSTORE_COUNT_500,CSTORE_COUNT_750,FASTFOOD_COUNT_250,FASTFOOD_COUNT_500,FASTFOOD_COUNT_750,LIBRARY_COUNT_250,LIBRARY_COUNT_500,LIBRARY_COUNT_750,NEAR_SCHOOL_250,NEAR_SCHOOL_500,NEAR_SCHOOL_750,NEAR_UNIVERSITY_250,NEAR_UNIVERSITY_500,NEAR_UNIVERSITY_750,NEAR_FIRESTATION_250,NEAR_FIRESTATION_500,NEAR_FIRESTATION_750,NEAR_FUEL_250,NEAR_FUEL_500,NEAR_FUEL_750,NEAR_MARKET_250,NEAR_MARKET_500,NEAR_MARKET_750,NEAR_POLICE_250,NEAR_POLICE_500,NEAR_POLICE_750,TEMPLE_COUNT_250,TEMPLE_COUNT_500,TEMPLE_COUNT_750,CEMETERY_AREA_250,CEMETERY_AREA_500,CEMETERY_AREA_750,PARK_AREA_250,PARK_AREA_500,PARK_AREA_750,WATER_AREA_250,WATER_AREA_500,WATER_AREA_750,PARKING_AREA_250,PARKING_AREA_500,PARKING_AREA_750,STOP_COUNT_250,STOP_COUNT_500,STOP_COUNT_750,NEAR_MRT_250,NEAR_MRT_500,NEAR_MRT_750,NEAR_TRA_750,y,0
246,111,40.0,0,3,2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,19.0,62.0,114.0,11.0,32.0,73.0,4.0,8.0,23.0,5.0,14.0,41.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1,1,1,1.0,3.0,3.0,0.0,0.0,0.0,2815.977680922216,20010.75560688704,74229.58304193232,0.0,0.0,0.0,3087.4716187785134,16620.70245632118,53091.05204486912,5.0,13.0,43.0,1,1,1,0,245813,281592.25
247,111,44.0,0,2,2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,7.0,135.0,250.0,7.0,58.0,115.0,4.0,16.0,31.0,8.0,31.0,68.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0.0,1.0,9.0,0.0,0.0,0.0,0.0,6441.266949793271,77648.81401754192,0.0,0.0,6020.544638011215,839.3177161936796,4181.824278514281,26638.018939711983,6.0,21.0,52.0,0,1,1,0,334048,332620.06
248,111,40.0,1,5,2,2,1,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,6.0,44.0,135.0,3.0,31.0,82.0,1.0,13.0,33.0,4.0,23.0,53.0,0.0,2.0,7.0,0.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,0.0,2.0,10.0,0.0,0.0,0.0,14536.155886481556,22945.74857450075,44193.45280158926,0.0,0.0,0.0,5164.107064949552,16371.329369149662,29599.373550615725,4.0,20.0,49.0,0,1,1,0,374845,306724.78
249,111,5.0,1,3,2,3,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,3.0,28.0,64.0,4.0,21.0,47.0,2.0,6.0,12.0,5.0,15.0,33.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0.0,2.0,4.0,0.0,0.0,0.0,21488.515894166223,156070.50996869174,273233.3455433868,0.0,0.0,0.0,11558.710353161943,27164.8847132431,61357.92269950897,4.0,20.0,41.0,0,1,1,0,397521,371270.16
250,111,35.0,0,2,2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,11.0,29.0,98.0,5.0,18.0,59.0,3.0,7.0,16.0,5.0,13.0,33.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,1.0,4.0,7.0,0.0,0.0,0.0,0.0,22643.18025377248,40492.99878390288,0.0,0.0,0.0,4661.034996359328,11454.856794447483,36217.88885485292,5.0,19.0,56.0,0,1,1,0,284175,255907.2
251,111,14.0,1,2,2,1,1,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,11.0,19.0,35.0,3.0,13.0,33.0,1.0,3.0,9.0,3.0,9.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0.0,1.0,6.0,0.0,0.0,0.0,22124.193483093768,94506.11015917968,196207.68941322507,0.0,0.0,0.0,5299.433282316039,23635.57389894321,49756.61567842706,7.0,17.0,34.0,0,0,0,0,270930,352869.03
252,111,38.0,0,3,2,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,5.0,50.0,109.0,4.0,28.0,69.0,7.0,15.0,29.0,9.0,27.0,53.0,1.0,3.0,7.0,1.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1.0,8.0,13.0,0.0,0.0,0.0,3045.601863178057,21888.40122332499,35968.38811531012,0.0,0.0,0.0,7850.6096974982065,14722.99389278794,30222.17801264789,4.0,22.0,46.0,0,1,1,0,295879,294993.03
253,111,51.0,0,2,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,12.0,40.0,95.0,9.0,31.0,71.0,3.0,12.0,22.0,4.0,21.0,45.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0,1,1,2.0,2.0,4.0,0.0,0.0,0.0,6578.257965457015,23443.46767149999,52607.06978945174,0.0,0.0,0.0,2515.5040358157485,10801.205719454483,61044.28319189166,3.0,16.0,47.0,0,1,1,0,275304,255657.98
254,111,44.0,0,3,2,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,10.0,137.0,253.0,7.0,59.0,117.0,4.0,16.0,31.0,7.0,31.0,69.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0.0,1.0,10.0,0.0,0.0,0.0,0.0,6441.266949793271,75171.71449864136,0.0,0.0,5868.049124027914,1036.4677277664605,4329.776210845335,26479.48733626933,6.0,22.0,51.0,0,1,1,0,314634,320908.03
255,111,14.0,0,1,1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,9.0,39.0,74.0,1.0,21.0,55.0,0.0,12.0,34.0,9.0,30.0,55.0,1.0,4.0,7.0,1.0,4.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,8.0,14.0,18.0,0.0,0.0,0.0,681.4024799821066,27788.47497847448,66388.93684536076,0.0,0.0,0.0,6967.655705947735,16113.373516098796,80183.19012507937,6.0,19.0,44.0,0,1,1,0,332703,350842.28
