,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat
66,全聯實業股份有限公司,嘉義梅山分公司,嘉義縣梅山鄉梅北村中山路332-5號,1,False,120.55392789999999,23.585627900000002
67,全聯實業股份有限公司,茄萣仁愛分公司,高雄市茄萣區仁愛路2段167號,1,False,120.18481829999999,22.8973448
68,全聯實業股份有限公司,中壢後興分公司,桃園市中壢區後興路1段168號,1,False,121.24585479999999,24.9416469
69,全聯實業股份有限公司,台中河南分公司,臺中市西屯區河南路4段26號,1,False,120.6360069,24.15966849999999
70,全聯實業股份有限公司,台南關廟分公司,臺南市關廟區南雄路1段1001號,1,False,120.3286144,22.956104999999997
71,全聯實業股份有限公司,三峽北大分公司,新北市樹林區學勤路209、211號,1,False,121.3778181,24.9477031
72,全聯實業股份有限公司,內湖德安分公司,臺北市內湖區成功路4段30巷40號地下,1,False,121.59235910000001,25.082972599999998
73,全聯實業股份有限公司,台中龍門分公司,臺中市西屯區潮洋里黎明路2段866號,1,False,120.63398009999999,24.1624801
75,全聯實業股份有限公司,台中青海分公司,臺中市西屯區河南路2段466號,1,False,120.6435559,24.170909699999996
76,全聯實業股份有限公司,台中國安分公司,臺中市西屯區國安一路128號,1,False,120.61299400000001,24.191554699999994
77,全聯實業股份有限公司,平鎮環南分公司,桃園市平鎮區環南路3段67、69、71、73號,1,False,null,null
78,全聯實業股份有限公司,新竹關東分公司,新竹市東區光復路1段250號,1,False,121.02085600000001,24.782345
79,全聯實業股份有限公司,蘆竹南昌分公司,桃園市蘆竹區福昌里3鄰南福街102號,1,False,121.29236130000001,25.0398563
80,全聯實業股份有限公司,台中東光分公司,臺中市北區東光路346、348號,1,False,120.69904539999997,24.1544368
81,全聯實業股份有限公司,嘉義博愛分公司,嘉義市西區博愛路1段261號,1,False,120.44249500000001,23.4849016
82,全聯實業股份有限公司,板橋板新分公司,新北市板橋區中山路1段252號、254號、256號、258號、260號,1,False,121.4321567,24.9698996
