,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
223,108,基隆市七堵區光明路118號4樓,七堵區,20.0,房地(土地+建物),1081020,0881122,華廈(10層含以下有電梯),4,2,2,,有,67581,False,4,121.71358149999999,25.095408600000003
224,108,基隆市中正區觀海街170號4樓,中正區,20.0,房地(土地+建物),1081107,0880114,住宅大樓(11層含以上有電梯),3,2,2,,有,30488,False,4,121.7957503,25.1366988
225,108,基隆市信義區深澳坑路172巷87之5號2樓,信義區,21.0,房地(土地+建物),1081124,0870610,公寓(5樓含以下無電梯),3,2,2,,無,31792,False,2,121.78611169999998,25.124759999999995
226,108,基隆市中正區新豐街452之2號十二樓,中正區,22.0,房地(土地+建物),1081125,0861121,住宅大樓(11層含以上有電梯),3,2,2,,有,47425,False,12,121.7855123,25.135590900000004
227,108,基隆市中正區新豐街488之3號十樓,中正區,22.0,房地(土地+建物)+車位,1081115,0861121,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,40895,False,10,121.7851828,25.1355185
228,108,基隆市安樂區基金一路214之7號6樓,安樂區,25.0,房地(土地+建物),1081105,0830310,住宅大樓(11層含以上有電梯),2,1,1,,有,38691,False,6,121.7090207,25.1422863
229,108,基隆市安樂區新西街207巷44之2號,安樂區,41.0,房地(土地+建物),1081015,0670906,公寓(5樓含以下無電梯),4,1,1,,無,24882,False,1,121.72430270000001,25.141809399999996
230,108,基隆市暖暖區源遠路188巷14號4樓,暖暖區,24.0,房地(土地+建物),1081118,0840118,公寓(5樓含以下無電梯),3,2,2,,無,35096,False,4,121.750094,25.097706400000003
231,108,基隆市七堵區泰安路2巷1號,七堵區,25.0,房地(土地+建物),1081123,0831115,公寓(5樓含以下無電梯),3,2,2,,無,39354,False,1,121.7078786,25.090079199999998
232,108,基隆市安樂區基金一路135巷5弄6號7樓,安樂區,24.0,房地(土地+建物),1081117,0840304,華廈(10層含以下有電梯),3,2,2,,有,44366,False,7,121.7096883,25.141175799999996
233,108,基隆市七堵區福五街8巷2之3號,七堵區,39.0,房地(土地+建物),1081109,0690115,公寓(5樓含以下無電梯),2,2,1,,無,39520,False,1,121.6993552,25.0826461
234,108,基隆市中山區文化路201號四樓,中山區,29.0,房地(土地+建物),1081030,0790416,公寓(5樓含以下無電梯),3,2,2,,無,31001,False,4,121.73127400000001,25.1535759
235,108,基隆市安樂區安一路221之4號,安樂區,37.0,房地(土地+建物),1081029,0710721,公寓(5樓含以下無電梯),4,2,1,,無,29261,False,1,121.73143849999998,25.1325713
236,108,基隆市安樂區樂利三街301號,安樂區,28.0,房地(土地+建物)+車位,1081113,0800920,華廈(10層含以下有電梯),4,2,2,坡道平面,有,52531,False,1,121.71748269999999,25.1266919
237,108,基隆市安樂區基金一路112巷110弄14之6號3樓,安樂區,23.0,房地(土地+建物),1081117,0851126,住宅大樓(11層含以上有電梯),2,2,1,,有,32823,False,3,121.71521,25.140289999999997
238,108,基隆市暖暖區東勢街26巷125之1號7樓,暖暖區,24.0,房地(土地+建物),1081117,0840505,華廈(10層含以下有電梯),2,1,1,,有,44694,False,7,121.7381356,25.096543799999996
239,108,基隆市安樂區安一路100巷90之3號,安樂區,46.0,房地(土地+建物),1081115,0621109,公寓(5樓含以下無電梯),3,1,1,,無,36559,False,1,121.73460639999999,25.1326635
240,108,基隆市七堵區崇信街41巷1之2號,七堵區,37.0,房地(土地+建物),1081121,0710311,公寓(5樓含以下無電梯),3,2,1,,無,36692,False,1,121.71226229999999,25.0996171
241,108,基隆市安樂區樂利二街62巷109號6樓,安樂區,24.0,房地(土地+建物),1081011,0841002,華廈(10層含以下有電梯),3,2,2,,有,44800,False,6,121.71654760000001,25.121039
242,108,基隆市七堵區崇禮街129巷26號,七堵區,50.0,房地(土地+建物),1081103,0581121,透天厝,2,1,1,,無,78741,False,1,121.71385160000001,25.099772599999998
243,108,基隆市暖暖區碇內街346號5樓,暖暖區,24.0,房地(土地+建物),1081116,0840808,華廈(10層含以下有電梯),2,2,1,,有,22035,False,5,121.752776,25.089474000000003
244,108,基隆市中正區新豐街161巷75號,中正區,34.0,房地(土地+建物),1081019,0740718,公寓(5樓含以下無電梯),3,2,1,,無,39390,False,1,121.789928,25.139548500000004
245,108,基隆市仁愛區龍安街198巷27號2樓,仁愛區,30.0,房地(土地+建物),1081119,0780203,公寓(5樓含以下無電梯),3,2,2,,無,56000,False,2,121.74103679999999,25.1227946
246,108,基隆市中正區新豐街303巷19弄17號4樓,中正區,23.0,房地(土地+建物),1081013,0851119,公寓(5樓含以下無電梯),3,2,1,,無,33431,False,4,121.7892106,25.133333
247,108,基隆市信義區深澳坑路2之5號3樓之5,信義區,23.0,房地(土地+建物),1081114,0850426,套房(1房1廳1衛),1,1,1,,無,38999,False,3,121.77335749999999,25.1365647
248,108,基隆市中正區調和街290巷242號,中正區,29.0,房地(土地+建物),1081031,0790223,透天厝,3,2,2,,無,27778,False,1,121.7963866,25.127233
249,108,基隆市中正區祥豐街95號2樓之9,中正區,20.0,房地(土地+建物),1081126,0880510,華廈(10層含以下有電梯),1,0,1,,有,38299,False,2,121.7639129,25.142200400000004
250,108,基隆市中正區中船路5巷13號7樓,中正區,34.0,房地(土地+建物),1081115,0741219,套房(1房1廳1衛),1,1,1,,無,33776,False,7,121.75002309999999,25.137693799999997
251,108,基隆市中正區正榮街53號,中正區,45.0,房地(土地+建物),1081028,0631203,公寓(5樓含以下無電梯),2,2,2,,無,33648,False,1,121.7625068,25.146354400000003
252,108,基隆市仁愛區南新街31巷36之4號,仁愛區,38.0,房地(土地+建物),1081104,0701120,公寓(5樓含以下無電梯),3,2,2,,無,30654,False,1,121.7452826,25.125115100000002
253,108,基隆市七堵區東新街89巷35之3號,七堵區,32.0,房地(土地+建物),1081025,0761231,公寓(5樓含以下無電梯),3,2,2,,無,30531,False,1,121.72242630000001,25.094029999999997
254,108,基隆市安樂區武聖街138號4號,安樂區,29.0,房地(土地+建物),1081109,0790421,公寓(5樓含以下無電梯),3,2,1,,無,23895,False,1,121.6974386,25.159391
255,108,基隆市安樂區麥金路80號15樓之4,安樂區,25.0,房地(土地+建物),1081124,0831017,住宅大樓(11層含以上有電梯),2,1,1,,有,46031,False,15,121.72619829999998,25.117051000000004
256,108,基隆市暖暖區碇內街268號9樓,暖暖區,23.0,房地(土地+建物),1081106,0850217,華廈(10層含以下有電梯),3,1,2,,有,26679,False,9,121.7527425,25.0898091
257,108,基隆市安樂區樂利三街132巷1弄9號底一層,安樂區,36.0,房地(土地+建物),1081027,0720210,公寓(5樓含以下無電梯),2,2,1,,無,33947,False,1,121.71640599999999,25.126346599999998
258,108,基隆市中山區西定路423巷10之3號,中山區,38.0,房地(土地+建物),1081128,0700416,公寓(5樓含以下無電梯),4,2,2,,無,29744,False,1,121.728394,25.139865999999994
259,108,基隆市暖暖區暖暖街570巷87號6樓,暖暖區,23.0,房地(土地+建物),1081114,0851209,華廈(10層含以下有電梯),2,2,2,,有,54201,False,6,121.7380032,25.0913298
260,108,基隆市中山區華興街53巷9號5樓之8,中山區,11.0,房地(土地+建物)+車位,1080921,0970821,華廈(10層含以下有電梯),3,1,2,坡道平面,有,51067,False,5,121.7386167,25.137318699999998
261,108,基隆市安樂區麥金路421巷93之1號,安樂區,41.0,房地(土地+建物),1081116,0670809,公寓(5樓含以下無電梯),3,1,1,,無,45017,False,1,121.71835049999999,25.125267699999995
262,108,基隆市暖暖區東勢街26巷101號8樓,暖暖區,27.0,房地(土地+建物),1081126,0811103,住宅大樓(11層含以上有電梯),2,2,2,,有,41183,False,8,121.73797289999999,25.0959041
263,108,基隆市信義區東光路205巷57號4樓,信義區,24.0,房地(土地+建物)+車位,1081109,0841116,公寓(5樓含以下無電梯),3,1,1,坡道平面,無,31504,False,4,121.7679783,25.13121845
264,108,基隆市安樂區安一路100巷73號,安樂區,36.0,房地(土地+建物),1081207,0720531,公寓(5樓含以下無電梯),3,1,1,,無,66421,False,1,121.7341245,25.132326799999998
265,108,基隆市暖暖區八堵路20巷7號4樓,暖暖區,18.0,房地(土地+建物)+車位,1081101,0901004,公寓(5樓含以下無電梯),2,2,2,坡道平面,無,34442,False,4,121.7357488,25.1109233
266,108,基隆市安樂區新西街89巷50號,安樂區,41.0,房地(土地+建物),1081112,0670707,公寓(5樓含以下無電梯),2,2,1,,無,24749,False,1,121.72659699999998,25.1398449
267,108,基隆市七堵區綠葉街52號2樓,七堵區,11.0,房地(土地+建物)+車位,1081029,0970908,華廈(10層含以下有電梯),4,2,2,坡道平面,有,36073,False,2,121.66467700000001,25.0913079
268,108,基隆市仁愛區南榮路319巷7之3號,仁愛區,43.0,房地(土地+建物),1081116,0650330,公寓(5樓含以下無電梯),3,2,1,,無,33043,False,1,121.74506299999997,25.119806000000004
269,108,基隆市中正區新豐街333巷3號6樓,中正區,24.0,房地(土地+建物)+車位,1081107,0840821,華廈(10層含以下有電梯),3,2,2,坡道平面,有,39970,False,6,121.78481479999999,25.1351221
270,108,基隆市中正區觀海街21號7樓,中正區,20.0,房地(土地+建物)+車位,1081101,0880114,住宅大樓(11層含以上有電梯),2,2,2,坡道平面,有,26195,False,7,121.7946144,25.138740799999997
