,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
95,107,新北市蘆洲區中華街85號四樓,蘆洲區,26.0,房地(土地+建物)+車位,1071011,0810428,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,84687,False,4,121.46171499999998,25.0800253
96,107,新北市蘆洲區民族路298巷6號5樓,蘆洲區,30.0,房地(土地+建物),1071010,0771005,公寓(5樓含以下無電梯),3,2,2,,無,79728,False,5,121.47811949999998,25.090025100000002
97,107,新北市蘆洲區永平街32巷12弄12號2樓,蘆洲區,28.0,房地(土地+建物),1071002,0790222,公寓(5樓含以下無電梯),4,2,2,,無,83104,False,2,121.459529,25.091255900000004
98,107,新北市中和區興南路二段34巷20之3號10樓,中和區,22.0,房地(土地+建物),1070917,0851009,住宅大樓(11層含以上有電梯),5,2,2,,有,123147,False,10,121.50612,24.9865811
99,107,新北市永和區永和路一段9號9樓之5,永和區,18.0,房地(土地+建物),1071026,0890726,住宅大樓(11層含以上有電梯),1,1,1,,有,162508,False,9,121.5128792,25.005476199999997
100,107,新北市中和區興南路二段114巷10弄15號5樓,中和區,29.0,房地(土地+建物),1071008,0781021,公寓(5樓含以下無電梯),5,2,3,,無,70966,False,5,121.5041988,24.9853567
101,107,新北市永和區環河西路二段209巷7號19樓之1,永和區,20.0,房地(土地+建物),1070930,0870122,住宅大樓(11層含以上有電梯),2,2,1,,有,127967,False,19,121.50217899999998,25.010121899999998
102,107,新北市鶯歌區永明街99號八樓,鶯歌區,21.0,房地(土地+建物),1071011,0860717,華廈(10層含以下有電梯),1,2,1,,有,65447,False,8,121.3415162,24.9564363
103,107,新北市土城區金城路二段260號九樓之五,土城區,22.0,房地(土地+建物),1071029,0850802,住宅大樓(11層含以上有電梯),1,1,1,,有,112108,False,9,121.45768380000001,24.983488799999996
104,107,新北市土城區學府路一段99巷7號12樓,土城區,23.0,房地(土地+建物)+車位,1070920,0840311,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,92488,False,12,121.45654909999999,24.987591399999996
105,107,新北市土城區德峰街31號,土城區,25.0,房地(土地+建物),1071020,0820521,華廈(10層含以下有電梯),3,2,2,,有,111882,False,1,121.46707479999999,24.985739699999996
106,107,新北市樹林區學勤路570號十四樓,樹林區,10.0,房地(土地+建物)+車位,1071017,0970131,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,63199,False,14,121.38429190000001,24.9485307
107,107,新北市三峽區中山路106巷2之1號十樓,三峽區,24.0,房地(土地+建物),1071019,0830701,住宅大樓(11層含以上有電梯),2,2,1,,有,55056,False,10,121.3662354,24.936520500000004
108,107,新北市新店區永業路81巷5弄3號三樓,新店區,38.0,房地(土地+建物),1071106,0691212,公寓(5樓含以下無電梯),3,2,2,,無,54253,False,3,121.53023729999998,24.949137600000004
109,107,新北市五股區水碓路10號四樓,五股區,22.0,房地(土地+建物)+車位,1071010,0850321,華廈(10層含以下有電梯),2,2,1,升降機械,有,76744,False,4,121.4339533,25.0722693
110,107,新北市新莊區景德路105號,新莊區,30.0,房地(土地+建物),1071009,0771226,公寓(5樓含以下無電梯),4,1,2,,無,72071,False,1,121.45179230000001,25.0344827
111,107,新北市三重區三寧街24號4樓,三重區,44.0,房地(土地+建物),1071016,0630408,公寓(5樓含以下無電梯),3,1,1,,無,93228,False,4,121.48964549999998,25.060129799999995
112,107,新北市蘆洲區信義路138號11樓之5,蘆洲區,3.0,房地(土地+建物),1070825,1040525,住宅大樓(11層含以上有電梯),2,2,1,,有,150168,False,11,121.4795868,25.083089499999996
113,107,新北市汐止區樟樹一路161號11樓,汐止區,24.0,房地(土地+建物)+車位,1071001,0831210,住宅大樓(11層含以上有電梯),3,3,2,坡道平面,有,74013,False,11,121.64241879999999,25.0684533
114,107,新北市汐止區樟樹二路259號11樓,汐止區,18.0,房地(土地+建物)+車位,1071022,0890819,住宅大樓(11層含以上有電梯),2,1,1,坡道平面,有,92593,False,11,121.640767,25.068533
115,107,新北市新店區寶橋路73巷3號3樓,新店區,35.0,房地(土地+建物),1071028,0720802,公寓(5樓含以下無電梯),3,1,1,,無,149231,False,3,121.5452893,24.975336000000002
116,107,新北市板橋區忠孝路48巷36之6號2樓,板橋區,13.0,房地(土地+建物),1071015,0940601,華廈(10層含以下有電梯),2,2,1,,有,132750,False,2,121.46064030000001,25.0003223
117,107,新北市板橋區館前西路275號3樓之5,板橋區,15.0,房地(土地+建物),1070918,0921008,住宅大樓(11層含以上有電梯),2,2,2,,有,116997,False,3,121.4524701,25.008328400000003
118,107,新北市板橋區民生路一段28之4號17樓,板橋區,17.0,房地(土地+建物)+車位,1071007,0900802,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,148943,False,17,121.4763677,25.012857000000004
119,107,新北市三峽區民生街27巷16號四樓之5,三峽區,22.0,房地(土地+建物),1071005,0850401,套房(1房1廳1衛),1,0,1,,無,82617,False,4,121.37573489999998,24.936084299999997
120,107,新北市三峽區光明路100之6號五樓之三,三峽區,22.0,房地(土地+建物)+車位,1071020,0850625,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,61521,False,5,121.3757809,24.928083800000003
121,107,新北市樹林區鎮前街413之3號四樓,樹林區,22.0,房地(土地+建物),1071025,0851022,套房(1房1廳1衛),1,0,1,,無,72122,False,4,121.4144427,24.983124699999998
122,107,新北市鶯歌區高職西街111號七樓,鶯歌區,20.0,房地(土地+建物)+車位,1071015,0870216,華廈(10層含以下有電梯),3,2,2,坡道平面,有,39591,False,7,121.33602359999999,24.940524899999996
