鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景美街４３號八樓之１,6.58,商,,,1020715,土地3建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980116,61.7,1,1,1,有,有,7000000,113452,升降機械,0.0,0,為尊重買賣雙方隱私權主張，地政士同意不到房屋現場勘查，由雙方提供建物現況格局實際資訊，供地政士申報登錄。親友、員工或其他特殊關係間之交易。,RPPNMLPJQHIFFAA27CA,29.42,0.0,4.98,,
文山區,房地(土地+建物),臺北市文山區羅斯福路五段198號5樓,30.35,商,,,1020716,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,94.28,3,2,2,有,無,14500000,153797,,0.0,0,1.共有人數2人2.價格含增建,RPROMLPJQHIFFAA57CA,89.96,0.0,4.32,,
中正區,車位,臺北市中正區廈門街147巷8之2號,1.69,住,,,1020708,土地0建物0車位1,一層,十二層,其他,見其他登記事項,鋼筋混凝土造,0930514,16.8,0,0,0,有,有,1160000,,坡道機械,16.8,0,,RPUOMLPJQHIFFAA87CA,0.0,0.0,0.0,,
中正區,房地(土地+建物),臺北市中正區水源路29巷15號3樓,22.11,住,,,1020717,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,39.53,1,1,1,有,無,8500000,215027,,0.0,0,價格含增建.,RPSQMLPJQHIFFAA87CA,33.6,0.0,5.93,,
中正區,房地(土地+建物),臺北市中正區中華路二段313巷11號4樓,14.74,住,,,1020717,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,加強磚造,0560512,35.11,1,1,1,有,無,4950000,140985,,0.0,0,,RPTQMLPJQHIFFAA97CA,30.16,0.0,4.95,,
文山區,房地(土地+建物),臺北市文山區羅斯福路五段245號5樓之8,8.03,商,,,1020724,土地4建物1車位0,五層,十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960730,49.05,2,1,1,有,有,10360000,211213,,0.0,0,價格含增建,RPWQMLPJQHIFFAA28CA,33.23,0.0,3.1,,
文山區,土地,政大段二小段499-1地號,0.13,住,,,1020710,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000,0,,0.0,0,,RPQOMLQJQHIFFAA57CA,0.0,0.0,0.0,,
文山區,房地(土地+建物),臺北市文山區育英街31巷40弄4號3樓,28.0,住,,,1020620,土地1建物1車位0,陽台，三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610418,80.62,3,2,1,有,無,13000000,161250,,0.0,0,價格含增建,RPOPMLPJQHIFFAA37CA,80.62,0.0,0.0,,
文山區,房地(土地+建物),臺北市文山區木新路二段112號5樓,39.24,住,,,1020701,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780125,109.59,3,2,2,有,無,15300000,139611,,0.0,0,1.共有人數2人2.價格含增建,RPRPMLPJQHIFFAA67CA,89.82,1.32,9.22,,
中正區,房地(土地+建物),臺北市中正區羅斯福路三段１００號６樓之１３,6.69,商,,,1020620,土地4建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0650619,74.85000000000001,5,2,2,有,有,17500000,233801,,0.0,0,,RPTQMLQJQHIFFAA08CA,69.76,0.0,0.0,,
中正區,房地(土地+建物),臺北市中正區羅斯福路一段24號2樓,4.18,商,,,1020611,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0710227,60.66,0,1,1,有,有,14580000,240356,,0.0,0,,RPVQMLQJQHIFFAA28CA,52.66,0.0,0.0,,
文山區,房地(土地+建物),臺北市文山區木柵路三段８５巷１４弄１號三樓,44.88,住,,,1020704,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610915,96.49,2,2,1,有,無,11500000,119183,,0.0,0,,RPSPMLRJQHIFFAA97CA,96.49,0.0,0.0,,
中正區,房地(土地+建物),臺北市中正區汀州路二段２３４號,33.6,住,,,1020709,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),商業用,鋼筋混凝土造,0700204,175.16,0,0,1,有,無,32000000,182690,,0.0,0,有地下室,RPVNMLNLQHIFFAA87CA,93.79,81.37,0.0,,
中正區,車位,臺北市中正區羅斯福路二段８巷８號八樓之１,0.3,住,,,1020723,土地0建物0車位2,八層,九層,其他,住家用,鋼筋混凝土造,1000408,31.67,0,0,0,有,有,2000000,,升降機械,31.68,2000000,,RPQPMLSLQHIFFAA08CA,0.0,0.0,0.0,,
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段２５之２號八樓,32.22,住,,,1020620,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001101,164.11,3,2,2,有,有,21000000,143250,其他,25.89,1200000,,RPQNMLTLQHIFFAA97CA,74.56,12.75,4.76,,
中正區,房地(土地+建物),臺北市中正區新生南路一段５４巷５弄３號三樓,28.57,住,,,1020722,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0660825,106.3,3,2,2,有,無,28000000,263405,,0.0,0,急買急賣。,RPSNMLPJQHIFFBA67CA,81.37,0.0,24.93,,
大同區,車位,臺北市大同區民族西路２２５巷７弄２號地下,6.02,商,,,1020729,土地0建物0車位1,地下層,七層,其他,商業用,鋼筋混凝土造,0771215,28.79,0,0,0,有,有,1900000,,坡道平面,28.79,1900000,,RPUNMLPJQHIFFBA87CA,0.0,0.0,0.0,,
萬華區,房地(土地+建物),臺北市萬華區廣州街２２３巷４號三樓,14.2,商,,,1020709,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0720725,60.51,3,1,1,有,無,7600000,125599,,0.0,0,防火巷增建,RPWNMLPJQHIFFBA08CA,57.47,0.0,3.04,,
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路一段160號3樓之2,12.24,商,,,1020621,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020104,188.07999999999998,4,2,2,有,有,43300000,230221,坡道平面,33.52,0,,RPOQMLPJQHIFFBA57CA,97.28,0.0,8.83,,
中正區,房地(土地+建物),臺北市中正區忠孝西路一段50號14樓之16,2.53,商,,,1020711,土地1建物1車位0,十四層,二十七層,辦公商業大樓,商業用,鋼骨混凝土造,0790815,46.92,0,1,1,有,有,10940000,233163,,0.0,0,,RPRNMLQJQHIFFBA67CA,29.12,0.0,3.34,,
萬華區,房地(土地+建物)+車位,臺北市萬華區莒光路２９９巷１７號８樓,45.33,住,,,1020615,土地1建物1車位3,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990902,343.0,3,2,2,有,有,48000000,139942,坡道平面,121.14,0,,RPRPMLQJQHIFFBA87CA,128.96,10.1,12.58,,
中正區,房地(土地+建物)+車位,臺北市中正區仁愛路二段９８巷２號３樓,29.65,住,,,1020708,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960510,117.12,2,2,2,有,有,33500000,286031,升降機械,0.0,0,,RPUPMLRJQHIFFBA28CA,62.2,8.16,6.04,,
大同區,房地(土地+建物),臺北市大同區民族西路２８３號,0.12,住,,,1020722,土地1建物1車位0,一層,十層,其他,見其他登記事項,鋼筋混凝土造,0961231,6.359999999999999,0,0,0,無,有,1000000,156986,,0.0,0,停車塔車位一位,RPVPMLRJQHIFFBA38CA,0.0,0.0,0.0,,
大同區,房地(土地+建物)+車位,臺北市大同區民族西路225巷15號9樓,28.06,住,,,1020419,土地1建物2車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960731,166.32,2,1,2,有,有,20000000,120250,坡道平面,0.0,0,親友關係間之交易。含建築物地下123層。第三種住宅區。,RPTOMLNLQHIFFBA87CA,75.54,5.71,8.13,,
大同區,房地(土地+建物)+車位,臺北市大同區承德路三段２１４巷１號２樓之１,31.94,住,,,1020705,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010913,176.22,2,2,2,有,有,28680000,191025,坡道平面,40.74,2800000,,RPROMLQLQHIFFBA97CA,76.13,5.84,9.08,,
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路１２６巷１６之２號七樓,55.33,工,,,1020626,土地1建物1車位2,七層,十層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1000408,348.82,0,0,0,無,有,37960000,129587,坡道平面,79.04,3000000,,RPXOMLPJQHIFFCA38CA,156.09,7.08,12.47,,
中山區,房地(土地+建物),臺北市中山區長安東路一段５３巷１６號二樓之１,6.42,商,,,1020711,土地2建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0761223,36.69,1,1,1,有,有,4430000,120741,,0.0,0,,RPWPMLPJQHIFFCA38CA,19.64,0.41,3.12,,
中山區,房地(土地+建物),臺北市中山區新生北路3段61號3樓之16,6.81,住,,,1020620,土地4建物1車位0,三層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0650907,39.21,1,1,1,有,無,5400000,137720,,0.0,0,,RPPRMLPJQHIFFCA87CA,35.66,0.0,3.55,,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段８９巷１５弄６號七樓,22.69,住,,,1020704,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010323,103.09,0,0,0,無,無,34000000,329809,坡道機械,10.02,0,,RPURMLPJQHIFFCA38CA,40.83,0.0,17.74,,
內湖區,房地(土地+建物)+車位,臺北市內湖區石潭路27號13樓之5,26.77,其他,,,1020709,土地1建物1車位1,十三層,十四層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0980831,134.62,0,0,0,無,有,24000000,178280,坡道平面,32.41,0,,RPRUMLPJQHIFFCA38CA,54.18,2.91,9.43,,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路281巷28號6樓之1,19.78,住,,,1020626,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980826,114.33,2,2,1,有,有,20000000,174932,坡道平面,14.24,0,價格含增建。,RPUUMLPJQHIFFCA68CA,44.95,5.67,6.25,,
中山區,房地(土地+建物),臺北市中山區南京東路一段８６號１０樓之４,3.46,商,,,1020516,土地3建物1車位0,十層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0651210,34.9,1,1,1,有,無,6240000,178797,,0.0,0,,RPSVMLPJQHIFFCA58CA,28.15,0.0,0.0,,
內湖區,土地,康寧段四小段197地號,0.51,住,,,1020619,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46596,0,,0.0,0,,RPWVMLPJQHIFFCA98CA,0.0,0.0,0.0,,
內湖區,房地(土地+建物),臺北市內湖區南京東路6段350之7號6樓之2,7.25,工,,,1020705,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970407,43.51,1,0,1,有,有,6330000,145484,,0.0,0,,RPPNMLQJQHIFFCA57CA,24.21,3.01,1.53,,
中山區,房地(土地+建物)+車位,臺北市中山區松江路184巷26弄6號5樓之1,15.2,住,,,1020717,土地2建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971202,112.15,3,2,1,有,有,23000000,205082,升降平面,24.77,0,價格含增建,RPXNMLQJQHIFFCA38CA,44.0,10.29,3.48,,
中山區,房地(土地+建物),臺北市中山區南京東路二段108號12樓之12,3.27,其他,,,1020716,土地3建物1車位0,十二層,十八層,套房(1房1廳1衛),住家用,見其他登記事項,0990917,49.94,1,1,1,有,有,15000000,300360,,0.0,0,,RPQOMLQJQHIFFCA77CA,28.88,1.25,3.18,,
中山區,房地(土地+建物),臺北市中山區林森北路381號5樓之7,2.52,住,,,1020614,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0740520,29.05,1,1,1,有,有,3900000,134251,,0.0,0,,RPPVMLPJQHIFFCA28CA,20.94,0.0,0.0,,
中山區,房地(土地+建物),臺北市中山區林森北路428號三樓之3,3.23,商,,,1020720,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0730307,34.86,1,1,1,有,有,4050000,116179,,0.0,0,,RPTPMLQJQHIFFCA18CA,25.08,0.0,4.14,,
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路247號9樓,33.44,其他,,,1020716,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990329,262.95,4,2,2,有,有,47000000,178741,坡道平面,0.0,0,,RPQRMLQJQHIFFCA08CA,124.61,12.09,9.5,,
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路７６巷６１號四樓,55.16,工,,,1020719,土地1建物1車位3,四層,六層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0971030,353.42999999999995,0,0,0,無,有,35500000,100444,坡道平面,0.0,0,,RPWSMLQJQHIFFCA78CA,151.23,0.0,0.0,,
中山區,房地(土地+建物),臺北市中山區林森北路９６號四樓之７,5.17,商,,,1020628,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0710224,46.5,1,0,1,有,有,6300000,135484,,0.0,0,,RPQUMLQJQHIFFCA38CA,37.5,0.0,0.0,,
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段７０號六樓之５及六樓之6,8.92,商,,,1020712,土地1建物2車位2,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0861115,96.34,2,2,2,有,無,13000000,134939,升降機械,0.0,0,,RPWNMLRJQHIFFCA38CA,52.11,3.4,6.37,,
內湖區,土地,碧湖段二小段582-1地號,55.81,其他,,,1020723,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2547062,45638,,0.0,0,包含公共設施保留地之交易。,RPXOMLRJQHIFFCA58CA,0.0,0.0,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區清白里金湖路１２7號 3樓,41.71,住,,,1020605,土地1建物1車位3,三層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011121,354.21000000000004,3,2,2,有,有,75000000,264142,坡道平面,92.23,5800000,,RPSRMLRJQHIFFCA38CA,152.05,0.0,16.36,,
內湖區,房地(土地+建物)+車位,臺北市內湖區清白里金湖路１31號 8樓,39.79,住,,,1020613,土地1建物1車位3,八層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011121,337.02,3,2,2,有,有,67900000,265369,坡道平面,103.76,6000000,,RPVRMLRJQHIFFCA68CA,132.33,12.89,7.46,,
內湖區,房地(土地+建物)+車位,臺北市內湖區清白里金湖路１31號 9樓,42.99,住,,,1020613,土地1建物1車位3,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011121,359.19,3,2,2,有,有,76720000,276866,坡道平面,103.76,6000000,,RPXRMLRJQHIFFCA88CA,151.2,7.8,7.46,,
中山區,房地(土地+建物)+車位,臺北市中山區基湖路１２０巷１號七樓,104.95,住,,,1020705,土地1建物1車位2,七層,九層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0900724,322.15999999999997,4,2,3,有,有,91000000,282468,坡道平面,0.0,0,,RPRSMLSJQHIFFCA48CA,146.74,0.0,17.32,,
中山區,房地(土地+建物),臺北市中山區新生北路三段２１號九樓之１,6.33,住,,,1020708,土地3建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950209,45.59,1,1,1,有,有,10600000,232507,,0.0,0,,RPQQMLTJQHIFFCA28CA,26.4,0.0,4.61,,
中山區,房地(土地+建物),臺北市中山區南京東路3段19號4樓之1,16.54,商,,,1020629,土地1建物1車位0,四層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0770509,173.45,4,1,0,有,有,36500000,210435,,0.0,0,,RPWQMLTJQHIFFCA88CA,104.68,0.0,17.5,,
中山區,房地(土地+建物),臺北市中山區新生北路三段６４號六樓之８,3.23,商,,,1020722,土地3建物1車位0,六層,十層,辦公商業大樓,商業用,鋼筋混凝土造,0681224,28.72,1,1,1,有,無,3660000,127437,,0.0,0,,RPQSMLTJQHIFFCA48CA,21.12,0.0,1.92,,
中山區,房地(土地+建物),臺北市中山區新生北路二段６８巷３０號三樓之１２,16.07,商,,,1020713,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670505,89.31,2,1,1,有,有,13500000,151159,,0.0,0,,RPVOMLMKQHIFFCA97CA,74.31,0.0,7.83,,
內湖區,房地(土地+建物),臺北市內湖區內湖路1段405號7樓,34.3,住,,,1020702,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780620,113.3,5,0,5,有,無,26000000,229479,,0.0,0,頂樓加蓋內隔兩間套房,RPPRMLNKQHIFFCA77CA,95.32,0.35,9.92,,
中山區,房地(土地+建物),臺北市中山區新生北路3段93巷30號2樓,34.5,住,,,1020623,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,86.78,3,2,2,有,無,12000000,138281,,0.0,0,,RPPNMLQKQHIFFCA67CA,0.0,0.0,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段１８０巷６６號六樓之３,14.2,住,,,1020702,土地1建物1車位1,六層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980715,92.6,1,1,1,有,有,17500000,188985,坡道機械,13.85,0,,RPTOMLNLQHIFFCA97CA,44.06,2.48,4.27,,
中山區,房地(土地+建物),臺北市中山區農安街６號六樓之５,4.31,商,,,1020705,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980622,71.86,2,1,1,有,有,14950000,208043,,0.0,0,,RPUQMLRLQHIFFCA68CA,38.16,0.57,1.48,,
內湖區,土地,文德段四小段41地號,78.9,商,,,1020718,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,71601900,907502,,0.0,0,,RPTRMLSLQHIFFCA78CA,0.0,0.0,0.0,,
內湖區,土地,文德段四小段41地號,78.9,商,,,1020718,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,71601900,907502,,0.0,0,,RPWPMLTLQHIFFCA98CA,0.0,0.0,0.0,,
內湖區,土地,文德段三小段258地號,1.48,住,,,1020718,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,388194,262293,,0.0,0,,RPOQMLTLQHIFFCA28CA,0.0,0.0,0.0,,
內湖區,土地,文德段四小段39-5地號,14.75,其他,,,1020718,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4573448,310064,,0.0,0,,RPQQMLTLQHIFFCA48CA,0.0,0.0,0.0,,
內湖區,土地,文德段四小段20-3地號,11.16,其他,,,1020718,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,506610,45395,,0.0,0,,RPPSMLTLQHIFFCA58CA,0.0,0.0,0.0,,
松山區,房地(土地+建物),臺北市松山區新中街４８號七樓,22.07,住,,,1020730,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0671005,122.28999999999999,2,1,1,有,有,5100000,41704,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLPJQHIFFDA28CA,80.57,0.0,17.59,,
松山區,房地(土地+建物),臺北市松山區新中街４８號七樓之１,16.86,住,,,1020730,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0671005,93.62,2,1,1,有,有,3700000,39521,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXOMLPJQHIFFDA48CA,59.32,0.0,15.86,,
南港區,房地(土地+建物),臺北市南港區東明街７０號五樓,56.69,住,,,1020701,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,125.84,4,2,2,有,無,19500000,154959,,0.0,0,,RPOPMLPJQHIFFDA67CA,100.38,0.0,21.04,,
松山區,房地(土地+建物),臺北市松山區民權東路三段103巷15之2號1樓,36.5,住,,,1020716,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,87.91,0,0,0,無,無,25500000,290069,,0.0,0,,RPORMLPJQHIFFDA87CA,81.82,6.09,0.0,,
松山區,房地(土地+建物)+車位,臺北市松山區松山區八德路４段445之1號,7.98,住,,,1020704,土地1建物2車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,90.6,2,1,1,有,有,16660000,183885,升降機械,0.0,0,,RPXRMLPJQHIFFDA78CA,40.83,1.87,3.06,,
南港區,房地(土地+建物)+車位,臺北市南港區興華路７２號三樓之７,21.34,住,,,1020630,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0940513,107.82,3,2,2,有,有,22500000,208681,升降機械,0.0,0,,RPXNMLQJQHIFFDA48CA,54.39,0.0,4.09,,
南港區,房地(土地+建物),臺北市南港區福德街391號十三樓,20.09,住,,,1020630,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0870521,120.30000000000001,3,2,1,有,有,5700000,47382,,0.0,0,1.親友、員工或其他特殊關係間之交易。2.為尊重買賣雙方隱私權，地政士無法入屋現場勘查，由權利人提供建物現況格局實際資訊，供地政士登錄。,RPTSMLQJQHIFFDA58CA,64.3,0.0,8.46,,
南港區,房地(土地+建物),臺北市南港區研究院路二段１８２巷５號二樓,62.5,住,,,1020705,土地1建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,,74.39,3,1,1,有,無,7500000,100820,,0.0,0,,RPQOMLRJQHIFFDA97CA,74.39,0.0,0.0,,
南港區,房地(土地+建物),臺北市南港區研究院路二段１５０巷１弄１３號三樓,25.5,住,,,1020705,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,89.55,3,2,1,有,無,7900000,88219,,0.0,0,,RPROMLRJQHIFFDA08CA,89.55,0.0,0.0,,
松山區,土地,寶清段三小段501-1地號,10.0,其他,,,1020723,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,585000,58500,,0.0,0,包含公共設施保留地之交易。,RPXOMLRJQHIFFDA68CA,0.0,0.0,0.0,,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段４１０號十一樓之２,5.36,商,,,1020701,土地2建物1車位0,十一層,十八層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0860121,62.44,1,1,1,有,有,13500000,216208,,0.0,0,,RPSOMLMKQHIFFDA77CA,37.73,0.0,0.0,,
信義區,建物,臺北市信義區松隆路125號3樓之12,0.0,,,,1020619,土地0建物2車位1,三層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850925,182.26999999999998,1,1,1,有,有,10200000,55961,坡道平面,43.75,0,,RPTOMLMKQHIFFDA87CA,42.28,75.22,5.8,,
松山區,房地(土地+建物)+車位,臺北市松山區三民路４３巷１１號四樓之２,47.47,住,,,1020619,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930507,244.10000000000002,3,2,2,有,有,42300000,173290,坡道平面,0.0,0,,RPTNMLNKQHIFFDA87CA,116.64,4.21,11.67,,
