鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),基隆市中正區觀海街１７８號１１樓,22.39,住,,,1020720,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,113.67,3,2,2,有,有,2850000,25073,,0.0,0,,RPVNMLNJQHIFFBC97CA,80.75,0.0,11.69,,
仁愛區,房地(土地+建物),基隆市仁愛區愛五路１９巷２６之３號,18.2,商,,,1020703,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620426,48.54,3,1,1,有,無,2780000,57272,,0.0,0,,RPPNMLPJQHIFFBC57CA,48.54,0.0,0.0,,
中正區,房地(土地+建物),基隆市中正區觀海街１５３號１４樓,6.07,住,,,1020715,土地2建物1車位0,十四層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880114,30.9,0,0,0,無,有,830000,26861,,0.0,0,,RPVNMLQJQHIFFBC28CA,20.79,0.0,3.35,,
仁愛區,房地(土地+建物),基隆市仁愛區忠二路６１號４樓,17.07,商,,,1020618,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820607,106.33000000000001,2,1,1,有,有,4820000,45331,,0.0,0,,RPQOMLMJQHIFFBC47CA,86.3,0.0,5.49,,
中正區,車位,基隆市中正區新豐街１８８號底一層,0.14,住,,,1020724,土地0建物0車位1,地下二層,二十三層,其他,見其他登記事項,鋼筋混凝土造,0851129,40.1,0,0,0,有,有,420000,,坡道平面,40.1,420000,,RPTOMLQJQHIFFBC18CA,0.0,0.0,0.0,,
中正區,房地(土地+建物)+車位,基隆市中正區觀海街２３號８樓,23.69,住,,,1020702,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,150.93,3,2,2,有,有,3850000,25509,坡道平面,36.53,0,,RPPNMLTJQHIFFBC97CA,80.78,0.0,11.69,,
仁愛區,房地(土地+建物),基隆市仁愛區愛一路４３號７樓,28.84,商,,,1020531,土地2建物1車位0,七層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,0850903,276.15999999999997,0,0,0,無,有,17000000,61559,,0.0,0,,RPPOMLMKQHIFFBC47CA,211.99,0.0,30.05,,
仁愛區,房地(土地+建物),基隆市仁愛區華三街２５號３樓,35.0,其他,,,1020711,土地1建物1車位0,三層，四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620103,133.96,4,2,2,有,無,4100000,30606,,0.0,0,含增建或未登記建物。,RPPOMLTKQHIFFBC18CA,133.96,0.0,0.0,,
仁愛區,房地(土地+建物),基隆市仁愛區南榮路４０９之８號,24.5,商,,,1020617,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640918,78.0,3,2,1,有,無,2000000,25641,,0.0,0,,RPVPMLKLQHIFFBC08CA,78.0,0.0,0.0,,
信義區,房地(土地+建物)+車位,基隆市信義區東信路２３６巷４６號二樓,50.25,住,,,1020705,土地1建物1車位2,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,205.49,4,2,2,有,有,8700000,41700,坡道機械,19.64,950000,,RPUOMLMLQHIFFBC08CA,108.35,11.42,13.14,,
信義區,房地(土地+建物)+車位,基隆市信義區東信路２３６巷７０號六樓,50.39,住,,,1020712,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,206.06,4,2,2,有,有,8800000,42916,坡道平面,19.65,800000,,RPVOMLMLQHIFFBC18CA,108.75,11.59,13.14,,
中正區,房地(土地+建物),基隆市中正區新豐街３２５巷５８號,85.25,住,,,1020618,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0730427,115.54,3,2,2,有,無,4200000,36351,,0.0,0,,RPPQMLMLQHIFFBC77CA,104.32,5.61,5.61,,
信義區,房地(土地+建物),基隆市信義區深澳坑路８之４５號,23.05,其他,,,1020717,土地2建物1車位0,一層，騎樓,七層,店面(店鋪),商業用,鋼筋混凝土造,0830831,110.72,0,0,0,無,無,3000000,27095,,0.0,0,,RPPNMLRLQHIFFBC97CA,101.39,4.44,0.0,,
信義區,房地(土地+建物),基隆市信義區培德路１４巷４７號５樓,36.1,住,,,1020709,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791006,116.05,4,2,3,有,無,3200000,27574,,0.0,0,含增建或未登記建物。,RPUNMLSLQHIFFBC58CA,101.69,3.07,9.84,,
中正區,房地(土地+建物),基隆市中正區祥豐街１４１之２號,20.0,住,,,1020720,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0600106,64.75,3,1,1,有,無,1350000,20849,,0.0,0,,RPPOMLSLQHIFFBC18CA,64.75,0.0,0.0,,
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利二街６２巷２１２號１１樓,23.2,住,,,1020707,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,154.65,3,2,2,有,有,5500000,35564,坡道平面,0.0,0,,RPRPMLMJQHIFFCC77CA,82.34,0.45,10.15,,
七堵區,房地(土地+建物),基隆市七堵區長安街２３１巷５１號,87.04,住,,,1020529,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1000331,242.93,0,0,0,無,無,9500000,39106,,0.0,0,,RPQSMLPJQHIFFCC28CA,222.46,4.79,15.68,,
安樂區,房地(土地+建物),基隆市安樂區基金一路２０８巷１６４弄１６號５樓,25.34,住,,,1020701,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,92.42999999999999,3,2,2,有,有,2200000,23802,,0.0,0,,RPXOMLQJQHIFFCC68CA,73.43,0.0,8.78,,
暖暖區,房地(土地+建物),基隆市暖暖區源遠路２７６之２號６樓,13.94,住,,,1020729,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830511,75.65,2,2,1,有,無,1800000,23794,,0.0,0,,RPQPMLQJQHIFFCC08CA,58.3,1.61,8.04,,
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街２６３巷８５號３樓及樂利三街２６３巷４５號底二層,39.07,住,,,1020616,土地3建物1車位1,三層，四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810528,171.92,4,2,2,有,有,5650000,32862,坡道平面,0.0,0,,RPRPMLQJQHIFFCC18CA,115.41,0.0,16.14,,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東碇路３１４號２樓,16.59,住,,,1020704,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860623,114.34,3,2,2,有,有,4400000,38482,坡道機械,0.0,0,,RPPQMLQJQHIFFCC08CA,66.24,1.58,8.44,,
