鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),新北市板橋區民生路二段14之1號5樓,2.67,住,,,1030707,土地1建物1車位0,五層,二十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860815,46.17,1,1,1,有,有,6260000,135586,,0.0,0,,RPPNMLOJQHJFFAF77CA,31.01,1.6,0.0,,
板橋區,房地(土地+建物),新北市板橋區民生路三段323號29樓,1.44,住,,,1030625,土地1建物1車位0,二十九層,三十七層,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0950914,42.07,1,1,1,有,有,6850000,162824,,0.0,0,共有人數2人。含增建或未登記建物。內含獨立產權公設，未包含在棟數內。,RPQNMLOJQHJFFAF87CA,15.64,0.0,11.51,,
板橋區,房地(土地+建物),新北市板橋區僑中二街１０６巷２１之４號,24.77,住,,,1030724,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,82.8,3,2,2,有,無,6500000,78502,,0.0,0,,RPXNMLOJQHJFFAF58CA,66.64,0.0,16.16,,
板橋區,房地(土地+建物),新北市板橋區文化路一段３６０號十二樓之１３,2.18,住,,,1030710,土地1建物1車位0,十二層,四十層,套房(1房1廳1衛),住家用,見其他登記事項,0990715,42.49,1,1,1,有,有,9250000,217698,,0.0,0,,RPUNMLNKQHJFFAF28CA,22.93,0.0,5.03,,
土城區,房地(土地+建物),新北市土城區明德路二段９８巷５號五樓,28.34,商,,,1030702,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720509,105.04,3,2,2,有,無,11000000,104722,,0.0,0,,RPVNMLPKQHJFFAF58CA,91.5,0.0,13.54,,
土城區,房地(土地+建物),新北市土城區中央路二段１６７號六樓之二,5.41,商,,,1030610,土地6建物1車位0,六層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,,42.95,1,0,1,有,無,5400000,125728,,0.0,0,,RPQPMLPKQHJFFAF28CA,31.41,0.0,4.65,,
板橋區,車位,新北市板橋區重慶路７１號三樓之１,3.11,商,,,1030703,土地0建物0車位2,三層,八層,其他,住家用,鋼筋混凝土造,0861117,28.72,0,0,0,有,有,1200000,,升降機械,28.72,1200000,,RPSNMLLLQHJFFAF97CA,0.0,0.0,0.0,,
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段３９巷１１８號五樓,15.94,住,,,1030708,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001123,149.25,2,2,2,有,有,15700000,105193,坡道平面,26.57,0,,RPXSMLLJQHJFFBF88CA,74.58,0.0,9.53,,
新莊區,房地(土地+建物),新北市新莊區五工二路８６巷２４號三樓之一,14.68,,工業區,丁種建築用地,1030703,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0981223,83.64,2,1,1,有,有,9200000,109995,,0.0,0,,RPSNMLOJQHJFFBF18CA,42.65,2.5,4.35,,
五股區,房地(土地+建物),新北市五股區成泰路二段９１巷２９號五樓,7.68,商,,,1030716,土地1建物1車位0,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850703,98.83000000000001,3,1,2,有,有,8000000,80947,,0.0,0,,RPXOMLOJQHJFFBF78CA,70.08,0.0,9.54,,
新莊區,房地(土地+建物),新北市新莊區新樹路６１１之１１號四樓,13.96,商,,,1030716,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951227,91.38,2,2,1,有,有,7500000,82075,,0.0,0,,RPQQMLOJQHJFFBF28CA,59.06,1.18,8.46,,
新莊區,房地(土地+建物)+車位,新北市新莊區立信一街82號9樓,10.97,住,,,1030622,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990104,108.12,2,2,1,有,有,13100000,121162,坡道平面,17.52,0,含增建或未登記建物。權利人姓名有難字。,RPORMLOJQHJFFBF18CA,47.86,4.86,8.88,,
新莊區,房地(土地+建物),新北市新莊區萬安街１５７巷１之４號,15.52,住,,,1030702,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700602,72.19,6,0,6,有,無,6800000,94196,,0.0,0,本案建物頂樓增建,RPPTMLOJQHJFFBF48CA,58.8,9.68,3.71,,
泰山區,房地(土地+建物),新北市泰山區福德街４３之２號,24.28,住,,,1030610,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700710,93.44,3,2,1,有,無,5050000,54045,,0.0,0,,RPSUMLOJQHJFFBF88CA,82.1,0.0,11.34,,
新莊區,房地(土地+建物),新北市新莊區思源路２８７巷１弄１８號,11.03,住,,,1030704,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0661103,40.86,6,0,6,有,無,5000000,122369,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLPJQHJFFBF97CA,40.85,0.0,0.0,,
林口區,房地(土地+建物)+車位,新北市林口區中山路５１８號十樓之二,13.52,商,,,1030612,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960927,144.11,2,2,2,有,有,10000000,69391,坡道平面,32.43,0,,RPSNMLPJQHJFFBF28CA,74.4,0.0,4.84,,
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段230巷22弄11號五樓,20.29,住,,,1030701,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840704,125.65,3,2,2,有,有,9080000,72264,坡道平面,0.0,0,,RPUNMLPJQHJFFBF48CA,70.88,0.83,8.54,,
林口區,房地(土地+建物)+車位,新北市林口區民有街１５２號十三樓,24.81,商,,,1030630,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990128,222.11,4,2,2,有,有,19200000,86444,坡道平面,17.81,0,,RPOQMLPJQHJFFBF18CA,124.97,8.17,14.3,,
五股區,房地(土地+建物)+車位,新北市五股區六合街４６號七樓,78.06,住,,,1030703,土地3建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970814,210.65,4,2,2,有,有,5800000,27534,坡道平面,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄。民國98年7月30日簽訂之預約買賣。此標的為軍眷住宅。,RPROMLQJQHJFFBF38CA,117.05,0.0,10.37,,
新莊區,房地(土地+建物),新北市新莊區建安街３３號　,16.31,住,,,1030715,土地1建物1車位0,一層，騎樓,八層,店面(店鋪),商業用,鋼筋混凝土造,0860718,95.68,0,0,0,無,有,22800000,238294,,0.0,0,,RPTPMLQJQHJFFBF68CA,68.09,0.0,4.02,,
林口區,房地(土地+建物)+車位,新北市林口區中華一路85號16樓,39.44,商,,,1030601,土地1建物1車位2,十六層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030513,455.15,3,2,2,有,有,45420000,101636,坡道平面,43.68,3600000,,RPRTMLRJQHJFFBF98CA,243.97,22.67,20.39,,
林口區,房地(土地+建物)+車位,新北市林口區中華一路77號7樓,32.0,商,,,1030601,土地1建物1車位2,七層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030513,371.32000000000005,3,2,2,有,有,31600000,88512,坡道平面,43.68,2600000,,RPVTMLRJQHJFFBF76CA,197.47,7.42,23.47,,
林口區,房地(土地+建物)+車位,新北市林口區中華一路75號15樓,32.35,商,,,1030601,土地1建物1車位2,十五層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030513,374.96,0,0,0,無,有,30520000,84883,坡道平面,43.68,2400000,,RPOUMLRJQHJFFBF78CA,200.33,7.42,23.17,,
林口區,房地(土地+建物)+車位,新北市林口區中華一路69號5樓,39.68,商,,,1030601,土地1建物1車位2,五層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1030513,457.86,0,0,0,無,有,37260000,83201,坡道平面,43.68,2800000,,RPRUMLRJQHJFFBF09CA,245.18,22.75,20.75,,
林口區,房地(土地+建物)+車位,新北市林口區文化二路2段187號14樓,27.63,商,,,1030626,土地1建物1車位2,十四層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030513,322.17,0,0,0,無,有,25680000,82516,坡道平面,43.68,2700000,,RPVUMLRJQHJFFBF86CA,162.86,10.5,20.68,,
林口區,房地(土地+建物)+車位,新北市林口區文化二路2段187號9樓之1,27.75,商,,,1030601,土地1建物1車位2,九層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030513,323.12,3,2,2,有,有,27890000,89432,坡道平面,43.68,2900000,,RPSWMLRJQHJFFBF76CA,163.2,10.5,21.26,,
林口區,房地(土地+建物)+車位,新北市林口區文化二路2段187號14樓之1,27.63,商,,,1030601,土地1建物1車位2,十四層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030513,322.17,3,1,1,有,有,26740000,85245,坡道平面,43.68,3000000,,RPVWMLRJQHJFFBF07CA,162.86,10.5,20.68,,
五股區,房地(土地+建物),新北市五股區御成路１１６號三樓,21.66,住,,,1030701,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831102,123.92999999999999,3,2,2,有,有,7700000,62132,,0.0,0,,RPQNMLSJQHJFFBF38CA,86.61,0.0,10.49,,
新莊區,房地(土地+建物),新北市新莊區八德街１６６之１號,42.08,住,,,1030619,土地1建物2車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680418,138.82,2,1,1,有,無,22000000,158479,,0.0,0,,RPUQMLSJQHJFFBF09CA,138.82,0.0,0.0,,
