鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
深坑區,房地(土地+建物)+車位,新北市深坑區翠谷街４２號五樓,35.1,其他,鄉村區,乙種建築用地,1010722,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831124,151.63,3,2,2,有,無,6100000,40231,坡道平面,0.0,0,,RPUNMLNKQHHFFCF28CA,94.01,1.81,10.58,,
汐止區,車位,新北市汐止區大同路二段231號等公共設施,0.67,住,,,1010702,土地0建物0車位1,,,其他,,,,19.76,0,0,0,有,有,1650000,,其他,19.76,1650000,,RPQNMLRJQHHFFDF28CA,0.0,0.0,0.0,,
八里區,房地(土地+建物),新北市八里區中山路二段４０６巷１７號六樓,19.49,住,,,1010708,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980219,120.18,2,1,1,有,無,5350000,44517,,0.0,0,,RPWQMLRLRHHFFEF96CA,0.0,0.0,0.0,,
蘆洲區,房地(土地+建物),新北市蘆洲區長安街２２０巷３６號四樓,24.45,住,,,1010713,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860926,98.32,3,1,2,有,無,9500000,96624,,0.0,0,,RPUNMLNLQHHFFGF78CA,70.47,0.0,9.72,,
三重區,土地,幸福段2873地號,184.0,其他,,,1010719,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27320458,148481,,0.0,0,,RPSPMLLMQHHFFGF68CA,0.0,0.0,0.0,,
中和區,土地,新和段1地號,11.39,其他,,,1010724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1831780,160800,,0.0,0,,RPQNMLRJQHHFFHF68CA,0.0,0.0,0.0,,
淡水區,土地,海天段367-1地號,846.3,農,山坡地保育區,農牧用地,1010727,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2308029,2727,,0.0,0,,RPUNMLMLQHHFFEF68EA,0.0,0.0,0.0,,
八里區,房地(土地+建物),新北市八里區頂寮三街１０號十二樓,9.75,住,,,1010704,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840408,75.99,2,2,1,有,有,3710000,48820,,0.0,0,,RPROMLNLJIHFFEF97EA,53.43,1.42,5.36,,
淡水區,房地(土地+建物),新北市淡水區北新路１６９巷５４號十六樓,6.37,住,,,1010712,土地2建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851228,42.98,1,1,1,有,有,1820000,42345,,0.0,0,,RPXPMLSJQHIFFEF07EA,29.31,0.0,3.92,,
中和區,房地(土地+建物),新北市中和區華福街４巷２２號六樓,5.76,住,,,1010719,土地1建物1車位0,六層,七層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,0990301,26.689999999999998,1,1,1,有,有,2720000,101927,,0.0,0,,RPVNMLKKQHHFFHF78EA,11.85,2.44,0.0,,
中和區,房地(土地+建物),新北市中和區景平路２９０號十六樓,8.41,住,,,1010722,土地1建物1車位0,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910816,105.64,3,2,2,有,有,10550000,99863,,0.0,0,,RPRNMLOKQHHFFHF78EA,71.74,0.0,8.9,,
三峽區,房地(土地+建物),新北市三峽區學勤路１７２之１號三樓,14.81,住,,,1010714,土地1建物1車位0,三層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980730,150.32999999999998,3,2,2,有,有,11400000,75832,,0.0,0,,RPSNMLRJQHHFFIF56EA,91.16,1.28,11.19,,
三峽區,車位,新北市三峽區學勤路１７６之３號十樓,0.0,,,,1010714,土地0建物0車位1,,,其他,,,,39.03,0,0,0,有,無,950000,,坡道平面,39.03,950000,,RPRNMLTJQHHFFIF66EA,0.0,0.0,0.0,,
淡水區,房地(土地+建物)+車位,新北市淡水區民權路２１９之１號八樓,15.12,其他,,,1010709,土地1建物2車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961005,151.63,3,2,2,有,有,14550000,95957,坡道平面,17.73,0,,RPOOMLPKQHHFFEF38EA,77.91,0.6,15.36,,
五股區,房地(土地+建物)+車位,新北市五股區西雲路１１８之３號九樓,19.06,住,,,1010711,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931007,140.44,3,2,2,有,有,7500000,53402,坡道平面,28.32,0,,RPQVMLKKIIHFFBF77EA,72.95,1.36,9.69,,
新莊區,房地(土地+建物),新北市新莊區瓊林路104號之19,36.95,住,,,1010528,土地1建物1車位0,一層,六層,廠辦,見其他登記事項,鋼筋混凝土造,0820915,241.52,0,0,0,無,無,12500000,51755,,0.0,0,,RPSONLKKIIHFFBF37EA,132.11,11.69,0.0,,
汐止區,房地(土地+建物),新北市汐止區汐萬路二段６６巷１２８弄９號,44.0,,鄉村區,乙種建築用地,1010712,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0710220,99.4,4,2,3,有,無,5150000,51811,,0.0,0,,RPRNMLTJQHHFFDF78EA,0.0,0.0,0.0,,
蘆洲區,房地(土地+建物),新北市蘆洲區集賢路222巷40號9樓,8.87,住,,,1010712,土地2建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860120,57.11,1,1,1,有,有,5500000,96307,,0.0,0,,RPRPMLKLQHHFFGF48DA,35.62,0.0,5.16,,
樹林區,房地(土地+建物)+車位,新北市樹林區保安街二段337巷37號6樓,17.28,住,,,1010628,土地1建物2車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830810,120.91,3,1,1,有,有,5800000,47969,坡道平面,33.73,0,,RPVNMLNKQHHFFIF09DA,63.2,1.08,7.71,,
五股區,房地(土地+建物),新北市五股區民義路一段１５７號之１５五樓,34.2,住,,,1010705,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730821,101.6,3,2,2,有,無,3800000,37402,,0.0,0,,RPVOMLKLQHHFFBF38EA,0.0,0.0,0.0,,
新莊區,房地(土地+建物),新北市新莊區裕民街１０３巷１８弄１５號,19.23,住,,,1010709,土地2建物1車位0,一層，平台,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660827,59.4,2,1,1,有,無,4300000,72391,,0.0,0,,RPOPMLNLQHHFFBF08EA,59.4,0.0,0.0,,
新莊區,房地(土地+建物),新北市新莊區萬安街１５４之１號,21.5,住,,,1010706,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700112,79.99,3,2,1,有,無,3700000,46256,,0.0,0,,RPTNMLLMQHHFFBF28EA,79.99,0.0,0.0,,
三重區,房地(土地+建物),新北市三重區溪尾街３２８之１３號四樓,13.08,住,,,1010717,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811012,71.88,2,2,1,有,有,7100000,98781,,0.0,0,,RPSNMLNLQHHFFGF58CA,0.0,0.0,0.0,,
三重區,土地,福德南段896地號,12.85,其他,,,1010726,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3175900,247213,,0.0,0,,RPVNMLRLQHHFFGF66CA,0.0,0.0,0.0,,
蘆洲區,土地,民義段652地號,9.35,其他,,,1010723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,974604,104250,,0.0,0,,RPQNMLRJQHHFFGF58CA,0.0,0.0,0.0,,
蘆洲區,土地,集賢段426地號,41.31,其他,,,1010723,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4560254,110400,,0.0,0,,RPRNMLRJQHHFFGF68CA,0.0,0.0,0.0,,
蘆洲區,土地,中原段496-3地號,3.01,其他,,,1010723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320965,106633,,0.0,0,,RPSNMLRJQHHFFGF78CA,0.0,0.0,0.0,,
蘆洲區,土地,民義段749地號,11.53,其他,,,1010723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1202002,104250,,0.0,0,,RPTNMLRJQHHFFGF88CA,0.0,0.0,0.0,,
三重區,房地(土地+建物),新北市三重區溪尾街１２３巷３號十一樓,4.96,住,,,1010716,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870717,66.39999999999999,2,2,1,有,有,6750000,101650,,0.0,0,,RPVNMLPKQHHFFGF98CA,50.11,0.0,1.8,,
土城區,房地(土地+建物),新北市土城區學成路78巷14號二樓,31.09,住,,,1010715,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760110,103.18,3,2,1,有,無,9500000,92072,,0.0,0,,RPRNMLRJQHHFFAF18DA,95.7,0.0,7.48,,
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段41巷39號十二樓,20.29,住,,,1010720,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960719,146.21,3,2,2,有,有,8130000,55605,坡道平面,0.0,0,,RPQNMLQJQHHFFBF08DA,67.82,3.36,7.97,,
新店區,房地(土地+建物)+車位,新北市新店區安祥路106巷17號,115.16,其他,山坡地保育區,丙種建築用地,1010628,土地1建物1車位1,,,公寓(5樓含以下無電梯),,,,147.66,3,2,2,有,有,8600000,58242,坡道平面,0.0,0,,RPOOMLKKQHHFFCF57DA,0.0,0.0,0.0,,
新店區,房地(土地+建物)+車位,新北市新店區中興路三段２３１號２１樓之５,5.59,住,,,1010628,土地1建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851116,96.35,3,2,2,有,有,13450000,139589,坡道機械,23.37,0,,RPTNMLKLQHHFFCF08DA,56.64,2.56,6.01,,
汐止區,房地(土地+建物)+車位,新北市汐止區忠三街12巷44號3樓,111.24,其他,山坡地保育區,丙種建築用地,1010715,土地1建物2車位2,三層，四層，電梯樓梯間，夾層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790915,325.02,4,2,3,有,有,20150000,61997,坡道平面,0.0,0,,RPPNMLNKQHHFFDF97DA,0.0,0.0,0.0,,
三重區,房地(土地+建物),新北市三重區仁政街１２６號１２樓之７,6.82,商,,,1010713,土地3建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930621,97.5,3,2,2,有,有,10500000,107693,,0.0,0,,RPPNMLRJQHHFFGF58DA,67.23,0.0,11.59,,
三重區,土地,三重埔段菜寮小段486-3地號,35.04,其他,,,1010726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4100302,117009,,0.0,0,,RPPNMLOKQHHFFGF38DA,0.0,0.0,0.0,,
三重區,房地(土地+建物)+車位,新北市三重區成功路50巷61號三樓,34.29,住,,,1010510,土地1建物2車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880603,237.71999999999997,5,2,2,有,有,17750000,74669,坡道平面,0.0,0,,RPUOMLQKQHHFFGF56DA,0.0,0.0,0.0,,
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路２號二十一樓,24.54,住,,,1010725,土地1建物1車位1,二十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960827,189.33,3,3,2,有,有,17000000,89791,坡道平面,41.27,0,,RPPNMLQJQHHFFEF18CA,86.17,0.0,11.26,,
淡水區,房地(土地+建物),新北市淡水區中山北路一段２１２巷２８號九樓,11.58,其他,,,1010717,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840617,73.53,2,2,1,有,有,3550000,48278,,0.0,0,,RPQOMLNKQHHFFEF18CA,55.52,0.97,6.13,,
淡水區,土地,海鷗段1149-1地號,48.08,其他,,,1010725,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,41596,,0.0,0,,RPSNMLOLQHHFFEF48CA,0.0,0.0,0.0,,
淡水區,土地,長興段1243地號,121.01,其他,,,1010717,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3072200,25389,,0.0,0,,RPQNMLTLQHHFFEF78CA,0.0,0.0,0.0,,
汐止區,房地(土地+建物)+車位,新北市汐止區汐碇路１６之１巷３號七樓,25.78,住,,,1010726,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000802,144.69,3,2,2,有,有,11500000,79482,坡道機械,20.41,0,,RPRNMLKKQHHFFDF77CA,78.51,0.0,12.0,,
汐止區,土地,十三分段68-9地號,1193.0,,山坡地保育區,農牧用地,1010801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2260000,1894,,0.0,0,,RPVOMLKMQHHFFDF48CA,0.0,0.0,0.0,,
