鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),基隆市中正區豐稔街６９之２號,20.88,住,,,1041021,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630424,61.41,3,1,1,有,無,1120000,18238,,0.0,0,,RPPNMLPJJIKFFBC17CA,61.41,0.0,0.0,,
信義區,房地(土地+建物),基隆市信義區正信路１７５巷１０之１號,64.0,住,,,1040917,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0610403,62.0,3,2,1,有,無,1900000,30645,,0.0,0,,RPVOMLNJJIKFFBC67CA,0.0,0.0,0.0,,
中正區,車位,基隆市中正區新豐街470號等共同使用,1.7,其他,,,1041013,土地0建物0車位1,,,其他,,,,34.17,0,0,0,有,有,665000,,坡道平面,34.17,665000,,RPRNMLRKJIKFFBC67CA,0.0,0.0,0.0,,
七堵區,土地,瑪陵坑段東勢上股小段278-4地號,5577.0,,山坡地保育區,農牧用地,1020924,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8400000,1506,,0.0,0,,RPWNMLNJJIKFFCC77CA,0.0,0.0,0.0,,
七堵區,房地(土地+建物)+車位,基隆市七堵區百七街７６號４樓,48.34,住,,,1041005,土地1建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800823,242.92000000000002,2,1,2,有,有,12000000,49399,坡道平面,0.0,0,,RPSOMLNJJIKFFCC47CA,133.63,1.1,16.08,,
暖暖區,房地(土地+建物),基隆市暖暖區過港路８８號５樓,37.4,住,,,1040916,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801231,143.59,4,2,2,有,無,3450000,24027,,0.0,0,,RPXNMLOJJIKFFCC97CA,122.98,0.0,20.61,,
暖暖區,房地(土地+建物),基隆市暖暖區碇內街３１０號９樓,14.93,住,,,1041015,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850217,74.19,2,1,1,有,有,1800000,24262,,0.0,0,,RPOOMLOJJIKFFCC17CA,46.99,0.69,8.65,,
七堵區,房地(土地+建物),基隆市七堵區崇義街６７號,42.31,住,,,1040927,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791122,109.27,3,2,2,有,無,8200000,75043,,0.0,0,含增建或未登記建物。,RPSNMLPJJIKFFCC57CA,90.67,0.0,10.36,,
七堵區,房地(土地+建物),基隆市七堵區南興路１之６號３樓,35.85,商,,,1041005,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900928,166.15,4,2,2,有,無,11000000,66205,,0.0,0,,RPROMLPJJIKFFCC57CA,142.68,0.0,8.17,,
七堵區,車位,基隆市七堵區光明路１９之１號,0.48,商,,,1041021,土地0建物0車位1,一層,十五層,其他,見其他登記事項,鋼筋混凝土造,1020704,34.72,0,0,0,有,有,1550000,,坡道平面,34.72,1550000,,RPQNMLQJJIKFFCC47CA,0.0,0.0,0.0,,
中山區,房地(土地+建物),基隆市中山區中山二路８３號５樓,25.2,住,,,1040914,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830912,127.96,3,2,2,有,無,6300000,49234,,0.0,0,,RPPOMLTJJIKFFCC77CA,102.45,0.0,10.93,,
七堵區,房地(土地+建物),基隆市七堵區百七街２９號４樓,49.14,住,,,1040924,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841228,111.38,3,2,1,有,無,4500000,40402,,0.0,0,,RPOOMLNKJIKFFCC17CA,96.58,0.0,11.34,,
暖暖區,房地(土地+建物),基隆市暖暖區水源路２巷１０２之２號,30.9,住,,,1041009,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701009,86.32,3,2,1,有,有,2800000,32437,,0.0,0,,RPRNMLTKJIKFFCC97CA,73.62,0.0,12.7,,
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街２６３巷１７號４樓,50.37,住,,,1041019,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1020701,144.89,3,2,2,有,無,8400000,57975,一樓平面,15.02,0,本建物為五層樓建築並有電梯設施,RPUNMLKLJIKFFCC47CA,93.51,0.0,13.34,,
暖暖區,土地,金華段476地號,207.3,住,,,1040917,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3100000,14954,,0.0,0,,RPTNMLOLJIKFFCC77CA,0.0,0.0,0.0,,
中正區,土地,港灣段一小段52-9地號,45.0,住,,,1041015,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1501000,33356,,0.0,0,,RPVNMLQKJIKFFBC08DA,0.0,0.0,0.0,,
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷138弄11號4樓,7.82,住,,,1040818,土地2建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840811,33.120000000000005,1,1,1,有,有,1100000,33213,,0.0,0,,RPWNMLPJJIKFFCC08DA,22.77,0.0,2.9,,
中山區,房地(土地+建物),基隆市中山區復興路３３４巷１１號３樓之１０,10.43,住,,,1041018,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970701,29.939999999999998,0,0,0,無,有,1530000,51102,,0.0,0,,RPPOMLNLJIKFFCC57EA,19.22,0.0,2.3,,
安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷５弄２６號５樓,22.4,其他,,,1040926,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860401,92.26,3,2,1,有,有,2300000,24930,,0.0,0,,RPSNMLLJKIKFFCC47EA,67.77,0.0,6.34,,
暖暖區,房地(土地+建物),基隆市暖暖區源遠路２４９巷９之２號,43.35,住,,,1041005,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690117,112.66,4,1,1,有,無,2300000,20415,,0.0,0,親等交易,RPVOMLNJJIKFFCC97EA,112.66,0.0,0.0,,
中正區,房地(土地+建物),基隆市中正區新豐街333巷42號之1 3樓,15.62,住,,,1040926,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841122,73.26,2,1,1,有,有,2600000,35490,,0.0,0,,RPROMLOLJIKFFBC67DA,58.4,0.0,4.16,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街486號之1   6樓,16.98,其他,,,1040924,土地3建物1車位1,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,115.46000000000001,2,2,1,有,有,4100000,35510,坡道平面,34.16,0,,RPXNMLRKJIKFFBC38DA,55.92,0.86,8.67,,
中山區,房地(土地+建物),基隆市中山區西定路１３２巷４４號２樓,42.0,住,,,1040914,土地1建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0561005,51.97,2,1,1,有,無,1050000,20204,,0.0,0,,RPVNMLOLJIKFFCC97CA,51.97,0.0,0.0,,
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路２８號８樓,21.12,住,,,1041006,土地3建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811216,167.74,3,2,2,有,有,6900000,41133,坡道平面,33.12,0,親友、員工或其他特殊關係間之交易。,RPPNMLQLJIKFFCC57CA,100.64,0.0,10.74,,
七堵區,房地(土地+建物),基隆市七堵區綠葉街１０７巷２５號,111.0,,山坡地保育區,丙種建築用地,1041019,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0880703,226.18,4,3,3,有,有,8850000,39128,,0.0,0,,RPUNMLKMJIKFFCC57CA,162.95,25.48,12.93,,
安樂區,房地(土地+建物),基隆市安樂區安樂路一段６９巷３３號,37.4,住,,,1040930,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750222,121.81,4,2,2,有,無,3680000,30211,,0.0,0,,RPUNMLKKJIKFFCC37CA,112.85,0.0,8.96,,
中山區,房地(土地+建物),基隆市中山區西定路１７７號,31.0,商,,,1041006,土地1建物1車位0,全,二層,透天厝,商業用,磚造,0530801,62.16,3,4,4,有,無,2000000,32175,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPPNMLLKJIKFFCC96CA,62.16,0.0,0.0,,
七堵區,房地(土地+建物),基隆市七堵區明德二路15之42號12樓,15.91,住,,,1041007,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,88.58,2,2,2,有,有,5150000,58140,,0.0,0,,RPQOMLTJJIKFFCC87CA,64.63,0.0,8.46,,
七堵區,房地(土地+建物)+車位,基隆市七堵區明德二路15之51號11樓之4,11.31,住,,,1041015,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,98.11,2,1,1,有,有,3600000,36697,坡道平面,0.0,0,,RPUOMLTJJIKFFCC28CA,41.18,0.0,6.87,,
安樂區,房地(土地+建物),基隆市安樂區基金一路１３５巷４１號７樓　　　　,26.98,住,,,1041012,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840519,125.56,3,2,2,有,有,4800000,38229,,0.0,0,,RPVOMLTJJIKFFCC38CA,95.83,0.0,9.37,,
安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷１1弄15號,45.67,住,,,1041001,土地3建物2車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,173.53,3,1,2,有,有,4900000,28239,,0.0,0,,RPXOMLTJJIKFFCC58CA,72.28,84.14,0.0,,
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利二街６２巷６０２號９樓,43.65,住,,,1040816,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1001013,169.7,4,2,2,有,有,11360000,66942,坡道平面,0.0,0,,RPRNMLQJJIKFFCC57CA,100.91,5.55,9.73,,
七堵區,房地(土地+建物),基隆市七堵區大華一路６１巷２６之３號,29.68,其他,,,1041027,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681127,72.89,3,1,1,有,無,2900000,39786,,0.0,0,1.含增建或未登記建物。2.受債權債務影響或債務抵償之交易。,RPPOMLPJJIKFFCC37CA,72.89,0.0,0.0,,
信義區,房地(土地+建物),基隆市信義區培德路１９５號,29.4,住,,,1041022,土地5建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0830219,81.38,3,2,2,有,無,3350000,41165,,0.0,0,,RPTNMLRKJIKFFBC87CA,79.06,0.0,0.0,,
中正區,房地(土地+建物),基隆市中正區正義路３０巷２０弄１６號５樓,17.1,住,,,1041016,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850311,58.14,2,2,1,有,無,1500000,25800,,0.0,0,含增建部份一併移轉,RPOOMLOJJIKFFBC07CA,50.13,0.89,5.12,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街３７６號１５樓,27.16,住,,,1040928,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,185.04000000000002,6,0,6,有,有,6800000,36749,坡道平面,0.0,0,,RPUNMLTJJIKFFBC08CA,112.37,1.13,12.79,,
仁愛區,房地(土地+建物),基隆市仁愛區忠二路61號4樓,17.07,商,,,1041006,土地1建物1車位0,四層,八層,辦公商業大樓,住家用,鋼筋混凝土造,0820607,106.33000000000001,0,0,0,無,有,5800000,54547,,0.0,0,,RPQOMLKKJIKFFBC96CA,86.3,0.0,5.49,,
仁愛區,房地(土地+建物),基隆市仁愛區曲水街２１巷２號２樓,14.25,住,,,1041018,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,53.08,1,1,1,有,無,800000,15072,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLRKJIKFFBC57CA,53.08,0.0,0.0,,
仁愛區,房地(土地+建物)+車位,基隆市仁愛區仁一路２５７號七樓之三,3.36,商,,,1041012,土地2建物1車位1,七層,三十一層,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0970204,92.82,1,1,1,有,有,7000000,75415,坡道平面,34.6,0,,RPPNMLQLJIKFFBC47CA,34.01,0.0,7.15,,
信義區,房地(土地+建物),基隆市信義區正信路１７５巷１７之１６號,28.3,住,,,1040809,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681006,83.36,3,2,2,有,無,3300000,39587,,0.0,0,,RPUNMLRLJIKFFBC08CA,83.36,0.0,0.0,,
