,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
0,1,中正區,房地(土地+建物)+車位,基隆市中正區觀海街68號14樓,22.66,住,,,1011012,土地1建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,146.61,3,2,2,有,有,2910000,22487,坡道平面,34.99,400000,,RPPNMLNJJIHFFBC66CA,80.74,0.0,10.63,有,,13.0,101,False,14,16,121.7939761,25.137319899999998
1,2,中正區,房地(土地+建物),基隆市中正區觀海街109號10樓,15.03,住,,,1011020,土地2建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,73.63,2,1,2,有,有,1780000,24175,,0.0,0,,RPQNMLNJJIHFFBC76CA,50.71,0.0,6.7,有,,13.0,101,False,10,15,121.7932731,25.1381517
2,4,仁愛區,建物,基隆市仁愛區愛一路87之1號,0.0,,,,1011018,土地0建物1車位0,二層,四層,辦公商業大樓,商業用,鋼筋混凝土造,0671124,76.7,0,1,1,有,有,2800000,36507,,0.0,0,,RPSPMLPJJIHFFBC37CA,51.88,0.0,0.0,無,,34.0,101,False,2,4,121.74074340000001,25.128697799999998
3,5,中正區,房地(土地+建物)+車位,基隆市中正區觀海街65號9樓,25.72,住,,,1010911,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,168.84,2,2,2,有,有,5080000,30087,坡道平面,38.72,0,,RPRNMLNKJIHFFBC96CA,88.83,0.0,12.71,有,,13.0,101,False,9,15,121.79416160000001,25.1383434
4,6,信義區,房地(土地+建物)+車位,基隆市信義區東信路236巷24號五樓,37.33,住,,,1011018,土地1建物1車位2,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,154.85,3,2,2,有,有,7000000,43636,坡道機械,19.64,1100000,,RPPOMLNKJIHFFBC86CA,79.81,5.5,11.01,有,,0.0,101,False,5,7,121.7631085,25.129520499999995
5,7,中正區,房地(土地+建物),基隆市信義區東信路258巷56號2樓,13.69,住,,,1011016,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830121,74.62,2,1,1,有,無,2400000,32165,,0.0,0,,RPQOMLKLJIHFFBC76CA,0.0,0.0,0.0,有,,18.0,101,False,2,7,121.76268410000002,25.129931199999998
6,8,仁愛區,房地(土地+建物)+車位,基隆市仁愛區仁一路277號二樓之六,13.06,商,,,1011010,土地1建物1車位1,二層,九層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0981230,92.63,0,1,1,有,有,6510000,70278,坡道機械,0.0,750000,,RPQNMLNLJIHFFBC96CA,49.76,0.0,0.0,無,,3.0,101,False,2,9,121.74752999999998,25.128399599999995
7,9,信義區,房地(土地+建物),基隆市信義區東信路236巷26號七樓,35.9,住,,,1011018,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,135.20999999999998,3,2,2,有,有,5810000,42971,,0.0,0,,RPXNMLRLJIHFFBC08CA,79.81,5.5,11.01,有,,0.0,101,False,7,7,121.76297419999999,25.130102299999997
8,10,信義區,房地(土地+建物)+車位,基隆市信義區東信路236巷28號三樓,35.19,住,,,1011018,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,147.86,3,2,2,有,有,6500000,42898,坡道平面,19.65,1000000,,RPOOMLRLJIHFFBC27CA,74.95,5.82,11.0,有,,0.0,101,False,3,7,121.76297419999999,25.130102299999997
9,11,信義區,房地(土地+建物),基隆市信義區東信路236巷58號二樓,35.9,住,,,1011018,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,135.20999999999998,3,2,2,有,有,5520000,40826,,0.0,0,,RPPOMLRLJIHFFBC37CA,79.81,5.5,11.01,有,,0.0,101,False,2,7,121.76321779999999,25.131579799999997
10,12,中正區,車位,基隆市中正區新豐街288號2樓等底三層　　,6.94,住,,,1011006,土地0建物0車位1,地下三層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0851129,41.61,0,0,0,有,有,420000,,坡道平面,41.61,420000,,RPSNMLSLJIHFFBC67CA,0.0,0.0,0.0,有,,16.0,101,False,3,23,121.7873079,25.135997599999996
11,13,暖暖區,房地(土地+建物),基隆市暖暖區暖暖街325號2樓,59.21,住,,,1011002,土地1建物2車位0,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000322,272.90999999999997,4,2,2,有,有,17380000,63684,坡道平面,0.0,0,,RPTOMLMJJIHFFCC17CA,139.34,3.26,17.87,有,,1.0,101,False,2,9,121.734972,25.0948884
12,14,安樂區,房地(土地+建物)+車位,基隆市安樂區安和一街330巷4之3號2樓,23.81,住,,,1011017,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0850705,116.82,3,2,1,有,有,4800000,41087,坡道平面,0.0,0,,RPVOMLMJJIHFFCC37CA,76.79,0.0,10.81,有,,16.0,101,False,2,15,121.72321960000001,25.1286773
13,15,安樂區,房地(土地+建物),基隆市安樂區麥金路56號11樓,20.62,住,,,1011022,土地3建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811216,155.26999999999998,3,2,2,有,有,5900000,37999,,0.0,0,,RPTPMLMJJIHFFCC27CA,113.5,0.0,14.1,有,,20.0,101,False,11,12,121.7265386,25.1165036
14,16,安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路349巷28號,113.74,工,,,1011009,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010221,213.02,4,2,3,有,無,8800000,41311,其他,0.0,0,車位為室外平面車位,RPVOMLPJJIHFFCC67CA,185.83,5.14,22.05,無,,0.0,101,False,1,3,121.70452639999999,25.141263699999996
15,17,七堵區,房地(土地+建物),基隆市七堵區崇智街88之3號,29.0,住,,,1010929,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0601026,88.63,2,1,1,有,無,2160000,24371,,0.0,0,,RPROMLQJJIHFFCC37CA,88.63,0.0,0.0,無,,41.0,101,False,4,4,121.71348189999999,25.1000591
16,18,七堵區,房地(土地+建物),基隆市七堵區崇智街86之3號4樓,27.5,住,,,1010929,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0610915,70.08,2,1,1,有,無,1720000,24543,,0.0,0,,RPSOMLQJJIHFFCC47CA,70.08,0.0,0.0,無,,40.0,101,False,4,4,121.7134945,25.100029400000004
