,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
0,1,大安區,房地(土地+建物),台北市大安區和平東路三段1巷72弄6號5樓及和平東路二段265巷25弄3、5、7、4號等,19.39,住,,,1010629,土地1建物2車位0,五層,十七層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0740522,100.97999999999999,3,2,1,有,有,18680000,184999,,0.0,0,,RPQNMLSJQHHFFFA08CA,68.24,1.56,7.07,有,,27.0,101,False,5,17,121.5464749,25.0277177
1,2,中正區,房地(土地+建物),台北市中正區忠孝東路二段130號九樓之1,8.46,商,,,1010718,土地3建物1車位0,九層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0710408,93.42,0,0,0,有,有,20300000,217307,,0.0,0,,RPQOMLKLQHHFFBA17CA,72.81,0.0,0.0,無,,30.0,101,False,9,12,121.53180599999999,25.042371
2,4,大同區,房地(土地+建物),台北市大同區重慶北路一段87號六樓之1,3.88,商,,,1010710,土地4建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0651207,36.74,1,1,1,有,有,4200000,114317,,0.0,0,,RPOPMLRKJHIFFBA07CA,29.47,0.0,2.87,有,,36.0,101,False,6,11,121.51431619999998,25.0529256
3,5,內湖區,房地(土地+建物),台北市內湖區民權東路六段90巷6弄1號三樓,32.41,住,,,1010710,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691114,104.11,3,1,1,有,無,14000000,134473,,0.0,0,,RPPPMLPKQHHFFCA67CA,89.66,0.0,14.45,無,,32.0,101,False,3,5,121.5858321,25.068333900000003
4,8,松山區,房地(土地+建物),台北市松山區三民路68巷4號7樓之2,35.53,住,,,1010717,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0810303,146.66,3,2,2,有,有,25800000,175917,,0.0,0,,RPOQMLPJKHIFFDA27DA,90.78,3.03,8.41,有,,20.0,101,False,7,7,121.56443610000001,25.055020399999997
5,9,士林區,房地(土地+建物),台北市士林區承德路4段10巷7號,31.2,住,,,1010720,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680828,105.04,2,1,1,有,無,19000000,180883,,0.0,0,,RPSOMLPJRHHFFEA18DA,94.95,10.09,0.0,無,,33.0,101,False,1,5,121.5213544,25.079756200000006
6,10,大安區,房地(土地+建物),台北市大安區敦化南路1段270巷16號2樓,48.0,商,,,1010717,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610830,130.38,3,2,2,有,無,28000000,107378,,0.0,0,,RPROMLLMQHHFFFA97DA,116.82,0.0,13.56,無,,40.0,101,False,2,4,121.54842099999999,25.0368267
7,11,大安區,車位,台北市大安區永康街7巷19-1號,0.1,商,,,1010718,土地0建物0車位2,一層,十五層,其他,見其他登記事項,鋼筋混凝土造,0970326,4.59,0,0,0,有,有,1600000,,塔式車位,0.0,1600000,,RPPNMLRKJHIFFFA47DA,0.0,0.0,0.0,無,,4.0,101,False,1,15,121.531325,25.033196000000004
8,12,大安區,車位,台北市大安區永康街7巷19-1號,0.05,商,,,1010718,土地0建物0車位1,一層,十五層,其他,見其他登記事項,鋼筋混凝土造,0970326,2.3,0,0,0,有,有,850000,,塔式車位,0.0,850000,,RPQNMLRKJHIFFFA57DA,0.0,0.0,0.0,無,,4.0,101,False,1,15,121.531325,25.033196000000004
9,13,大安區,車位,台北市大安區永康街7巷19-1號,0.05,商,,,1010718,土地0建物0車位1,一層,十五層,其他,見其他登記事項,鋼筋混凝土造,0970326,2.3,0,0,0,有,有,850000,,塔式車位,0.0,850000,,RPRNMLRKJHIFFFA67DA,0.0,0.0,0.0,無,,4.0,101,False,1,15,121.531325,25.033196000000004
10,14,中山區,房地(土地+建物),台北市中山區合江街33號二樓之1,10.0,住,,,1010703,土地1建物1車位0,二層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860526,37.33,1,1,1,有,有,5960000,159670,,0.0,0,,RPWNMLRKQHHFFCA38CA,19.08,1.82,4.56,無,,15.0,101,False,2,6,121.5392162,25.055523599999997
11,15,中山區,房地(土地+建物),台北市中山區中山北路二段183巷30號二樓,30.53,商,,,1010726,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0750124,164.78,2,1,1,有,有,20200000,122585,,0.0,0,,RPOPMLKLQHHFFCA17CA,118.73,25.8,9.48,有,,26.0,101,False,2,7,121.5242396,25.0636787
12,16,萬華區,車位,台北市萬華區西園路一段82之1號,0.14,商,,,1010724,土地0建物0車位1,一層,十五層,其他,見其他登記事項,鋼筋混凝土造,0961119,18.810000000000002,0,0,0,有,無,2100000,,坡道平面,0.0,2100000,,RPTNMLKMJHIFFBA86CA,0.0,0.0,0.0,無,,5.0,101,False,1,15,121.49972969999997,25.03917
13,17,中山區,房地(土地+建物),台北市中山區吉林路369號六樓之14,6.31,住,,,1010727,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681219,38.56,1,0,1,有,有,4050000,105030,,0.0,0,,RPPNMLQJQHHFFCA47CA,30.81,0.0,0.0,無,,33.0,101,False,6,7,121.53049209999998,25.0649891
14,19,中正區,房地(土地+建物),台北市中正區南昌路二段222號四樓之3,10.21,其他,,,1010709,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880524,87.25999999999999,0,0,0,無,有,14750000,84518,,0.0,0,,RPTOMLOJRHHFFAA67CA,53.04,0.0,9.86,有,,13.0,101,False,4,12,121.5245676,25.023836599999996
15,20,中正區,房地(土地+建物),台北市中正區南昌路二段222號四樓之4,8.39,其他,,,1010709,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880524,71.69,0,0,0,無,有,14750000,102868,,0.0,0,,RPVOMLOJRHHFFAA87CA,0.0,0.0,0.0,有,,13.0,101,False,4,12,121.5245676,25.023836599999996
16,21,萬華區,房地(土地+建物),台北市萬華區萬大路423巷28弄7號6樓,33.43,住,,,1010616,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0870824,146.24,2,1,1,有,有,16260000,111187,,0.0,0,,RPVNMLNJRHHFFBA87DA,75.51,2.53,5.94,有,,14.0,101,False,6,14,121.5001445,25.020646100000004
17,23,士林區,房地(土地+建物),台北市士林區承德路四段58巷59號5樓,32.09,住,,,1010217,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010301,120.21,2,2,1,有,無,21500000,178855,,0.0,0,,RPQNMLSJQHHFFEA97CA,61.15,1.72,14.9,有,,0.0,101,False,5,6,121.52087069999999,25.082253299999998
18,24,北投區,房地(土地+建物),台北市北投區尊賢街249巷28號二樓,31.5,住,,,1010622,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630905,93.0,3,2,2,有,無,12100000,130108,,0.0,0,,RPQOMLOKQHHFFEA77CA,0.0,0.0,0.0,無,,38.0,101,False,2,4,121.50538800000001,25.117256899999997
19,25,中山區,房地(土地+建物),台北市中山區林森北路485巷18號3樓之3,17.65,商,,,1010715,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670606,101.63999999999999,2,2,2,有,有,14800000,145611,,0.0,0,,RPUNMLSJQHHFFCA28DA,75.79,0.0,7.95,有,,34.0,101,False,3,7,121.5263286,25.0611352
20,26,內湖區,房地(土地+建物)+車位,台北市內湖區行善路59巷20弄18號，18號2樓~18號6樓,363.91,住,,,1010726,土地1建物6車位6,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010704,1356.98,0,0,0,無,有,225833092,169051,升降平面,90.3,11700000,,RPQOMLKMQHHFFCA47DA,617.13,45.01,54.6,有,,0.0,101,False,3,6,121.57906620000001,25.057797599999994
21,27,內湖區,房地(土地+建物),台北市內湖區康樂街136巷15弄24號4樓,26.79,住,,,1010720,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721103,95.93,3,2,2,有,無,9400000,97988,,0.0,0,,RPSOMLKMQHHFFCA67DA,86.68,0.0,9.25,無,,29.0,101,False,4,5,121.61826920000001,25.072416
22,28,信義區,房地(土地+建物),台北市信義區基隆路一段131號4樓之1,3.81,商,,,1010706,土地2建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950802,32.83,1,1,1,有,有,9500000,289344,,0.0,0,,RPSNMLSJQHHFFDA18DA,20.79,0.0,1.73,有,,6.0,101,False,4,13,121.5666598,25.0442279
23,29,松山區,房地(土地+建物),台北市松山區台北市松山區光復北路6之7號,13.37,住,,,1010704,土地9建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0780216,112.49,3,2,2,有,無,18800000,167123,,0.0,0,,RPSOMLNJRHHFFDA87DA,85.95,8.62,0.0,有,,23.0,101,False,1,12,121.55764080000002,25.0486135
24,31,文山區,房地(土地+建物)+車位,台北市文山區秀明路一段126號6樓,25.36,住,,,1010723,土地1建物2車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960208,158.6,3,2,2,有,有,18800000,118537,坡道平面,35.99,0,,RPWOMLPJRHHFFAA08CA,79.24,4.31,9.37,有,,5.0,101,False,6,13,121.5678923,24.991088299999998
25,32,中正區,房地(土地+建物),台北市中正區中華路二段75巷1弄4號,21.34,住,,,1010725,土地2建物1車位0,一層，平台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650713,130.62,0,0,0,無,無,23080000,176696,,0.0,0,,RPQNMLKKQHHFFAA86CA,75.95,54.67,0.0,有,,36.0,101,False,1,7,121.5064443,25.033961299999998
26,33,中正區,車位,台北市中正區南昌路一段24巷7號,0.16,住,,,1010727,土地0建物0車位1,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970509,14.770000000000001,0,0,0,有,有,1680000,,升降機械,14.02,1680000,,RPPNMLPKQHHFFAA27CA,0.0,0.0,0.0,有,,4.0,101,False,1,7,121.51583660000001,25.0317486
27,34,中正區,房地(土地+建物),台北市中正區羅斯福路二段8巷14弄1號4樓,31.79,住,,,1010726,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760224,138.64000000000001,4,2,2,有,無,25680000,185231,,0.0,0,,RPUNMLQKQHHFFAA87CA,118.12,1.54,13.61,無,,25.0,101,False,4,5,121.5203847,25.028487000000002
28,35,文山區,房地(土地+建物)+車位,台北市文山區興隆路三段181巷78號十樓,52.49,住,,,1010601,土地3建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001024,173.45,3,2,2,有,有,27860000,171407,升降機械,15.23,740000,,RPXNMLQKQHHFFAA18CA,0.0,0.0,0.0,有,,1.0,101,False,10,12,121.56214179999999,24.9966618
29,37,文山區,車位,台北市文山區木新路三段232巷7弄8之2號,1.04,住,,,1010727,土地0建物0車位1,一層,十層,其他,見其他登記事項,鋼筋混凝土造,0960215,15.18,0,0,0,有,有,650000,,坡道機械,0.0,650000,,RPQNMLQKJHIFFAA86CA,0.0,0.0,0.0,無,,5.0,101,False,1,10,121.5585493,24.981867700000002
30,39,中山區,房地(土地+建物),台北市中山區建國北路三段93巷5弄7號二樓,27.87,住,,,1010607,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690816,106.7,3,2,2,有,有,10200000,95595,,0.0,0,,RPPPMLOKQHHFFCA57CA,92.92,0.0,13.78,無,,32.0,101,False,2,5,121.5367431,25.066176799999997
31,40,內湖區,房地(土地+建物)+車位,台北市內湖區東湖路69號四樓,41.17,商,,,1010718,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861009,233.39,2,2,2,有,有,28500000,122112,升降平面,0.0,0,,RPPOMLOKQHHFFCA47CA,115.12,27.69,11.79,有,,15.0,101,False,4,10,121.61492589999999,25.068728000000004
32,41,中山區,房地(土地+建物),台北市中山區新生北路二段66號十一樓之6,1.56,商,,,1010718,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0690721,22.18,1,1,1,無,有,2000000,90171,,0.0,0,,RPUOMLOKQHHFFCA97CA,13.26,0.0,4.9,無,,32.0,101,False,11,12,121.52718039999998,25.0562522
33,42,中山區,房地(土地+建物),台北市中山區中山北路一段135巷30號二樓之2,5.75,商,,,1010720,土地1建物1車位0,二層,五層,其他,商業用,鋼筋混凝土造,0740125,30.35,1,0,1,有,無,3600000,118600,,0.0,0,,RPQQMLLLQHHFFCA57CA,20.72,0.0,0.0,無,,27.0,101,False,2,5,121.52411629999999,25.051312999999997
34,43,中山區,房地(土地+建物),台北市中山區長春路67號十一樓之1,4.35,住,,,1010608,土地3建物1車位0,十一層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0670620,31.32,1,1,1,無,無,5050000,161239,,0.0,0,,RPVQMLLLQHHFFCA08CA,0.0,0.0,0.0,無,,34.0,101,False,11,12,121.52657039999998,25.055044099999996
35,44,信義區,房地(土地+建物),台北市信義區吳興街600巷138號四樓,24.16,住,,,1010804,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780516,98.2,2,1,2,有,無,11000000,112016,,0.0,0,,RPVNMLNLQHHFFDA08CA,0.0,0.0,0.0,無,,23.0,101,False,4,5,121.572415,25.018027
36,45,南港區,房地(土地+建物)+車位,台北市南港區園區街8號7樓,18.44,住,,,1010725,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980611,136.41,2,2,1,有,有,21650000,158714,坡道平面,40.08,0,,RPQNMLKLQHHFFDA27CA,54.95,5.7,5.8,有,,3.0,101,False,7,14,121.6138917,25.059154199999995
37,46,大安區,房地(土地+建物),台北市大安區辛亥路二段41號12樓之1,10.43,住,,,1010512,土地1建物1車位0,十二層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780221,158.02,3,2,2,有,有,38180000,241612,,0.0,0,,RPUNMLKKQHHFFFA87DA,112.76,5.3,12.91,有,,23.0,101,False,12,25,121.53631349999999,25.023062100000004
38,48,士林區,房地(土地+建物),台北市士林區中山北路七段190巷4弄2之2號6樓,16.01,住,,,1010716,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660804,77.72,2,2,2,有,無,13300000,171127,,0.0,0,,RPOPMLPKQHHFFEA87DA,68.81,0.0,8.91,有,,35.0,101,False,6,7,121.53318,25.124666400000002
39,50,北投區,房地(土地+建物),台北市北投區光明路2巷1弄3號2樓,31.35,商,,,1010712,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0680608,118.49,2,2,1,有,無,13260000,111908,,0.0,0,,RPSNMLRKQHHFFEA28DA,108.93,0.0,9.56,無,,33.0,101,False,2,5,121.4996958,25.131397699999997
40,51,北投區,房地(土地+建物)+車位,台北市北投區知行路214巷27號8樓,45.29,住,,,1010708,土地1建物1車位2,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000919,279.62,3,2,2,有,無,33500000,119803,坡道平面,0.0,0,,RPPOMLOJRHHFFEA77DA,126.44,2.81,15.79,有,,1.0,101,False,8,11,121.4672602,25.120379500000002
41,52,北投區,房地(土地+建物)+車位,台北市北投區知行路214巷31號10樓,69.15,住,,,1010723,土地1建物1車位3,十層，十一層，屋頂突出物,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000919,434.89,3,2,3,有,無,47000000,108072,坡道平面,0.0,0,,RPQOMLOJRHHFFEA87DA,192.97,26.19,22.22,有,,1.0,101,False,10,11,121.4690005,25.1200698
42,54,大安區,房地(土地+建物),台北市大安區基隆路二段132巷6之1號2樓,14.14,住,,,1010720,土地1建物1車位0,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821109,42.01,1,1,1,有,無,8000000,190451,,0.0,0,,RPPNMLTJQHHFFFA18DA,27.31,0.96,3.81,無,,19.0,101,False,2,5,121.55640329999999,25.0289543
43,56,信義區,房地(土地+建物)+車位,台北市信義區忠孝東路五段482號5樓之2,7.83,住,,,1010725,土地1建物2車位1,五層,十七層,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0820514,124.47,0,0,0,無,有,18680000,150075,坡道平面,34.04,0,,RPRNMLKLQHHFFDA37CA,67.56,0.0,0.0,無,,19.0,101,False,5,17,121.57804199999998,25.040611000000002
44,57,信義區,房地(土地+建物),台北市信義區松山路604之2號四樓,27.26,住,,,1010619,土地6建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630522,82.33,3,2,1,有,無,13500000,163974,,0.0,0,,RPVPMLMLQHHFFDA18CA,0.0,0.0,0.0,無,,38.0,101,False,4,4,121.5784996,25.0359442
