,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址
10,11,七堵區,房地(土地+建物),基隆市七堵區工東街24號11樓之3,15.7,住,,,1010720,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841227,101.73,3,2,1,有,有,3200000,31456,,0.0,0,,RPQNMLQKQHHFFCC87CA,75.73,0.98,9.72,有,,17.0,101,False
11,12,安樂區,房地(土地+建物),基隆市安樂區中和路85巷5弄5號,73.27,住,,,1010718,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850905,163.70000000000002,5,2,3,有,有,5500000,33597,,0.0,0,,RPOOMLLLQHHFFCC37CA,139.4,3.79,15.33,無,,16.0,101,False
12,13,安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷343號,75.78,住,,,1010710,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960102,264.21,5,2,3,有,有,11000000,41633,,0.0,0,,RPSOMLLLQHHFFCC77CA,228.17,0.0,11.37,無,,5.0,101,False
13,14,安樂區,房地(土地+建物),基隆市安樂區樂利三街38巷78之1號,22.57,住,,,1010721,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690611,43.49,2,1,1,有,無,1160000,26673,,0.0,0,,RPSNMLKMQHHFFCC67CA,43.49,0.0,0.0,無,,32.0,101,False
14,15,中山區,房地(土地+建物),基隆市中山區復興路212巷12弄15之1號,25.15,其他,,,1010721,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,91.2,3,2,2,有,無,1920000,21053,,0.0,0,,RPRNMLLMQHHFFCC67CA,85.78,0.0,2.42,無,,31.0,101,False
15,16,安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路173號11樓,16.22,住,,,1010723,土地8建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,132.37,3,2,1,有,有,5500000,41551,坡道平面,12.58,0,,RPVNMLPJRHHFFCC38DA,80.61,1.05,10.14,有,,15.0,101,False
16,17,七堵區,房地(土地+建物)+車位,基隆市七堵區福六街133號9樓,39.96,住,,,1010712,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010504,163.18,2,2,2,有,無,8700000,56959,坡道平面,29.75,1100000,,RPXNMLLMQHHFFCC38DA,82.79,0.0,9.97,有,,0.0,101,False
17,18,安樂區,車位,基隆市安樂區基金一路121巷12之4號底層,0.53,住,,,1010616,土地0建物0車位1,地下層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0850930,2594.0,0,0,0,無,有,650000,,坡道平面,9.5,650000,,RPUOMLTLQHHFFCC88DA,0.0,0.0,0.0,無,,16.0,101,False
18,19,仁愛區,房地(土地+建物)+車位,基隆市仁愛區成功一路133巷54號14樓,29.5,住,,,1010713,土地8建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0860630,171.34,3,2,2,有,有,5800000,33851,坡道平面,0.0,0,,RPPNMLQJLHIFFBC27DA,101.0,0.0,12.45,有,,15.0,101,False
19,20,七堵區,房地(土地+建物)+車位,基隆市七堵區福六街133號8樓,39.96,住,,,1010712,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010504,163.18,2,2,2,有,無,8800000,57708,坡道平面,29.75,1100000,,RPUNMLLMQHHFFCC08DA,82.79,0.0,9.97,有,,0.0,101,False
20,21,中正區,房地(土地+建物),基隆市中正區祥豐街137號,34.61,住,,,1010721,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690519,95.79,3,2,1,有,無,2750000,28709,,0.0,0,,RPWNMLLMQHHFFBC18DA,95.79,0.0,0.0,無,,32.0,101,False
21,22,中正區,房地(土地+建物)+車位,基隆市中正區新豐街400號13樓,25.46,住,,,1010725,土地2建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,177.13,4,2,2,有,有,4800000,27099,坡道平面,36.84,0,,RPQOMLLMQHHFFBC67DA,105.84,1.43,11.53,有,,16.0,101,False
22,23,中正區,房地(土地+建物),基隆市中正區新豐街196號15樓,5.93,住,,,1010724,土地1建物1車位0,十五層,二十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851129,32.45,1,1,1,有,有,750000,23112,,0.0,0,,RPROMLLMQHHFFBC77DA,21.22,0.0,3.67,無,,16.0,101,False
23,24,中正區,房地(土地+建物),基隆市中正區新豐街303巷15弄17號3樓,28.09,住,,,1010715,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,105.02,3,2,2,有,無,1950000,18567,,0.0,0,,RPUNMLPJRHHFFBC18DA,73.1,0.0,7.64,無,,16.0,101,False
24,25,安樂區,房地(土地+建物),基隆市安樂區基金一路379巷36之4號,27.49,住,,,1010710,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701001,94.67,3,1,2,有,無,1300000,13732,,0.0,0,,RPPNMLTJQHHFFCC18EA,84.79,0.0,9.88,無,,31.0,101,False
25,26,安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路112巷110弄13號5樓,29.33,住,,,1010709,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851107,142.93,3,2,2,有,有,3000000,20990,坡道平面,0.0,0,,RPVNMLKKQHHFFCC97EA,92.78,0.66,12.31,有,,16.0,101,False
26,27,七堵區,房地(土地+建物),基隆市七堵區東新街6巷72之2號,28.75,住,,,1010715,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0661114,66.5,2,1,1,有,無,2200000,33083,,0.0,0,,RPTNMLKKQHHFFCC77EA,66.5,0.0,0.0,無,,35.0,101,False
27,28,暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街135之1號11樓,28.16,住,,,1010727,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,160.14,3,2,2,有,無,5800000,37257,坡道平面,28.62,900000,,RPQNMLOJRHHFFCC87EA,84.9,0.0,10.14,有,,3.0,101,False
28,29,信義區,房地(土地+建物),基隆市信義區深溪路36巷102弄31號7樓,21.41,住,,,1010717,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860813,105.65,3,2,2,有,有,2300000,21770,,0.0,0,,RPQNMLQJRHHFFBC97EA,82.33,0.0,9.39,有,,15.0,101,False
29,30,安樂區,房地(土地+建物),基隆市安樂區中和路85巷38號7樓,12.49,住,,,1010720,土地6建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,49.63,2,1,1,有,有,1600000,32237,,0.0,0,,RPSOMLOJRHHFFCC18EA,34.84,0.38,4.26,有,,15.0,101,False
30,31,七堵區,房地(土地+建物),基隆市七堵區明德二路15之11號11樓之6,10.07,住,,,1010725,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,58.879999999999995,1,1,1,有,有,1800000,30570,,0.0,0,,RPRNMLPJRHHFFCC08EA,41.18,0.0,6.87,有,,17.0,101,False
31,32,七堵區,房地(土地+建物),基隆市七堵區東新街6巷72之2號,20.0,住,,,1010715,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0661114,65.0,2,1,1,有,無,2200000,33846,,0.0,0,,RPUNMLKKQHHFFCC87EA,65.0,0.0,0.0,無,,35.0,101,False
32,33,安樂區,房地(土地+建物),基隆市安樂區樂利三街34巷15之3號,49.02,住,,,1010706,土地9建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680228,81.09,3,2,1,有,無,1500000,18498,,0.0,0,,RPRNMLTJQHHFFCC28DA,68.25,0.0,12.84,無,,33.0,101,False
33,34,中山區,房地(土地+建物),基隆市中山區通仁街121號,14.0,住,,,1010723,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0650511,27.0,0,0,0,無,無,700000,25926,,0.0,0,,RPUNMLLLQHHFFCC87CA,27.0,0.0,0.0,無,,36.0,101,False
34,35,安樂區,房地(土地+建物),基隆市安樂區武聖街60號,23.0,商,,,1010809,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),商業用,鋼筋混凝土造,0790424,90.94999999999999,0,1,1,無,無,2500000,27488,,0.0,0,,RPRNMLKLQHHFFCC47CA,0.0,0.0,0.0,無,,22.0,101,False
35,36,仁愛區,房地(土地+建物),基隆市仁愛區忠二路27之5號,13.17,商,,,1010713,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691231,55.07,2,2,2,有,無,4100000,74451,,0.0,0,,RPRNMLPKQHHFFBC77CA,55.07,0.0,0.0,有,,32.0,101,False
36,37,中正區,房地(土地+建物),基隆市中正區祥豐街847之3號,18.83,住,,,1010713,土地1建物1車位0,四層,六層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690414,75.85,6,0,6,有,無,3700000,48780,,0.0,0,,RPTNMLLLQHHFFBC67CA,75.85,0.0,0.0,無,,32.0,101,False
37,38,仁愛區,房地(土地+建物)+車位,基隆市仁愛區南榮路22號15樓之3,15.07,商,,,1010705,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830822,178.49,4,2,2,有,有,7200000,40339,坡道平面,0.0,0,,RPVNMLLLQHHFFBC87CA,98.95,5.46,9.45,有,,18.0,101,False
38,39,信義區,房地(土地+建物),基隆市信義區深澳坑路2之5號4樓之4,7.14,住,,,1010706,土地4建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850426,40.83,1,1,1,有,有,730000,17877,,0.0,0,,RPRNMLMLQHHFFBC57CA,26.8,0.0,4.27,有,,16.0,101,False
39,40,安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路135巷75號5樓,31.28,住,,,1010719,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840519,175.72,3,3,2,有,有,6000000,34145,坡道平面,0.0,0,,RPQOMLLLQHHFFCC57CA,111.62,0.0,9.59,有,,17.0,101,False
40,41,安樂區,房地(土地+建物),基隆市安樂區基金一路135巷5弄2號7樓　　　　　,34.77,住,,,1010715,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840304,149.35,4,2,2,有,有,4300000,28792,,0.0,0,,RPVOMLSLQHHFFCC78CA,118.3,0.0,9.96,有,,17.0,101,False
41,42,安樂區,房地(土地+建物),基隆市安樂區武隆街105巷15號,98.63,住,,,1010620,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690130,103.0,3,1,2,有,無,2500000,24272,,0.0,0,,RPWNMLOLQHHFFCC38CA,93.0,5.0,5.0,無,,32.0,101,False
42,43,安樂區,房地(土地+建物),基隆市安樂區崇德路10巷33之3號,36.0,住,,,1010721,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691103,113.44,3,2,1,有,無,2900000,25564,,0.0,0,,RPQQMLNJRHHFFCC87CA,107.34,0.0,6.1,無,,32.0,101,False
43,44,暖暖區,房地(土地+建物),基隆市暖暖區碇內街343號4樓,33.35,住,,,1010725,土地1建物1車位0,四層,六層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840517,93.01,3,2,1,有,有,1200000,12902,,0.0,0,,RPTOMLQJRHHFFCC28CA,80.88,0.81,11.32,無,,17.0,101,False
44,45,七堵區,房地(土地+建物),基隆市七堵區明德一路2巷10之2號,25.5,住,,,1010709,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0661228,78.46,3,2,1,有,無,2430000,30971,,0.0,0,,RPQNMLTJQHHFFCC18DA,78.46,0.0,0.0,無,,35.0,101,False
45,46,信義區,房地(土地+建物),基隆市信義區深溪路36巷102弄18號7樓,27.69,住,,,1010720,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880120,135.7,3,2,1,有,無,2920000,21519,,0.0,0,,RPPNMLTJQHHFFBC97DA,97.99,0.0,9.53,有,,13.0,101,False
46,47,中正區,房地(土地+建物),基隆市中正區信六路16號4樓之5,4.07,商,,,1010727,土地1建物1車位0,四層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860414,33.02,1,0,1,有,無,980000,29679,,0.0,0,,RPRNMLPJRHHFFBC87DA,20.0,0.0,6.12,無,,15.0,101,False
47,48,仁愛區,房地(土地+建物),基隆市仁愛區南新街61號四樓,30.52,住,,,1010720,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840913,127.33,3,2,2,有,無,4000000,31414,,0.0,0,,RPQNMLKKQHHFFBC27DA,111.09,0.0,12.73,無,,17.0,101,False
48,49,中正區,房地(土地+建物),基隆市中正區平一路27巷8號2樓,37.33,住,,,1010727,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0620321,71.18,3,1,1,有,無,1000000,14049,,0.0,0,,RPPNMLKLQHHFFBC27DA,71.18,0.0,0.0,無,,39.0,101,False
49,50,中山區,房地(土地+建物),基隆市中山區西定路144號,11.4,商,,,1010722,土地3建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690124,40.59,0,0,0,無,無,4100000,101010,,0.0,0,,RPPOMLLMQHHFFCC67DA,40.59,0.0,0.0,無,,32.0,101,False
50,51,安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷210號6樓,21.25,住,,,1010703,土地2建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,127.87,3,2,2,有,有,3900000,30499,,0.0,0,,RPSNMLNJRHHFFCC87DA,82.34,0.45,10.15,有,,13.0,101,False
51,52,安樂區,房地(土地+建物),基隆市安樂區中和路168巷5弄35號2樓,30.29,住,,,1010725,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860401,124.52000000000001,3,2,2,有,無,2800000,22486,,0.0,0,,RPUNMLNJRHHFFCC08DA,93.75,0.0,8.08,無,,15.0,101,False
52,53,暖暖區,房地(土地+建物),基隆市暖暖區源遠路249巷96號3樓,22.72,住,,,1010727,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820219,93.39,3,1,1,有,無,2150000,23023,,0.0,0,,RPOOMLQJRHHFFCC87DA,73.5,0.0,9.31,無,,19.0,101,False
53,54,暖暖區,房地(土地+建物),基隆市暖暖區暖暖街530巷120之2號,37.44,住,,,1010716,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701214,95.88,3,1,2,有,無,2650000,27639,,0.0,0,,RPROMLQJRHHFFCC18DA,89.76,0.0,6.12,無,,31.0,101,False
54,55,安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街55號4樓之1及樂利三街41.43.45.47.49.51.53.55.57.59地下一層、地下二層,9.38,住,,,1010725,土地7建物1車位1,地下一層，地下二層,二十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0860117,58.800000000000004,1,0,1,有,有,1300000,22110,坡道機械,30.28,0,,RPSNMLRJRHHFFCC38EA,19.83,0.0,2.47,無,,15.0,101,False
55,56,中山區,房地(土地+建物)+車位,基隆市中山區復興路351號2樓,47.05,住,,,1010724,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781115,180.57999999999998,4,2,2,有,無,5660000,31343,坡道平面,0.0,0,,RPPNMLKLQHHFFCC27CA,131.88,0.0,23.41,無,,23.0,101,False
56,57,安樂區,房地(土地+建物),基隆市安樂區安一路100巷88之2號,29.93,住,,,1010725,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0621109,82.06,3,2,1,有,無,1900000,23154,,0.0,0,,RPSNMLKLQHHFFCC57CA,0.0,0.0,0.0,無,,39.0,101,False
57,58,七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路21之11號9樓,22.07,住,,,1010713,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961116,152.92000000000002,3,2,2,有,有,7200000,47083,坡道平面,0.0,0,,RPQNMLLLQHHFFCC47CA,80.33,0.0,10.59,有,,5.0,101,False
58,62,中正區,房地(土地+建物),基隆市中正區新豐街325巷59號　　　　,81.85,住,,,1010716,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0730717,115.54,3,2,2,有,無,3300000,28562,,0.0,0,,RPPNMLNKQHHFFBC37CA,104.32,5.61,5.61,無,,28.0,101,False
59,63,信義區,房地(土地+建物)+車位,基隆市信義區東信路236巷38號6樓,37.33,住,,,1010730,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,154.85,3,2,2,有,有,7270000,47115,坡道平面,19.65,900000,,RPROMLTJRHHFFBC28CA,79.81,5.5,11.01,有,,0.0,101,False
60,64,中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷47號2樓,59.09,住,,,1010714,土地8建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980602,172.04,4,2,2,有,有,6600000,40276,坡道平面,25.55,700000,,RPSNMLLKRHHFFBC57CA,103.51,2.48,8.32,有,,3.0,101,False
61,65,信義區,房地(土地+建物)+車位,基隆市信義區東信路236巷50號五樓,50.39,住,,,1010730,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,206.06,4,2,2,有,有,9890000,48227,坡道平面,19.65,900000,,RPTOMLKKRHHFFBC67CA,108.75,11.59,13.14,有,,0.0,101,False
62,66,信義區,房地(土地+建物)+車位,基隆市信義區東信路236巷52號六樓,37.33,住,,,1010730,土地1建物1車位2,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,154.85,3,2,2,有,有,7250000,45115,坡道機械,19.64,1150000,,RPTOMLLKRHHFFBC77CA,79.81,5.5,11.01,有,,0.0,101,False
63,67,信義區,房地(土地+建物)+車位,基隆市信義區東信路236巷18號四樓,37.33,住,,,1010726,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010620,154.85,3,2,2,有,有,6750000,44009,坡道平面,19.65,800000,,RPUNMLMKRHHFFBC87CA,79.81,5.5,11.01,有,,0.0,101,False
64,68,中正區,房地(土地+建物),基隆市中正區新豐街162巷5號2樓,78.72,住,,,1010709,土地5建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971226,129.57999999999998,3,2,2,有,有,5560000,42909,,0.0,0,,RPXOMLNJRHHFFBC28CA,85.62,1.28,8.67,有,,4.0,101,False
65,69,信義區,房地(土地+建物),基隆市信義區正信路227巷21弄12號2樓,29.81,住,,,1010716,土地6建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860607,118.75999999999999,3,2,2,有,有,3250000,27367,,0.0,0,,RPXNMLOJRHHFFBC28CA,72.02,13.53,9.83,有,,15.0,101,False
66,70,信義區,房地(土地+建物),基隆市信義區花源九街20號,156.49,住,,,1010713,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0800817,412.0,4,2,3,有,有,10500000,25485,,0.0,0,,RPPNMLMJRHHFFBC27CA,326.37,75.0,10.63,無,,21.0,101,False
67,71,安樂區,房地(土地+建物),基隆市安樂區基金一路112巷28號,55.66,住,,,1010726,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0720916,96.25,4,1,2,有,無,1900000,19740,,0.0,0,,RPXNMLOLQHHFFCC48CA,80.19,6.42,9.64,無,,29.0,101,False
68,72,安樂區,房地(土地+建物),基隆市安樂區安和二街6之1號16樓,25.51,住,,,1010704,土地3建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0850120,135.28,3,2,2,有,有,3900000,28830,,0.0,0,,RPROMLMLQHHFFCC77CA,92.48,0.0,10.26,有,,16.0,101,False
69,73,中山區,房地(土地+建物),基隆市中山區復興路293之2號,23.65,住,,,1010722,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691107,77.28,4,0,4,有,無,3400000,43996,,0.0,0,,RPSOMLKMQHHFFCC77CA,77.28,0.0,0.0,無,,32.0,101,False
70,74,中山區,房地(土地+建物),基隆市中山區復興路212巷12弄5之1號,29.98,住,,,1010709,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,96.44,3,1,2,有,無,1900000,19701,,0.0,0,,RPSNMLRJRHHFFCC18CA,93.38,0.0,3.0,無,,31.0,101,False
71,75,暖暖區,房地(土地+建物),基隆市暖暖區過港路10巷124號4樓,13.16,住,,,1010722,土地4建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841218,63.74,1,2,1,有,有,1500000,23534,,0.0,0,,RPWNMLLKRHHFFCC28EA,52.15,0.0,4.59,有,,17.0,101,False
72,76,暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街133之1號11樓,29.12,住,,,1010727,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,168.5,3,2,2,有,無,6600000,41770,坡道平面,32.04,900000,,RPRNMLOJRHHFFCC97EA,88.39,0.0,10.17,有,,3.0,101,False
73,77,中正區,房地(土地+建物)+車位,基隆市中正區觀海街183號13樓,23.4,住,,,1010704,土地2建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,145.64999999999998,3,2,2,有,有,3450000,23687,坡道平面,0.0,0,,RPSNMLOLQHHFFBC08EA,0.0,0.0,0.0,有,,13.0,101,False
74,78,安樂區,房地(土地+建物),基隆市安樂區基金一路135巷21弄65號6樓,27.08,住,,,1010726,土地33建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820902,113.68,3,1,2,有,無,3200000,28150,,0.0,0,,RPUNMLRLQHHFFCC58DA,89.83,0.0,10.53,有,,19.0,101,False
75,79,中正區,房地(土地+建物),基隆市中正區基隆市中正區新豐街303巷16弄14號,88.7,住,,,1010723,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0780703,132.14,2,1,1,有,無,3650000,27622,,0.0,0,,RPUNMLMLQHHFFBC97DA,96.56,29.55,6.03,無,,23.0,101,False
76,80,中正區,房地(土地+建物)+車位,基隆市中正區觀海街102號9樓,14.2,住,,,1010711,土地1建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,105.75,2,1,1,有,有,1850000,17493,坡道平面,34.99,0,,RPSOMLLMQHHFFBC87DA,51.22,0.0,6.7,有,,13.0,101,False
