,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
478,513,信義區,房地(土地+建物)+車位,基隆市信義區孝東路130之3號三樓,26.78,住,,,1081109,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,213.07,3,2,2,有,有,9700000,48389,坡道平面,31.21,900000,土地及建物分次登記案件。前案土地登記收件字號：；,RPUNMLQJJHPFFBC18CA,119.95,0.95,12.74,有,,2.0,108,False,3,15,121.7804458,25.1280629
479,514,信義區,房地(土地+建物)+車位,基隆市信義區孝東路132之1號四樓,30.2,住,,,1081106,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,242.09,3,2,2,有,有,11000000,48513,坡道平面,35.96,1000000,土地及建物分次登記案件。前案土地登記收件字號：；,RPVNMLQJJHPFFBC28CA,133.31,1.15,15.78,有,,2.0,108,False,4,15,121.77929560000001,25.128469199999998
480,515,信義區,房地(土地+建物)+車位,基隆市信義區孝東路98之2號八樓,24.21,住,,,1081117,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,198.16,3,2,2,有,有,10550000,58570,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPWNMLQJJHPFFBC38CA,108.05,0.0,11.4,有,,2.0,108,False,8,15,121.77973309999999,25.1284296
481,516,信義區,房地(土地+建物)+車位,基隆市信義區孝東路102之2號三樓,24.21,住,,,1081110,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,194.07999999999998,3,2,2,有,有,10200000,56794,坡道平面,31.21,950000,土地及建物分次登記案件。前案土地登記收件字號：；,RPXNMLQJJHPFFBC48CA,108.05,0.0,11.4,有,,2.0,108,False,3,15,121.77968159999998,25.128434199999994
482,517,信義區,房地(土地+建物)+車位,基隆市信義區孝東路122之1號十三樓,14.24,住,,,1081108,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,138.76,2,2,1,有,有,7990000,67510,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPOOMLQJJHPFFBC67CA,62.87,0.0,7.83,有,,2.0,108,False,13,15,121.7803317,25.128384199999996
483,518,信義區,房地(土地+建物)+車位,基隆市信義區孝東路120之3號七樓,19.09,住,,,1081105,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,173.79000000000002,3,2,2,有,有,8900000,55866,坡道平面,35.96,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPPOMLQJJHPFFBC77CA,83.18,1.09,11.29,有,,2.0,108,False,7,15,121.7803128,25.1283854
484,519,信義區,房地(土地+建物),基隆市信義區孝東路118之3號四樓,18.8,住,,,1081113,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,138.93,3,2,2,有,有,7700000,55424,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPQOMLQJJHPFFBC87CA,83.26,1.09,11.38,有,,2.0,108,False,4,15,121.7802939,25.128386499999998
485,520,七堵區,房地(土地+建物)+車位,基隆市七堵區東新街82之18號11樓,30.06,住,,,1081206,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080213,190.18,3,2,2,有,無,11616000,72590,一樓平面,46.69,1200000,,RPQPMLNLKIOFFCC08CA,87.54,0.0,10.62,有,,0.0,108,False,11,11,121.7198777,25.094274300000006
486,521,安樂區,房地(土地+建物),基隆市安樂區武隆街103巷55弄31號5樓,26.42,其他,,,1081109,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831108,102.13000000000001,3,2,2,有,有,2070000,20268,,0.0,0,,RPVOMLNLKIOFFCC48CA,74.79,0.0,6.36,無,,25.0,108,False,5,5,121.6921197,25.159594199999997
487,522,安樂區,房地(土地+建物),基隆市安樂區樂利三街28巷30之3號,46.79,住,,,1081110,土地8建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700921,86.72,3,2,1,有,無,3400000,39207,,0.0,0,,RPTNMLPLKIOFFCC38CA,86.72,0.0,0.0,無,,38.0,108,False,4,4,121.71368360000001,25.127570199999997
488,523,安樂區,房地(土地+建物),基隆市安樂區基金二路1巷176號10樓,25.12,住,,,1081127,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820107,175.36,3,2,2,有,有,2800000,15967,,0.0,0,,RPWNMLOLKIOFFCC58CA,97.31,3.63,10.21,有,,26.0,108,False,10,14,121.701269,25.141907999999997
489,524,安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路343號十樓,14.05,住,,,1081123,土地3建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,123.86000000000001,3,2,2,有,有,9000000,72657,坡道平面,15.87,0,,RPTOMLQLKIOFFCC58CA,63.08,4.08,8.99,有,,3.0,108,False,10,18,121.72015540000001,25.123622699999995
490,525,暖暖區,房地(土地+建物),基隆市暖暖區碇內街374號5樓,20.84,住,,,1081128,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,100.34,3,2,2,有,有,2200000,21925,,0.0,0,,RPQNMLKLKIOFFCC57CA,65.68,0.81,8.6,有,,24.0,108,False,5,6,121.752776,25.089474000000003
491,526,暖暖區,房地(土地+建物)+車位,基隆市暖暖區源遠路165之8號7樓,20.54,住,,,1081107,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,145.1,3,2,2,有,有,5700000,39283,坡道平面,36.57,0,,RPSNMLKLKIOFFCC77CA,74.79,2.1,8.88,有,,23.0,108,False,7,16,121.7498679,25.098469800000004
492,527,安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街8巷6號17樓,22.79,其他,,,1081130,土地4建物1車位1,十七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840504,160.72,3,2,2,有,有,7100000,44176,坡道平面,0.0,0,,RPPOMLKLKIOFFCC57CA,99.83,1.19,13.25,有,,24.0,108,False,17,17,121.7189749,25.1292552
493,528,安樂區,房地(土地+建物),基隆市安樂區基金一路121巷20之2號4樓,31.14,住,,,1081117,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850503,91.59,3,2,2,有,有,4200000,45857,,0.0,0,,RPQOMLKLKIOFFCC67CA,73.31,0.0,3.72,無,,23.0,108,False,4,5,121.71745580000001,25.1361846
494,529,安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路333號17樓,21.48,住,,,1081118,土地3建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,200.3,4,2,2,有,有,15000000,74888,坡道平面,15.87,0,含增建或未登記建物。；,RPSOMLKLKIOFFCC87CA,98.87,3.61,27.57,有,,3.0,108,False,17,18,121.72017819999999,25.123613000000002
