,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
873,1021,中山區,房地(土地+建物),臺北市中山區長安東路一段56巷7弄10號四樓,27.5,商,,,1101112,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0571211,71.14,4,2,3,有,無,15000000,210852,,0.0,0,陽台外推；頂樓加蓋；其他增建；含租約；,RPQQMLMLKIGGFCA37EA,71.14,0.0,0.0,無,,53.0,110,False,4,4,121.52897499999999,25.0475131
874,1022,中山區,房地(土地+建物),臺北市中山區天津街37號七樓之1,10.3,商,,,1101028,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760630,80.57,2,1,2,有,有,16000000,198585,,0.0,0,,RPTQMLMLKIGGFCA67EA,62.3,0.0,0.0,有,,34.0,110,False,7,8,121.5230089,25.049773299999995
875,1023,中山區,房地(土地+建物),臺北市中山區林森北路363號八樓之5,6.16,商,,,1101215,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,66.63,1,1,1,有,有,20750000,311421,,0.0,0,,RPSOMLNLKIGGFCA47EA,39.17,2.11,3.68,有,353.0,12.0,110,False,8,18,121.5257934,25.0573365
876,1024,內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷78號三樓,38.72,住,,,1101209,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881108,143.04,3,2,2,有,有,20500000,143317,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLNLKIGGFCA57EA,83.57,0.0,5.76,有,,22.0,110,False,3,7,121.55998029999999,25.088750499999996
877,1025,內湖區,房地(土地+建物),臺北市內湖區東湖路106巷16號五樓,42.48,住,,,1101126,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770126,117.94,3,2,2,有,無,15000000,127183,,0.0,0,,RPQPMLNLKIGGFCA37EA,97.61,0.69,9.95,無,,33.0,110,False,5,5,121.61523329999999,25.0680144
878,1026,內湖區,房地(土地+建物),臺北市內湖區成功路二段426巷30號,31.43,住,,,1101123,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0760817,159.45999999999998,2,1,2,有,無,20000000,125423,,0.0,0,,RPPNMLNLKIGGFCA07EA,94.46,10.09,0.0,無,354.0,34.0,110,False,1,5,121.5887895,25.070721199999994
879,1027,中山區,房地(土地+建物),臺北市中山區民權東路二段92巷7弄17號三樓,87.0,住,,,1100929,土地1建物3車位0,三層，四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590108,173.4,7,3,3,有,無,45000000,259516,,0.0,0,其他增建；,RPOTMLKMJIGGFCA27EA,173.4,0.0,0.0,無,,51.0,110,False,3,4,121.532382,25.0608165
880,1028,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段296巷28號二樓之2,20.43,住,,,1101128,土地1建物1車位1,二層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850628,126.44,3,2,1,有,有,25000000,250668,坡道平面,36.69,2500000,,RPXPMLSJKIGGFCA38EA,107.65,1.3,9.11,有,,25.0,110,False,2,16,121.60679,25.0721059
881,1030,中正區,房地(土地+建物),臺北市中正區公園路32號三樓,20.93,商,,,1101201,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0751113,246.54,0,0,0,無,有,55927500,226850,,0.0,0,,RPPNMLMLKIGGFBA86EA,189.06,13.58,11.17,有,,35.0,110,False,3,12,121.51669170000001,25.0440807
882,1031,文山區,房地(土地+建物)+車位,臺北市文山區萬芳路60之14號六樓,27.12,,,,1101129,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960921,60.66,3,2,2,有,有,3200000,52753,升降機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMLKIGGFAA76EA,35.49,0.0,4.7,有,,14.0,110,False,6,7,121.56837720000001,24.9983539
883,1033,文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路五段211巷43號,24.85,商,,,1101203,土地2建物2車位3,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930224,156.38,2,2,2,有,有,23580000,217103,其他,64.35,3600000,,RPVNMLNLKIGGFAA47EA,59.91,0.0,6.02,有,355.0,17.0,110,False,1,8,121.53992199999999,25.002687899999998
884,1034,大安區,房地(土地+建物),臺北市大安區建國南路二段91號六樓,21.13,住,,,1101031,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750415,108.05,3,2,2,有,有,29880000,276539,,0.0,0,陽台外推；其他增建；,RPOOMLTKJIGGFFA67DA,74.74,0.55,10.59,有,,35.0,110,False,6,15,121.53834239999999,25.030418599999997
885,1035,大安區,房地(土地+建物),臺北市大安區復興南路二段169號八樓,9.29,商,,,1101023,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0680413,109.17999999999999,2,1,2,有,有,29100000,266532,,0.0,0,,RPTNMLNLJIGGFFA57DA,91.11,0.0,9.16,有,,42.0,110,False,8,12,121.5437604,25.027823299999998
886,1036,大安區,房地(土地+建物),臺北市大安區信義路二段86巷21之1號,12.18,住,,,1101023,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700109,40.72,1,1,1,有,無,15000000,368369,,0.0,0,,RPWNMLNLJIGGFFA87DA,35.76,4.96,0.0,無,,40.0,110,False,1,5,121.525905,25.033913000000002
887,1037,大安區,房地(土地+建物),臺北市大安區新生南路一段145巷15號,33.25,住,,,1101126,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620210,82.98,3,2,1,有,無,27300000,328995,,0.0,0,,RPXOMLTLJIGGFFA68DA,82.98,0.0,0.0,無,,48.0,110,False,1,4,121.53408540000001,25.0358631
890,1040,大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段106號六樓之3,9.45,商,,,1101027,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0930409,117.28,1,2,1,有,有,28600000,243861,坡道平面,51.74,0,,RPTPMLSJKIGGFFA18DA,42.59,0.0,0.0,有,356.0,17.0,110,False,6,12,121.5517225,25.024153199999997
891,1041,大安區,房地(土地+建物),臺北市大安區仁愛路四段300巷31弄2號三樓,32.9,住,,,1101015,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730717,149.62,3,2,2,有,有,42080000,281246,,0.0,0,其他增建；,RPXNMLMJKIGGFFA77DA,123.14,0.0,17.43,有,,37.0,110,False,3,7,121.5548755,25.0353439
892,1042,大安區,房地(土地+建物),臺北市大安區忠孝東路四段216巷55號六樓,37.26,住,,,1101114,土地1建物1車位0,六層，陽台,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0630605,179.67,4,2,2,有,無,50550000,281349,,0.0,0,其他增建；,RPROMLQJKIGGFFA67DA,179.67,0.0,0.0,有,,47.0,110,False,6,7,121.55312749999999,25.038653899999996
893,1043,大安區,車位,臺北市大安區和平東路三段448號,0.17,住,,,1101129,土地1建物1車位1,一層,十三層,其他,一般事務所,鋼筋混凝土造,1090804,41.97,0,0,0,有,有,2620000,,坡道平面,61.78,2620000,僅車位交易；,RPVNMLRKKIGGFFA18DA,0.0,0.0,0.0,有,281.0,1.0,110,False,1,13,121.55988299999999,25.017349
894,1045,大安區,房地(土地+建物),臺北市大安區敦化南路一段233巷31號四樓,12.32,住,,,1101130,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760709,87.02,0,0,0,無,有,22000000,252815,,0.0,0,,RPVNMLLLKIGGFFA67DA,50.08,0.0,8.33,有,,34.0,110,False,4,10,121.55108,25.040474
895,1046,大安區,房地(土地+建物)+車位,臺北市大安區臥龍街292號六樓之1,25.68,住,,,1101203,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040216,129.3,2,2,1,有,有,26080000,201717,塔式車位,0.0,0,,RPXNMLNLKIGGFFA08DA,58.41,4.81,8.87,有,,6.0,110,False,6,10,121.55925699999999,25.016833899999995
896,1047,士林區,房地(土地+建物)+車位,臺北市士林區大南路345號二樓之1,27.98,工,,,1101107,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0961108,193.48000000000002,3,2,2,有,有,30250000,156347,坡道平面,0.0,0,其他增建；,RPOPMLQLJIGGFEA47DA,103.94,0.0,6.35,有,,14.0,110,False,2,15,121.51728429999999,25.0887551
897,1050,士林區,房地(土地+建物),臺北市士林區福志路19號,41.5,都市：其他:第三種住宅區。,,,1100923,土地4建物1車位0,一層,四層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0700128,108.51,3,2,1,有,無,29000000,267256,,0.0,0,其他增建；,RPQPMLLLKIGGFEA27DA,100.22,8.29,0.0,無,,40.0,110,False,1,4,121.53156429999999,25.098286899999998
898,1052,士林區,房地(土地+建物),臺北市士林區天母北路28巷39號三樓之7,7.48,住,,,1101120,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970130,39.97,1,1,1,有,有,11200000,280210,,0.0,0,,RPPOMLNLKIGGFEA27DA,20.71,1.23,2.39,有,361.0,13.0,110,False,3,9,121.52546840000001,25.1193168
899,1053,士林區,房地(土地+建物)+車位,臺北市士林區中山北路七段114巷36弄3號五樓,42.6,住,,,1100807,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671101,111.14,2,2,1,有,無,20000000,179953,坡道平面,0.0,2000000,200萬坡道車位使用權無產權陽台外推；頂樓加蓋；其他增建；,RPPNMLPKKIGGFEA27DA,103.81,0.0,7.33,無,,43.0,110,False,5,5,121.53448069999999,25.122835499999997
900,1054,士林區,房地(土地+建物),臺北市士林區承德路四段40巷76號,7.04,住,,,1101113,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640418,18.52,2,2,1,有,無,5000000,269978,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPPQMLPKKIGGFEA57DA,16.88,1.64,0.0,無,,46.0,110,False,1,5,121.52086399999997,25.0812962
