,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
0,1,中正區,房地(土地+建物),基隆市中正區祥豐街168之4號,18.2,住,,,1021018,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720415,68.95,3,1,2,有,無,1450000,21030,,0.0,0,,RPUOMLSJJIIFFBC87CA,63.3,0.0,5.65,無,,30.0,102,False,5,5,121.7669768,25.144150500000002
1,2,中正區,房地(土地+建物),基隆市中正區新豐街333巷5號8樓,24.66,住,,,1020911,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840821,118.34,3,2,1,有,有,3050000,25773,,0.0,0,衛浴設備實際為1.5套,RPPNMLMKJIIFFBC76CA,90.11,0.48,9.15,有,,18.0,102,False,8,9,121.7848488,25.134967099999997
2,3,中正區,房地(土地+建物),基隆市中正區武昌街7之3號,19.0,住,,,1020924,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0621129,61.42,4,1,2,有,無,2000000,32563,,0.0,0,含增建或未登記建物。,RPXNMLNKJIIFFBC67CA,61.42,0.0,0.0,無,,40.0,102,False,4,4,121.76397469999998,25.1491184
3,4,信義區,房地(土地+建物),基隆市信義區教忠街80巷31號,103.61,住,,,1020923,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0921204,197.47,5,3,3,有,無,10888888,55142,,0.0,0,,RPXTMLPKJIIFFBC48CA,179.79,0.96,16.72,無,,10.0,102,False,1,4,121.779759,25.134909
4,5,中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷103號六樓,51.4,住,,,1021006,土地6建物1車位1,六層，見其他登記事項,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,195.79000000000002,2,1,2,有,有,8290000,42341,坡道平面,32.88,0,,RPPPMLNLJIIFFBC17CA,111.51,1.08,9.49,有,,0.0,102,False,6,6,121.78396640000001,25.139794099999996
5,6,中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷105號二樓,52.24,住,,,1021006,土地6建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,197.6,3,1,2,有,有,7400000,37449,坡道平面,32.88,0,,RPQPMLNLJIIFFBC27CA,110.73,1.98,10.92,有,,0.0,102,False,2,6,121.78396280000001,25.139794
6,7,中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷105號三樓,52.24,住,,,1021006,土地6建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,197.6,3,1,2,有,有,8300000,42004,坡道平面,32.88,0,,RPRPMLNLJIIFFBC37CA,110.73,1.98,10.92,有,,0.0,102,False,3,6,121.78396280000001,25.139794
7,8,中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷105號四樓,52.24,住,,,1021006,土地6建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,197.6,3,1,2,有,有,7580000,38360,坡道平面,32.88,0,,RPSPMLNLJIIFFBC47CA,110.73,1.98,10.92,有,,0.0,102,False,4,6,121.78396280000001,25.139794
8,9,中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷105號五樓,52.24,住,,,1021006,土地6建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,197.6,3,1,2,有,有,7800000,39474,坡道平面,32.88,0,,RPTPMLNLJIIFFBC57CA,110.73,1.98,10.92,有,,0.0,102,False,5,6,121.78396280000001,25.139794
9,10,中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷107號五樓,75.76,住,,,1021006,土地6建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,290.27,3,1,3,有,有,11800000,40652,坡道平面,32.88,0,,RPUPMLNLJIIFFBC67CA,162.31,3.27,19.46,有,,0.0,102,False,5,6,121.78395909999999,25.139793899999997
10,11,中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷109號,60.64,住,,,1021006,土地6建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020905,229.97,3,1,2,有,有,8880000,38614,坡道平面,32.88,0,,RPVPMLNLJIIFFBC77CA,131.84,0.0,6.38,有,,0.0,102,False,1,6,121.78395539999998,25.139793800000003
