,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址
7607,2550,士林區,房地(土地+建物),臺北市士林區福華路141巷28號四樓,22.0,住,,,1110306,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610713,78.65,2,2,1,有,無,16600000,211062,,0.0,0,其他增建；,RPTRMLSKLHHGFEA48DA,78.65,0.0,0.0,無,817.0,50.0,111,False
7608,2551,內湖區,房地(土地+建物),臺北市內湖區成功路四段68號十三樓之1,10.28,商,,,1110314,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841003,88.81,2,1,1,有,有,21000000,236460,,0.0,0,,RPXNMLNKMHHGFCA97EA,60.16,2.43,7.34,有,,27.0,111,False
7609,2552,中山區,房地(土地+建物)+車位,臺北市中山區中山北路三段34號十樓,36.32,商,,,1110222,土地2建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0780721,332.94,6,1,2,有,有,70210000,210873,坡道平面,0.0,5000000,陽台外推；,RPOOMLNKMHHGFCA17EA,290.62,1.55,19.29,有,,33.0,111,False
7610,2553,中山區,房地(土地+建物),臺北市中山區敬業二路69巷57號八樓之3,13.62,商,,,1110227,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0961218,56.260000000000005,1,1,1,有,有,13600000,241735,,0.0,0,夾層；,RPQOMLMKMHHGFCA27EA,28.55,5.9,0.0,有,,15.0,111,False
7611,2554,內湖區,房地(土地+建物),臺北市內湖區民權東路六段232巷21號二樓之6,19.11,住,,,1110313,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940221,42.01,1,1,1,有,有,10420000,248036,,0.0,0,陽台外推；夾層；,RPRQMLMLKHHGFCA47EA,20.75,1.34,5.72,有,818.0,17.0,111,False
7612,2555,中山區,房地(土地+建物),臺北市中山區建國北路一段150號七樓之5,4.29,住,,,1110305,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990318,32.93,1,0,1,有,有,9600000,291527,,0.0,0,,RPPRMLMLKHHGFCA37EA,17.44,0.86,3.47,有,,12.0,111,False
7613,2556,中山區,房地(土地+建物),臺北市中山區建國北路一段150號七樓之3,4.29,住,,,1110305,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990318,33.16,1,1,0,有,有,9600000,289505,,0.0,0,,RPQRMLMLKHHGFCA47EA,17.44,0.86,3.61,有,,12.0,111,False
7614,2557,中正區,房地(土地+建物)+車位,臺北市中正區衡陽路51號十三樓之4,26.84,商,,,1110314,土地1建物1車位6,十三層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼骨造,0920321,625.38,0,0,0,無,有,104025000,226465,坡道平面,245.52,18000000,,RPTNMLNKMHHGFBA47EA,238.33,0.0,38.03,有,819.0,19.0,111,False
7615,2558,萬華區,房地(土地+建物),臺北市萬華區萬大路493巷60號二樓,30.0,住,,,1110315,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630426,102.11,3,1,1,有,無,15000000,146900,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOKMHHGFBA17EA,87.95,0.0,14.16,無,,48.0,111,False
7616,2559,大同區,房地(土地+建物),臺北市大同區延平北路二段235號九樓之4,3.67,都市：其他:特定專用區(供一般商業使用)。,,,1110216,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720129,34.58,0,1,1,有,有,6380000,184500,,0.0,0,,RPSSMLOJLHHGFBA77EA,22.72,0.0,3.82,有,,39.0,111,False
7617,2560,大安區,房地(土地+建物),臺北市大安區通化街101巷2號五樓,33.8,住,,,1110318,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690618,101.78,3,2,2,有,無,17800000,174887,,0.0,0,陽台外推；頂樓加蓋；,RPUSMLMKMHHGFFA28DA,91.11,0.0,10.67,無,,42.0,111,False
7618,2561,大安區,房地(土地+建物),臺北市大安區金山南路二段18號三樓之3,15.84,商,,,1110308,土地1建物2車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690318,169.66,0,3,3,有,有,44120000,260050,,0.0,0,陽台外推；其他增建；,RPPPMLKMLHHGFFA37DA,134.85,0.0,15.36,有,,42.0,111,False
7619,2562,大安區,房地(土地+建物),臺北市大安區光復南路696號十二樓之1,7.26,商,,,1110214,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011120,74.60000000000001,1,1,1,有,有,23900000,320375,,0.0,0,,RPROMLLJMHHGFFA37DA,45.34,3.33,2.67,有,,10.0,111,False
7620,2563,大安區,房地(土地+建物),臺北市大安區復興南路二段17號九樓之2,6.15,商,,,1110215,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740313,65.68,2,2,1,有,有,22820000,347442,,0.0,0,陽台外推；其他增建；,RPTOMLQKLHHGFFA08DA,44.22,0.0,13.03,有,,37.0,111,False
