,0,0
0,215754,212092.1
1,388700,390792.16
2,233336,220224.9
3,417189,417059.62
4,194317,194146.77
5,451533,442494.53
6,236806,222901.62
7,158359,173242.97
8,335029,346036.7
9,272036,264879.06
10,288477,280349.5
11,279503,282449.88
12,276177,272433.3
13,251230,257771.89
14,381178,381874.66
15,155789,159768.48
16,285305,288005.06
17,387553,389479.0
18,432862,408796.12
19,184241,189477.98
20,432541,432845.25
21,276498,265663.7
22,147947,170917.3
23,256046,256392.11
24,141565,149537.62
25,165229,165887.69
26,163897,163480.1
27,193607,195585.7
28,239286,233981.81
29,202634,202776.97
30,292101,288078.72
31,185710,185209.61
32,143971,139582.11
33,272862,271531.28
34,136080,136298.78
35,169944,178299.08
36,173481,179307.27
37,323851,324305.94
38,185838,183805.08
39,176451,176467.44
40,237139,235051.42
41,224909,225657.55
42,241633,230314.16
43,420650,424398.72
44,207056,225572.33
45,143097,147200.47
46,192250,194393.88
47,154197,154309.9
48,204036,205232.67
49,206263,207250.42
50,304862,312257.25
51,273955,279485.56
52,413110,418063.12
53,228184,228246.47
54,190129,200406.78
55,198968,194680.34
56,246950,248086.64
57,251530,240871.94
58,155099,154483.88
59,142500,137262.98
60,205781,205597.4
61,380865,399612.88
62,188124,185712.0
63,375275,373267.94
64,198848,181791.75
65,141783,160997.67
66,135788,137682.23
67,199370,192690.06
68,210068,216753.12
69,394213,390017.88
70,253768,231803.86
71,251030,253868.64
72,222513,219331.75
73,201448,200440.53
74,105792,108454.01
75,195720,195254.27
76,190114,169614.69
77,260503,266491.03
78,154221,140534.75
79,226291,226715.19
80,216606,211626.06
81,141943,147172.28
82,160581,162258.69
83,272083,274488.53
84,181450,185303.69
85,265400,263190.06
86,142622,144350.6
87,222020,221196.17
88,178169,176273.56
89,230932,228127.47
90,260180,254837.17
91,266167,267136.66
92,175973,186577.39
93,126852,194517.94
94,166293,162955.47
95,256383,252413.58
96,180046,188142.03
97,177403,179100.25
98,382833,383443.12
99,288216,286547.6
100,139328,143667.81
101,188369,181649.14
102,295572,269970.38
103,146504,138294.86
104,277966,242055.25
105,164995,166098.5
106,372332,367757.56
107,602976,581126.06
108,176515,177060.48
109,183891,171390.94
110,160175,167559.4
111,263131,234606.23
112,88272,187891.72
113,270186,273841.94
114,147221,147176.69
115,170924,173071.1
116,228125,226446.5
117,212203,213957.5
118,187312,168401.9
119,275175,279120.75
120,185283,180704.38
121,178715,181873.22
122,194181,196020.36
123,330312,325636.7
124,157313,151238.16
125,154799,159167.12
126,226643,219435.8
127,195810,204844.39
128,191288,183941.64
129,170850,174240.94
130,258281,260854.86
131,138147,140852.69
132,283861,271493.84
133,279197,277737.06
134,167464,164985.02
135,178593,184609.61
136,392442,392893.8
137,284681,283514.8
138,210143,205985.17
139,268225,264611.6
140,169062,173748.97
141,212565,217703.02
142,170319,169333.31
143,128401,136369.89
144,138232,141983.78
145,251344,252178.48
146,242533,243077.23
147,105416,108503.2
148,166358,172546.89
149,199519,200558.12
150,222992,231298.53
151,195265,195179.56
152,205831,204601.61
153,185739,182526.11
154,365540,359913.34
155,247101,249376.45
156,198502,221900.34
157,181459,176692.06
158,202847,199029.72
159,180246,170104.7
160,148318,158608.28
161,231637,233207.08
162,296270,298999.94
163,166724,160164.0
164,161249,162137.03
165,239632,232130.08
166,238801,234066.69
167,235829,227219.03
168,239776,248445.6
169,195832,199940.69
170,154329,152559.1
171,147934,147076.17
172,148487,149970.4
173,227356,235075.52
174,132153,129022.18
175,607064,609105.0
176,191956,181037.0
177,106652,109747.34
178,169637,173113.02
179,232955,232369.78
180,205761,206176.52
181,169793,173451.72
182,217114,216705.23
183,205903,204642.28
184,230085,252476.72
185,110711,109585.84
186,212264,218985.66
187,141995,142754.5
188,175108,172304.19
189,305021,306317.44
190,258765,257178.03
191,200598,198244.62
192,232346,234124.5
193,157120,172115.22
194,126982,115263.64
195,179230,177382.22
196,291066,289457.5
197,220264,223955.52
198,310894,312407.0
199,151081,144195.25
200,272093,273384.28
201,200065,216127.5
202,647993,644085.0
203,270831,267473.9
204,193331,185029.48
205,174788,193106.1
206,172814,187214.64
207,217080,205455.36
208,255045,259264.55
209,116377,129285.664
210,304141,302531.2
211,235731,238717.62
212,277411,265273.3
213,326383,324752.28
214,151436,190162.81
215,208935,217450.72
216,221654,211164.84
217,213316,216212.3
218,417087,415285.8
219,157503,160952.19
220,157781,159272.84
221,163043,161065.62
222,212325,204629.64
223,234979,240062.14
224,242978,239654.97
225,297672,290631.9
226,201515,204511.8
227,240065,247298.42
228,202013,202960.64
229,147059,148707.31
230,221391,221294.08
231,126605,134564.19
232,181844,182154.19
233,209477,207648.08
234,200367,203740.77
235,350901,351098.3
236,256820,253879.25
237,251439,254084.78
238,400483,402480.75
239,363570,364776.88
240,229027,228378.17
241,188864,188634.2
242,317584,319254.2
243,188812,205347.38
244,182867,178108.06
245,216425,216279.03
246,225542,223308.77
247,144158,148862.56
248,316960,321067.53
249,185644,193163.0
250,138323,138425.06
251,225997,236225.39
252,214950,214990.78
253,250911,256700.44
254,200185,206651.5
255,182656,176248.88
256,172437,165093.75
257,282333,279258.72
258,205562,200815.33
259,174278,166696.97
260,286522,287859.7
261,174773,177437.06
262,165531,165563.88
263,256097,251602.52
264,285826,285418.03
265,196790,199035.0
266,155039,149041.22
267,301082,313969.6
268,196708,195962.58
269,160722,161523.77
270,250679,254479.38
