,0
交易年份,1.0766042647414107
屋齡,14.475859802985365
交易標的,0.4414896554819388
建物現況格局-房,1.360846162188184
建物現況格局-廳,0.734592446400417
建物現況格局-衛,0.9699897869125957
電梯,0.49355835426313305
floor,3.9469070804323705
車位類別-坡道平面,0.3889123170670406
車位類別-坡道機械,0.13488801809278086
車位類別-升降平面,0.09582940812411885
車位類別-升降機械,0.1549000927957666
車位類別-一樓平面,0.01887800803727588
車位類別-塔式車位,0.13987821908369025
車位類別-其他,0.08202288084174328
建物型態-公寓,0.4796505831015299
建物型態-華廈,0.4386031498747255
建物型態-住宅大樓,0.4668447043225835
建物型態-套房,0.18719453399940966
建物型態-透天,0.12969029659559206
NEAR_HOSTIPAL_250,0.1602676766811321
NEAR_HOSTIPAL_500,0.4898098678942558
NEAR_HOSTIPAL_750,0.49284117811621425
CLINIC_COUNT_250,7.3029535938926795
CLINIC_COUNT_500,28.796360499039306
CLINIC_COUNT_750,44.21324248523338
DENTIST_COUNT_250,4.863265440729997
DENTIST_COUNT_500,16.586256557058373
DENTIST_COUNT_750,22.690301147448253
PHARMACY_COUNT_250,2.7308292007821775
PHARMACY_COUNT_500,9.72430159380947
PHARMACY_COUNT_750,12.515220606160174
CSTORE_COUNT_250,3.0623224199337407
CSTORE_COUNT_500,15.120361315119677
CSTORE_COUNT_750,23.854008029333436
FASTFOOD_COUNT_250,0.6202845654962582
FASTFOOD_COUNT_500,1.8038664965272584
FASTFOOD_COUNT_750,2.3550213652892906
LIBRARY_COUNT_250,0.6202845654962582
LIBRARY_COUNT_500,1.8038664965272584
LIBRARY_COUNT_750,2.3550213652892906
NEAR_SCHOOL_250,0.46629463891726397
NEAR_SCHOOL_500,0.14585651270046254
NEAR_SCHOOL_750,0.053328403511026704
NEAR_UNIVERSITY_250,0.3067779197629421
NEAR_UNIVERSITY_500,0.46873069864156225
NEAR_UNIVERSITY_750,0.4892893862595403
NEAR_FIRESTATION_250,0.29199772674566543
NEAR_FIRESTATION_500,0.5000708261412358
NEAR_FIRESTATION_750,0.38244043537679956
NEAR_FUEL_250,0.3387865587007667
NEAR_FUEL_500,0.47726706891416965
NEAR_FUEL_750,0.38658984682375486
NEAR_MARKET_250,0.4831560849349379
NEAR_MARKET_500,0.33248768644907595
NEAR_MARKET_750,0.11856208208530798
NEAR_POLICE_250,0.3756934882282757
NEAR_POLICE_500,0.38303994084358817
NEAR_POLICE_750,0.2620239411806596
TEMPLE_COUNT_250,1.8511870458796433
TEMPLE_COUNT_500,6.39947358056242
TEMPLE_COUNT_750,8.344806435506754
CEMETERY_AREA_250,2177.7514596070623
CEMETERY_AREA_500,36330.81882908971
CEMETERY_AREA_750,65621.12306169601
PARK_AREA_250,10833.981348846397
PARK_AREA_500,59125.59573806909
PARK_AREA_750,80243.0244353038
WATER_AREA_250,629.535438278957
WATER_AREA_500,17824.53782816773
WATER_AREA_750,33512.61819893493
PARKING_AREA_250,4400.436817248828
PARKING_AREA_500,28465.466449371608
PARKING_AREA_750,38212.49398320892
STOP_COUNT_250,3.4695616825583437
STOP_COUNT_500,14.962715497139014
STOP_COUNT_750,24.775324294934926
NEAR_LRT_250,0.0
NEAR_LRT_500,0.0
NEAR_LRT_750,0.0
NEAR_MRT_250,0.43380776209986605
NEAR_MRT_500,0.36131213762143677
NEAR_MRT_750,0.2854447415305143
NEAR_TRA_250,0.11560179431854173
NEAR_TRA_500,0.30814961678286185
NEAR_TRA_750,0.4068060804356057
y,84196.52705047585
